module_name	gene_symbol
TLR4_LPS_SIGNALING	TLR4
TLR4_LPS_SIGNALING	LY96
TLR4_LPS_SIGNALING	CD14
TLR4_LPS_SIGNALING	LBP
TLR4_LPS_SIGNALING	MYD88
TLR4_LPS_SIGNALING	TIRAP
TLR4_LPS_SIGNALING	TICAM1
TLR4_LPS_SIGNALING	TICAM2
TLR4_LPS_SIGNALING	IRAK1
TLR4_LPS_SIGNALING	IRAK4
TLR4_LPS_SIGNALING	TRAF6
TLR4_LPS_SIGNALING	NFKB1
TLR4_LPS_SIGNALING	RELA
TLR4_LPS_SIGNALING	NFKBIA
TLR4_LPS_SIGNALING	MAP3K7
TLR4_LPS_SIGNALING	IKBKB
TLR4_LPS_SIGNALING	IRF3
TLR4_LPS_SIGNALING	TNF
TLR4_LPS_SIGNALING	IL1B
TLR4_LPS_SIGNALING	IL6
TLR4_LPS_SIGNALING	CXCL8
TLR4_LPS_SIGNALING	CCL2
TLR5_FLAGELLIN_SIGNALING	TLR5
TLR5_FLAGELLIN_SIGNALING	MYD88
TLR5_FLAGELLIN_SIGNALING	IRAK1
TLR5_FLAGELLIN_SIGNALING	IRAK4
TLR5_FLAGELLIN_SIGNALING	TRAF6
TLR5_FLAGELLIN_SIGNALING	NFKB1
TLR5_FLAGELLIN_SIGNALING	RELA
TLR5_FLAGELLIN_SIGNALING	NFKBIA
TLR5_FLAGELLIN_SIGNALING	MAPK1
TLR5_FLAGELLIN_SIGNALING	MAPK3
TLR5_FLAGELLIN_SIGNALING	MAPK8
TLR5_FLAGELLIN_SIGNALING	MAPK14
TLR5_FLAGELLIN_SIGNALING	IL6
TLR5_FLAGELLIN_SIGNALING	CXCL8
TLR5_FLAGELLIN_SIGNALING	CXCL1
TLR5_FLAGELLIN_SIGNALING	CXCL2
TLR5_FLAGELLIN_SIGNALING	TNF
NF_KB_MAPK_INFLAMMATION	NFKB1
NF_KB_MAPK_INFLAMMATION	NFKB2
NF_KB_MAPK_INFLAMMATION	RELA
NF_KB_MAPK_INFLAMMATION	RELB
NF_KB_MAPK_INFLAMMATION	REL
NF_KB_MAPK_INFLAMMATION	NFKBIA
NF_KB_MAPK_INFLAMMATION	NFKBIB
NF_KB_MAPK_INFLAMMATION	IKBKB
NF_KB_MAPK_INFLAMMATION	IKBKG
NF_KB_MAPK_INFLAMMATION	MAPK1
NF_KB_MAPK_INFLAMMATION	MAPK3
NF_KB_MAPK_INFLAMMATION	MAPK8
NF_KB_MAPK_INFLAMMATION	MAPK9
NF_KB_MAPK_INFLAMMATION	MAPK14
NF_KB_MAPK_INFLAMMATION	FOS
NF_KB_MAPK_INFLAMMATION	JUN
NF_KB_MAPK_INFLAMMATION	DUSP1
NF_KB_MAPK_INFLAMMATION	DUSP2
NF_KB_MAPK_INFLAMMATION	TNF
NF_KB_MAPK_INFLAMMATION	IL1B
NF_KB_MAPK_INFLAMMATION	IL6
NF_KB_MAPK_INFLAMMATION	CXCL8
TYPE_I_INTERFERON_IRF	TLR3
TYPE_I_INTERFERON_IRF	TLR7
TYPE_I_INTERFERON_IRF	TLR8
TYPE_I_INTERFERON_IRF	TLR9
TYPE_I_INTERFERON_IRF	TICAM1
TYPE_I_INTERFERON_IRF	IRF3
TYPE_I_INTERFERON_IRF	IRF7
TYPE_I_INTERFERON_IRF	IFNB1
TYPE_I_INTERFERON_IRF	IFNA1
TYPE_I_INTERFERON_IRF	STAT1
TYPE_I_INTERFERON_IRF	STAT2
TYPE_I_INTERFERON_IRF	IRF9
TYPE_I_INTERFERON_IRF	ISG15
TYPE_I_INTERFERON_IRF	IFIT1
TYPE_I_INTERFERON_IRF	IFIT2
TYPE_I_INTERFERON_IRF	IFIT3
TYPE_I_INTERFERON_IRF	MX1
TYPE_I_INTERFERON_IRF	OAS1
TYPE_I_INTERFERON_IRF	OAS2
TYPE_I_INTERFERON_IRF	RSAD2
NLRP3_PYROPTOSIS	NLRP3
NLRP3_PYROPTOSIS	PYCARD
NLRP3_PYROPTOSIS	CASP1
NLRP3_PYROPTOSIS	CASP4
NLRP3_PYROPTOSIS	CASP5
NLRP3_PYROPTOSIS	GSDMD
NLRP3_PYROPTOSIS	IL1B
NLRP3_PYROPTOSIS	IL18
NLRP3_PYROPTOSIS	NOD1
NLRP3_PYROPTOSIS	NOD2
NLRP3_PYROPTOSIS	NLRC4
NLRP3_PYROPTOSIS	AIM2
NLRP3_PYROPTOSIS	MEFV
APOPTOSIS_MODULE	BAX
APOPTOSIS_MODULE	BAK1
APOPTOSIS_MODULE	BCL2
APOPTOSIS_MODULE	BCL2L1
APOPTOSIS_MODULE	BID
APOPTOSIS_MODULE	BAD
APOPTOSIS_MODULE	CASP3
APOPTOSIS_MODULE	CASP6
APOPTOSIS_MODULE	CASP7
APOPTOSIS_MODULE	CASP8
APOPTOSIS_MODULE	CASP9
APOPTOSIS_MODULE	FAS
APOPTOSIS_MODULE	FASLG
APOPTOSIS_MODULE	TNFRSF10A
APOPTOSIS_MODULE	TNFRSF10B
APOPTOSIS_MODULE	TP53
APOPTOSIS_MODULE	CYCS
NECROPTOSIS_MODULE	RIPK1
NECROPTOSIS_MODULE	RIPK3
NECROPTOSIS_MODULE	MLKL
NECROPTOSIS_MODULE	TNF
NECROPTOSIS_MODULE	TNFRSF1A
NECROPTOSIS_MODULE	FADD
NECROPTOSIS_MODULE	CASP8
NECROPTOSIS_MODULE	TRADD
NECROPTOSIS_MODULE	CYLD
NECROPTOSIS_MODULE	ZBP1
NECROPTOSIS_MODULE	TICAM1
FERROPTOSIS_OXIDATIVE_CELL_DEATH	GPX4
FERROPTOSIS_OXIDATIVE_CELL_DEATH	SLC7A11
FERROPTOSIS_OXIDATIVE_CELL_DEATH	SLC3A2
FERROPTOSIS_OXIDATIVE_CELL_DEATH	ACSL4
FERROPTOSIS_OXIDATIVE_CELL_DEATH	ALOX5
FERROPTOSIS_OXIDATIVE_CELL_DEATH	ALOX12
FERROPTOSIS_OXIDATIVE_CELL_DEATH	ALOX15
FERROPTOSIS_OXIDATIVE_CELL_DEATH	FTH1
