package	reason
anaconda-anon-usage	local direct-file installation omitted from portable environment manifest
annotated-types	local direct-file installation omitted from portable environment manifest
archspec	local direct-file installation omitted from portable environment manifest
boltons	local direct-file installation omitted from portable environment manifest
brotlicffi	local direct-file installation omitted from portable environment manifest
certifi	local direct-file installation omitted from portable environment manifest
cffi	local direct-file installation omitted from portable environment manifest
charset-normalizer	local direct-file installation omitted from portable environment manifest
click	local direct-file installation omitted from portable environment manifest
coloredlogs	local direct-file installation omitted from portable environment manifest
colormath	local direct-file installation omitted from portable environment manifest
conda	local direct-file installation omitted from portable environment manifest
conda-anaconda-telemetry	local direct-file installation omitted from portable environment manifest
conda-anaconda-tos	local direct-file installation omitted from portable environment manifest
conda-content-trust	local direct-file installation omitted from portable environment manifest
conda-libmamba-solver	local direct-file installation omitted from portable environment manifest
conda-package-handling	local direct-file installation omitted from portable environment manifest
conda_package_streaming	local direct-file installation omitted from portable environment manifest
contourpy	local direct-file installation omitted from portable environment manifest
cryptography	local direct-file installation omitted from portable environment manifest
cycler	local direct-file installation omitted from portable environment manifest
distro	local direct-file installation omitted from portable environment manifest
et_xmlfile	local direct-file installation omitted from portable environment manifest
fonttools	local direct-file installation omitted from portable environment manifest
frozendict	local direct-file installation omitted from portable environment manifest
humanfriendly	local direct-file installation omitted from portable environment manifest
humanize	local direct-file installation omitted from portable environment manifest
idna	local direct-file installation omitted from portable environment manifest
importlib_metadata	local direct-file installation omitted from portable environment manifest
intervaltree	local direct-file installation omitted from portable environment manifest
Jinja2	local direct-file installation omitted from portable environment manifest
joblib	local direct-file installation omitted from portable environment manifest
jsonpatch	local direct-file installation omitted from portable environment manifest
kaleido	local direct-file installation omitted from portable environment manifest
kaptive	local direct-file installation omitted from portable environment manifest
kiwisolver	local direct-file installation omitted from portable environment manifest
libmambapy	local direct-file installation omitted from portable environment manifest
Markdown	local direct-file installation omitted from portable environment manifest
markdown-it-py	local direct-file installation omitted from portable environment manifest
MarkupSafe	local direct-file installation omitted from portable environment manifest
mdurl	local direct-file installation omitted from portable environment manifest
menuinst	local direct-file installation omitted from portable environment manifest
multiqc	local direct-file installation omitted from portable environment manifest
narwhals	local direct-file installation omitted from portable environment manifest
natsort	local direct-file installation omitted from portable environment manifest
networkx	local direct-file installation omitted from portable environment manifest
numpy	local direct-file installation omitted from portable environment manifest
openpyxl	local direct-file installation omitted from portable environment manifest
pandas	local direct-file installation omitted from portable environment manifest
patsy	local direct-file installation omitted from portable environment manifest
pillow	local direct-file installation omitted from portable environment manifest
platformdirs	local direct-file installation omitted from portable environment manifest
plotly	local direct-file installation omitted from portable environment manifest
pluggy	local direct-file installation omitted from portable environment manifest
pyaml_env	local direct-file installation omitted from portable environment manifest
pycosat	local direct-file installation omitted from portable environment manifest
pycparser	local direct-file installation omitted from portable environment manifest
pydantic	local direct-file installation omitted from portable environment manifest
pydantic_core	local direct-file installation omitted from portable environment manifest
Pygments	local direct-file installation omitted from portable environment manifest
pyparsing	local direct-file installation omitted from portable environment manifest
PySocks	local direct-file installation omitted from portable environment manifest
python-dateutil	local direct-file installation omitted from portable environment manifest
python-dotenv	local direct-file installation omitted from portable environment manifest
pytz	local direct-file installation omitted from portable environment manifest
PyYAML	local direct-file installation omitted from portable environment manifest
RagTag	local direct-file installation omitted from portable environment manifest
requests	local direct-file installation omitted from portable environment manifest
rich	local direct-file installation omitted from portable environment manifest
rich-click	local direct-file installation omitted from portable environment manifest
ruamel.yaml	local direct-file installation omitted from portable environment manifest
ruamel.yaml.clib	local direct-file installation omitted from portable environment manifest
scipy	local direct-file installation omitted from portable environment manifest
seaborn	local direct-file installation omitted from portable environment manifest
simplejson	local direct-file installation omitted from portable environment manifest
six	local direct-file installation omitted from portable environment manifest
sortedcontainers	local direct-file installation omitted from portable environment manifest
spectra	local direct-file installation omitted from portable environment manifest
statsmodels	local direct-file installation omitted from portable environment manifest
tqdm	local direct-file installation omitted from portable environment manifest
truststore	local direct-file installation omitted from portable environment manifest
typeguard	local direct-file installation omitted from portable environment manifest
typing-inspection	local direct-file installation omitted from portable environment manifest
tzdata	local direct-file installation omitted from portable environment manifest
urllib3	local direct-file installation omitted from portable environment manifest
zipp	local direct-file installation omitted from portable environment manifest
