sample_id	annotation_row_matched	sample_geo_accession	tissue	treatment	primary_exposure	outcome	pregnancy_status	sex	inferred_group	dam_id	unresolved_required_fields	source_annotation_text
B1	True	GSM8594270	bladder	UTI89	UPEC_exposed	preterm	pregnant	female	UTI89_Preterm			tissue: Bladder | outcome: Preterm | background: 129/sv | Sex: female | treatment: UTI89
B2	True	GSM8594271	bladder	UTI89	UPEC_exposed	preterm	pregnant	female	UTI89_Preterm			tissue: Bladder | outcome: Preterm | background: 129/sv | Sex: female | treatment: UTI89
B3	True	GSM8594272	bladder	UTI89	UPEC_exposed	nonpregnant	nonpregnant	female	UTI89_Nonpregnant			tissue: Bladder | outcome: Nonpregnant | background: 129/sv | Sex: female | treatment: UTI89
B4	True	GSM8594273	bladder	UTI89	UPEC_exposed	nonpregnant	nonpregnant	female	UTI89_Nonpregnant			tissue: Bladder | outcome: Nonpregnant | background: 129/sv | Sex: female | treatment: UTI89
B5	True	GSM8594274	bladder	UTI89	UPEC_exposed	nonpregnant	nonpregnant	female	UTI89_Nonpregnant			tissue: Bladder | outcome: Nonpregnant | background: 129/sv | Sex: female | treatment: UTI89
B6	True	GSM8594275	bladder	UTI89	UPEC_exposed	nonpregnant	nonpregnant	female	UTI89_Nonpregnant			tissue: Bladder | outcome: Nonpregnant | background: 129/sv | Sex: female | treatment: UTI89
B7	True	GSM8594276	bladder	UTI89	UPEC_exposed	preterm	pregnant	female	UTI89_Preterm			tissue: Bladder | outcome: Preterm | background: 129/sv | Sex: female | treatment: UTI89
B8	True	GSM8594277	bladder	UTI89	UPEC_exposed	term	pregnant	female	UTI89_Term			tissue: Bladder | outcome: Term | background: 129/sv | Sex: female | treatment: UTI89
B9	True	GSM8594278	bladder	UTI89	UPEC_exposed	term	pregnant	female	UTI89_Term			tissue: Bladder | outcome: Term | background: 129/sv | Sex: female | treatment: UTI89
B10	True	GSM8594279	bladder	PBS_control	control	mock_control	pregnant_control	female	Mock_PBS			tissue: Bladder | outcome: Mock | background: 129/sv | Sex: female | treatment: PBS
B11	True	GSM8594280	bladder	UTI89	UPEC_exposed	preterm	pregnant	female	UTI89_Preterm			tissue: Bladder | outcome: Preterm | background: 129/sv | Sex: female | treatment: UTI89
B12	True	GSM8594281	bladder	UTI89	UPEC_exposed	term	pregnant	female	UTI89_Term			tissue: Bladder | outcome: Term | background: 129/sv | Sex: female | treatment: UTI89
B13	True	GSM8594282	bladder	PBS_control	control	mock_control	pregnant_control	female	Mock_PBS			tissue: Bladder | outcome: Mock | background: 129/sv | Sex: female | treatment: PBS
B14	True	GSM8594283	bladder	UTI89	UPEC_exposed	preterm	pregnant	female	UTI89_Preterm			tissue: Bladder | outcome: Preterm | background: 129/sv | Sex: female | treatment: UTI89
B15	True	GSM8594284	bladder	PBS_control	control	mock_control	pregnant_control	female	Mock_PBS			tissue: Bladder | outcome: Mock | background: 129/sv | Sex: female | treatment: PBS
B16	True	GSM8594285	bladder	UTI89	UPEC_exposed	preterm	pregnant	female	UTI89_Preterm			tissue: Bladder | outcome: Preterm | background: 129/sv | Sex: female | treatment: UTI89
B17	True	GSM8594286	bladder	UTI89_RFP	UPEC_exposed	term	pregnant	female	UTI89_Term			tissue: Bladder | outcome: Term | background: 129/sv | Sex: female | treatment: UTI89 RFP
B18	True	GSM8594287	bladder	UTI89_RFP	UPEC_exposed	term	pregnant	female	UTI89_Term			tissue: Bladder | outcome: Term | background: 129/sv | Sex: female | treatment: UTI89 RFP
U1	True	GSM8594316	uterus	UTI89	UPEC_exposed	preterm	pregnant	female	UTI89_Preterm			tissue: Uterus | outcome: Preterm | background: 129/sv | Sex: female | treatment: UTI89
U2	True	GSM8594317	uterus	UTI89	UPEC_exposed	preterm	pregnant	female	UTI89_Preterm			tissue: Uterus | outcome: Preterm | background: 129/sv | Sex: female | treatment: UTI89
U3	True	GSM8594318	uterus	UTI89	UPEC_exposed	preterm	pregnant	female	UTI89_Preterm			tissue: Uterus | outcome: Preterm | background: 129/sv | Sex: female | treatment: UTI89
U4	True	GSM8594319	uterus	UTI89	UPEC_exposed	term	pregnant	female	UTI89_Term			tissue: Uterus | outcome: Term | background: 129/sv | Sex: female | treatment: UTI89
U5	True	GSM8594320	uterus	UTI89	UPEC_exposed	term	pregnant	female	UTI89_Term			tissue: Uterus | outcome: Term | background: 129/sv | Sex: female | treatment: UTI89
U6	True	GSM8594321	uterus	PBS_control	control	mock_control	pregnant_control	female	Mock_PBS			tissue: Uterus | outcome: Mock | background: 129/sv | Sex: female | treatment: PBS
