axis	submodule_id	display_label	n_genes	genes	biological_readout	priority_weight	proposed_figure_family
steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	19	CYP51A1;DHCR24;DHCR7;EBP;FDFT1;FDPS;HMGCR;HMGCS1;HSD17B7;IDI1;LSS;MSMO1;MVD;MVK;NSDHL;PMVK;SC5D;SQLE;TM7SF2	de novo cholesterol precursor production	5	Figure_7
steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	19	ABCA1;ABCG1;ABCG5;ABCG8;APOA1;APOB;APOE;CD36;LDLR;LRP1;NPC1;NPC2;OSBPL1A;OSBPL2;OSBPL5;SCARB1;STARD3;STARD4;STARD5	cellular sterol acquisition, trafficking and efflux	5	Figure_7
steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	12	CYB5A;CYP11A1;CYP11B1;CYP11B2;CYP17A1;CYP21A2;FDX1;FDXR;HSD3B1;HSD3B2;POR;STAR	conversion of cholesterol into steroid intermediates	5	Figure_7
steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	17	AKR1C1;AKR1C2;CYP11A1;FKBP5;HAND2;HSD3B1;HSD3B2;NCOA1;NCOA2;NCOA3;PAQR5;PAQR7;PAQR8;PGR;PGRMC1;PGRMC2;STAR	progesterone-supportive synthesis and receptor activity	5	Figure_7
steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	9	COMT;CYP19A1;CYP1A1;CYP1B1;HSD17B1;HSD17B12;HSD17B2;HSD17B7;HSD17B8	aromatization and estrogen interconversion	5	Figure_7
steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	13	CCND1;ESR1;ESR2;FOXA1;GPER1;GREB1;KLF4;NCOA1;NCOA2;NCOA3;NRIP1;PGR;TFF1	canonical and membrane-associated estrogen response	5	Figure_7
steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	9	AKR1C3;CYB5A;CYP11A1;CYP17A1;HSD17B3;HSD3B1;HSD3B2;POR;STAR	androgen precursor and testosterone production	5	Figure_7
steroid_cholesterol_endocrine	TESTOSTERONE_CONVERSION_AROMATIZATION	Testosterone conversion and aromatization	11	AKR1C2;AKR1C3;CYP19A1;HSD17B2;SRD5A1;SRD5A2;SRD5A3;SULT2A1;UGT2B15;UGT2B17;UGT2B7	conversion to estrogens, dihydrotestosterone or inactive conjugates	5	Figure_7
steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	11	AR;FKBP5;FOXA1;KLK3;NCOA1;NCOA2;NCOA3;NCOR1;NCOR2;SGK1;TMPRSS2	androgen-responsive nuclear receptor program	4	Figure_7
steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	13	DUSP1;FKBP5;GILZ;HSD11B1;HSD11B2;KLF9;NFKBIA;NR3C1;PER1;SGK1;TAT;TSC22D3;ZBTB16	glucocorticoid sensing and anti-inflammatory or stress adaptation	5	Figure_7
steroid_cholesterol_endocrine	MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	11	ATP1A1;ATP1B1;FXYD2;HSD11B2;KCNJ1;NEDD4L;NR3C2;SCNN1A;SCNN1B;SCNN1G;SGK1	mineralocorticoid-linked ion transport and epithelial response	4	Figure_7
steroid_cholesterol_endocrine	STEROID_SULFATION_DESULFATION	Steroid sulfation and desulfation	10	ARSB;GALNS;PAPSS1;PAPSS2;SLC26A2;SLC35B2;STS;SULT1E1;SULT2A1;SULT2B1	reversible steroid conjugation and bioavailability	5	Figure_7
steroid_cholesterol_endocrine	STEROID_CATABOLISM_DEACTIVATION	Steroid catabolism and deactivation	13	AKR1C1;AKR1C2;COMT;CYP1A1;CYP1B1;CYP3A4;CYP3A5;HSD17B2;UGT1A1;UGT1A3;UGT2B15;UGT2B17;UGT2B7	steroid clearance, oxidation, reduction and conjugation	5	Figure_7
