sample_id	annotation_row_matched	dataset_id	inferred_group	inferred_block	source
24	True	GSE186800	PBS	PBS_1	GSE186800_PBS_1.txt.gz
42	True	GSE186800	PBS	PBS_1	GSE186800_PBS_1.txt.gz
47	True	GSE186800	PBS	PBS_1	GSE186800_PBS_1.txt.gz
48	True	GSE186800	PBS	PBS_1	GSE186800_PBS_1.txt.gz
49	True	GSE186800	PBS	PBS_1	GSE186800_PBS_1.txt.gz
21	True	GSE186800	Gardnerella	Gard_1	GSE186800_Gard_1.txt.gz
22	True	GSE186800	Gardnerella	Gard_1	GSE186800_Gard_1.txt.gz
23	True	GSE186800	Gardnerella	Gard_1	GSE186800_Gard_1.txt.gz
34	True	GSE186800	Gardnerella	Gard_1	GSE186800_Gard_1.txt.gz
55	True	GSE186800	Gardnerella	Gard_1	GSE186800_Gard_1.txt.gz
20	True	GSE186800	PBS	PBS_2	GSE186800_PBS_2.txt.gz
32	True	GSE186800	PBS	PBS_2	GSE186800_PBS_2.txt.gz
33	True	GSE186800	PBS	PBS_2	GSE186800_PBS_2.txt.gz
56	True	GSE186800	PBS	PBS_2	GSE186800_PBS_2.txt.gz
59	True	GSE186800	PBS	PBS_2	GSE186800_PBS_2.txt.gz
26	True	GSE186800	Gardnerella	Gard_2	GSE186800_Gard_2.txt.gz
27	True	GSE186800	Gardnerella	Gard_2	GSE186800_Gard_2.txt.gz
28	True	GSE186800	Gardnerella	Gard_2	GSE186800_Gard_2.txt.gz
39	True	GSE186800	Gardnerella	Gard_2	GSE186800_Gard_2.txt.gz
60	True	GSE186800	Gardnerella	Gard_2	GSE186800_Gard_2.txt.gz
