panel_key	final_figure	panel	source_id	source_role	locked_path	selection_score	second_best_score	score_margin	schema_columns	visual_reference_assets	lock_status	locked_path_exists
Figure_1A	Figure_1	A	01_study_design_and_question_map	bulk_readiness	project://06_tables/phaseU26B2A1_cross_dataset_input_repair/UTI_HostOmics_U26B2A1_bulk_dataset_readiness.tsv	132.999999443			dataset;species;biological_role;observed_samples;canonical_genes;annotation_match_fraction;expression_scale_class;ready_for_scoring;critical_note		LOCKED_EXACT_RULE	True
Figure_1A	Figure_1	A	01_study_design_and_question_map	gse280297_design	project://03_metadata/phaseU26A5_GSE280297_final_input_resolution/GSE280297_U26A5_validated_60sample_design.tsv	89.99998929			sample_id;annotation_row_matched;sample_geo_accession;tissue;treatment;primary_exposure;outcome;pregnancy_status;sex;inferred_group;dam_id;unresolved_required_fields;source_annotation_text		LOCKED_EXACT_RULE	True
Figure_1A	Figure_1	A	01_study_design_and_question_map	module_library	project://03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_expanded_submodule_library.tsv	144.999982075			axis;submodule_id;display_label;n_genes;genes;biological_readout;priority_weight;proposed_figure_family		LOCKED_EXACT_RULE	True
Figure_1A	Figure_1	A	01_study_design_and_question_map	refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	144.999994324			feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score;n_non_tiny_concordant_moderate_datasets;biological_priority;preterm_vs_term_effect;preterm_tissue_coherence;preterm_direction;infection_outcome_relation;refined_preterm_effect_class;refined_infection_outcome_relation;manuscript_claim_priority		LOCKED_EXACT_RULE	True
Figure_1B	Figure_1	B	dataset_manifest	bulk_readiness	project://06_tables/phaseU26B2A1_cross_dataset_input_repair/UTI_HostOmics_U26B2A1_bulk_dataset_readiness.tsv	132.999999443			dataset;species;biological_role;observed_samples;canonical_genes;annotation_match_fraction;expression_scale_class;ready_for_scoring;critical_note		LOCKED_EXACT_RULE	True
Figure_1C	Figure_1	C	contrast_manifest	gse112098_adjusted	project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_GSE112098_age_sex_adjusted_results.tsv	167.999968274			dataset;contrast_id;biological_context;evidence_tier;group_a;group_b;n_group_a;n_group_b;feature_type;axis;feature_id;display_label;proposed_figure_family;model_estimate;model_standard_error;model_t_value;model_p_value;degrees_freedom;direction;model_q_within_contrast;model_fdr_0_05;model_fdr_0_10		LOCKED_EXACT_RULE	True
Figure_1C	Figure_1	C	contrast_manifest	gse186800_factorial	project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_GSE186800_factorial_results.tsv	179.999844017			dataset;contrast_id;biological_context;evidence_tier;group_a;group_b;n_group_a;n_group_b;feature_type;axis;feature_id;display_label;proposed_figure_family;mean_group_a;mean_group_b;mean_difference_a_minus_b;hedges_g;model_estimate;model_standard_error;model_t_value;model_p_value;degrees_freedom;direction;model_q_within_contrast;model_fdr_0_05;model_fdr_0_10		LOCKED_EXACT_RULE	True
Figure_1C	Figure_1	C	contrast_manifest	gse280297_design	project://03_metadata/phaseU26A5_GSE280297_final_input_resolution/GSE280297_U26A5_validated_60sample_design.tsv	89.99998929			sample_id;annotation_row_matched;sample_geo_accession;tissue;treatment;primary_exposure;outcome;pregnancy_status;sex;inferred_group;dam_id;unresolved_required_fields;source_annotation_text		LOCKED_EXACT_RULE	True
Figure_1D	Figure_1	D	U26A_module_dictionary	module_library	project://03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_expanded_submodule_library.tsv	144.999982075			axis;submodule_id;display_label;n_genes;genes;biological_readout;priority_weight;proposed_figure_family		LOCKED_EXACT_RULE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26A1_targeted_source_contrast_species_repair/UTI_HostOmics_U26A1_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26A2_GSE280297_identifier_design_resolution/UTI_HostOmics_U26A2_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26A3_GSE280297_explicit_source_metadata_reconstruction/UTI_HostOmics_U26A3_phase_decision.tsv						LOCKED_BUNDLE	True
