asset_type	figure_number	panel	format	source_path	frozen_path	size_bytes	sha256	png_width_px	png_height_px
main_figure	1		png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/UTI_HostOmics_U27B2C2D_Figure_1.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/UTI_HostOmics_U27B2C2E_Figure_1.png	391602	1458a533a58befbcefbd64066664334b28aba87447cacc705104f9c7f6f24234		
main_figure	1		svg	project://06_figures/phaseU27B2C2D_final_label_margin_polish/UTI_HostOmics_U27B2C2D_Figure_1.svg	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/UTI_HostOmics_U27B2C2E_Figure_1.svg	188433	de0fa80dd8dd18b2341357f02c937f558c49b80f6b23970de2040258fc7a0aaa		
main_figure	1		pdf	project://06_figures/phaseU27B2C2D_final_label_margin_polish/UTI_HostOmics_U27B2C2D_Figure_1.pdf	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/UTI_HostOmics_U27B2C2E_Figure_1.pdf	40624	9ceb33efa8364343cf82812491e823ef376d0d56a4208492130b4c3c4efcd03f		
main_figure	2		png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/UTI_HostOmics_U27B2C2D_Figure_2.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/UTI_HostOmics_U27B2C2E_Figure_2.png	463453	bc3c52c21598105f9bd3c1473881354f2edf5a9cf969b29bf09794f6ad473902		
main_figure	2		svg	project://06_figures/phaseU27B2C2D_final_label_margin_polish/UTI_HostOmics_U27B2C2D_Figure_2.svg	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/UTI_HostOmics_U27B2C2E_Figure_2.svg	264929	0694b72819f615da1754585ad701c93ebbe77598cb32e5a6099cafbe97e51429		
main_figure	2		pdf	project://06_figures/phaseU27B2C2D_final_label_margin_polish/UTI_HostOmics_U27B2C2D_Figure_2.pdf	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/UTI_HostOmics_U27B2C2E_Figure_2.pdf	58368	e1e41a3dfdba185ab32fe206dae38c1f955c6f42b00095813be48b4542e8f0d7		
main_figure	3		png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/UTI_HostOmics_U27B2C2D_Figure_3.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/UTI_HostOmics_U27B2C2E_Figure_3.png	608100	9778304f5c179f52241ad553692d4814b64719b762f8a5084136179a480571cc		
main_figure	3		svg	project://06_figures/phaseU27B2C2D_final_label_margin_polish/UTI_HostOmics_U27B2C2D_Figure_3.svg	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/UTI_HostOmics_U27B2C2E_Figure_3.svg	298493	afbe0f9130bee6e188adcd42fe86c326685ca70549bf29fcec4e1785e0dd680a		
main_figure	3		pdf	project://06_figures/phaseU27B2C2D_final_label_margin_polish/UTI_HostOmics_U27B2C2D_Figure_3.pdf	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/UTI_HostOmics_U27B2C2E_Figure_3.pdf	48410	f29a5548b8377b591aae9e8c157462d8adf343e302b6a96f8139e6069ad8e434		
main_figure	4		png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/UTI_HostOmics_U27B2C2D_Figure_4.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/UTI_HostOmics_U27B2C2E_Figure_4.png	724983	ef6912e9db2404bb6d244fcb99233bd41367fe21a702717ee05541a4eb20a590		
