sequence	component	required_action
1	Front matter	Update version label, title, author block, affiliations and keywords.
2	Abstract	Rewrite around four frozen datasets, 78 submodules, recurrent TLR4-leptin-PI3K-AKT core, pregnancy steroid decoupling, cellular localization and complement.
3	Introduction	Refocus on endocrine-metabolic-immune integration, pregnancy outcomes, cell-source localization and complement.
4	Methods	Reconstruct from U26-U27 provenance: species-native scoring, effect-size synthesis, evidence classes, single-cell reconstruction, pseudobulk localization and figure freezing.
5	Results	Freeze U27B3C2 text; permit only copyediting and cross-reference repair.
6	Discussion	Rewrite around recurrent infection core, steroid synthesis-response decoupling, immunometabolism, complement and cellular attribution.
7	Limitations	Expand pregnancy FDR, dam identifier, n=2 versus n=2, exact p=0.333, cross-species integration and transcript-not-flux limits.
8	Conclusions	Rewrite around the integrated evidence hierarchy in Figure 8.
9	Data availability	Replace with four frozen datasets and final package locations.
10	Code availability	Replace legacy 04_scripts path with 10_scripts and repository status.
11	Figures	Freeze Figures 1-8 and U27B3B legends.
12	Supplementary tables	Rebuild and renumber from frozen U26-U27 source tables.
13	References	Resolve citation keys and remaining gaps through Zotero.
