axis	submodule_id	display_label	adequate_bulk_datasets	partial_bulk_datasets	single_cell_coverage	mean_coverage_fraction	priority_weight	proposed_figure_family	figure_recommendation
steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	3	0	adequate	0.9606	5	Figure_7	main_figure_strong
steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	3	0	adequate	0.9737	5	Figure_7	main_figure_strong
steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	3	0	adequate	0.8542	5	Figure_7	main_figure_strong
steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	3	0	adequate	0.8971	5	Figure_7	main_figure_strong
steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	3	0	adequate	0.8889	5	Figure_7	main_figure_strong
steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	3	0	adequate	0.9616	5	Figure_7	main_figure_strong
steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	3	0	partial	0.8334	5	Figure_7	main_figure_candidate_with_bulk_emphasis
steroid_cholesterol_endocrine	TESTOSTERONE_CONVERSION_AROMATIZATION	Testosterone conversion and aromatization	1	2	weak	0.5909	5	Figure_7	supplement_exploratory
steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	3	0	adequate	0.9318	4	Figure_7	main_figure_strong
steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	3	0	adequate	0.9039	5	Figure_7	main_figure_strong
steroid_cholesterol_endocrine	MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	3	0	adequate	1.0	4	Figure_7	main_figure_strong
steroid_cholesterol_endocrine	STEROID_SULFATION_DESULFATION	Steroid sulfation and desulfation	3	0	partial	0.85	5	Figure_7	main_figure_candidate_with_bulk_emphasis
steroid_cholesterol_endocrine	STEROID_CATABOLISM_DEACTIVATION	Steroid catabolism and deactivation	1	0	weak	0.5	5	Figure_7	supplement_exploratory
steroid_cholesterol_endocrine	PLACENTAL_STEROID_METABOLISM	Placental steroid metabolism	3	0	partial	0.8393	5	Figure_7	main_figure_candidate_with_bulk_emphasis
steroid_cholesterol_endocrine	LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	3	0	adequate	0.9167	4	Figure_7	main_figure_strong
lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	3	0	adequate	0.9286	5	Figure_7	main_figure_strong
lipid_metabolism	FATTY_ACID_BETA_OXIDATION	Fatty-acid beta-oxidation	3	0	adequate	1.0	5	Figure_7	main_figure_strong
lipid_metabolism	PHOSPHOLIPID_METABOLISM	Phospholipid metabolism	3	0	adequate	0.9844	4	Figure_7	main_figure_strong
lipid_metabolism	SPHINGOLIPID_CERAMIDE_METABOLISM	Sphingolipid and ceramide metabolism	3	0	adequate	0.9875	5	Figure_7	main_figure_strong
lipid_metabolism	EICOSANOID_PROSTAGLANDIN_METABOLISM	Eicosanoid and prostaglandin metabolism	3	0	adequate	0.9559	5	Figure_7	main_figure_strong
lipid_metabolism	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	3	0	adequate	0.9833	4	Figure_7	main_figure_strong
lipid_metabolism	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	3	0	adequate	1.0	5	Figure_7	main_figure_strong
lipid_metabolism	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	3	0	adequate	0.9531	5	Figure_7	main_figure_strong
carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	3	0	adequate	0.9583	5	Figure_8	main_figure_strong
carbohydrate_inflammatory_carbon	GLUCONEOGENESIS	Gluconeogenesis	3	0	adequate	0.9167	4	Figure_8	main_figure_strong
carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	3	0	adequate	1.0	4	Figure_8	main_figure_strong
carbohydrate_inflammatory_carbon	GLYCOGENOLYSIS	Glycogenolysis	3	0	adequate	0.9583	4	Figure_8	main_figure_strong
carbohydrate_inflammatory_carbon	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	3	0	adequate	0.95	5	Figure_8	main_figure_strong
carbohydrate_inflammatory_carbon	TCA_OXPHOS	TCA cycle and oxidative phosphorylation	3	0	adequate	0.8805	5	Figure_8	main_figure_strong
carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	3	0	adequate	0.9833	5	Figure_8	main_figure_strong
carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	3	0	adequate	1.0	5	Figure_8	main_figure_strong
carbohydrate_inflammatory_carbon	MTOR_SIGNALING	mTOR signaling	3	0	adequate	1.0	5	Figure_8	main_figure_strong
carbohydrate_inflammatory_carbon	GLUCOSE_TRANSPORT	Glucose transport	3	0	adequate	0.8959	4	Figure_8	main_figure_strong
carbohydrate_inflammatory_carbon	AGE_RAGE_SIGNALING	AGE-RAGE signaling	3	0	adequate	0.9219	4	Figure_8	main_figure_strong
insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	3	0	adequate	0.9861	5	Figure_8	main_figure_strong
insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	3	0	adequate	1.0	5	Figure_8	main_figure_strong
insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	3	0	adequate	1.0	5	Figure_8	main_figure_strong
insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	3	0	adequate	1.0	4	Figure_8	main_figure_strong
adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	3	0	adequate	0.9792	5	Figure_8	main_figure_strong
adipokine_signaling	ADIPONECTIN_SIGNALING	Adiponectin signaling	3	0	adequate	1.0	5	Figure_8	main_figure_strong
adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	3	0	adequate	1.0	4	Figure_8	main_figure_strong
adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	3	0	adequate	0.9616	5	Figure_8	main_figure_strong
