contrast_id	tissue	group_a	group_b	axis	axis_score_id	n_group_a	n_group_b	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	permutation_p_value	permutation_method	n_permutations	stability_class	permutation_q_within_contrast	fdr_0_05	fdr_0_10
C1_PRETERM_VS_TERM	bladder	UTI89_preterm	UTI89_term	adipokine_signaling	AXIS__adipokine_signaling	6	3	0.038988630894521516	0.5303947565630959	-0.49140612566857433	-0.6431734076651464	0.4166666666666667	exact	84	small_group	0.6216931216931216	False	False
C1_PRETERM_VS_TERM	bladder	UTI89_preterm	UTI89_term	amino_acid_metabolism	AXIS__amino_acid_metabolism	6	3	0.05700390818883513	0.4264226203927264	-0.3694187122038913	-0.6890479898149605	0.38095238095238093	exact	84	small_group	0.6216931216931216	False	False
C1_PRETERM_VS_TERM	bladder	UTI89_preterm	UTI89_term	carbohydrate_inflammatory_carbon	AXIS__carbohydrate_inflammatory_carbon	6	3	0.05934469260206634	0.39985880571065646	-0.34051411310859014	-0.5459011990263886	0.42857142857142855	exact	84	small_group	0.6216931216931216	False	False
C1_PRETERM_VS_TERM	bladder	UTI89_preterm	UTI89_term	catecholamine_stress_adjacent	AXIS__catecholamine_stress_adjacent	6	3	0.04827890120721586	0.3674545508019466	-0.31917564959473077	-0.586571537161714	0.4166666666666667	exact	84	small_group	0.6216931216931216	False	False
C1_PRETERM_VS_TERM	bladder	UTI89_preterm	UTI89_term	complement_architecture	AXIS__complement_architecture	6	3	0.2211332464731837	0.1354018534909691	0.0857313929822146	0.1129895450094622	0.8095238095238095	exact	84	small_group	0.8095238095238095	False	False
C1_PRETERM_VS_TERM	bladder	UTI89_preterm	UTI89_term	immune_context_anchors	AXIS__immune_context_anchors	6	3	0.14180302415671622	0.409515192617162	-0.26771216846044577	-0.42027845207719167	0.5357142857142857	exact	84	small_group	0.6216931216931216	False	False
C1_PRETERM_VS_TERM	bladder	UTI89_preterm	UTI89_term	insulin_irs_signaling	AXIS__insulin_irs_signaling	6	3	-0.07150658986567594	0.6828635266016199	-0.7543701164672958	-1.059457768079095	0.14285714285714285	exact	84	small_group	0.6216931216931216	False	False
C1_PRETERM_VS_TERM	bladder	UTI89_preterm	UTI89_term	lipid_metabolism	AXIS__lipid_metabolism	6	3	0.0846871598999648	0.33214422402340377	-0.24745706412343899	-0.4007432398061136	0.5595238095238095	exact	84	small_group	0.6216931216931216	False	False
C1_PRETERM_VS_TERM	bladder	UTI89_preterm	UTI89_term	nucleotide_nad_nitrogen	AXIS__nucleotide_nad_nitrogen	6	3	0.11215148276904967	0.36185455309567754	-0.24970307032662786	-0.4625336953472159	0.5238095238095238	exact	84	small_group	0.6216931216931216	False	False
C1_PRETERM_VS_TERM	bladder	UTI89_preterm	UTI89_term	steroid_cholesterol_endocrine	AXIS__steroid_cholesterol_endocrine	6	3	0.08521643759904263	0.28266807361950524	-0.19745163602046262	-0.4468734348334565	0.5357142857142857	exact	84	small_group	0.6216931216931216	False	False
C1_PRETERM_VS_TERM	placenta	UTI89_preterm	UTI89_term	adipokine_signaling	AXIS__adipokine_signaling	12	6	0.12322530530575448	0.033986634642251906	0.08923867066350258	0.1807147359691891	0.7115288471152885	monte_carlo	10000	moderate_stability	0.9417058294170582	False	False
C1_PRETERM_VS_TERM	placenta	UTI89_preterm	UTI89_term	amino_acid_metabolism	AXIS__amino_acid_metabolism	12	6	0.01680699485519758	0.15658100287004248	-0.1397740080148449	-0.23159981750672415	0.6339366063393661	monte_carlo	10000	moderate_stability	0.9417058294170582	False	False
C1_PRETERM_VS_TERM	placenta	UTI89_preterm	UTI89_term	carbohydrate_inflammatory_carbon	AXIS__carbohydrate_inflammatory_carbon	12	6	0.03245652601409057	0.05339176312087599	-0.020935237106785423	-0.035550036405254094	0.9417058294170583	monte_carlo	10000	moderate_stability	0.9417058294170582	False	False
C1_PRETERM_VS_TERM	placenta	UTI89_preterm	UTI89_term	catecholamine_stress_adjacent	AXIS__catecholamine_stress_adjacent	12	6	0.05186240365664032	0.0922866714598833	-0.04042426780324298	-0.07879494619904914	0.8721127887211279	monte_carlo	10000	moderate_stability	0.9417058294170582	False	False
C1_PRETERM_VS_TERM	placenta	UTI89_preterm	UTI89_term	complement_architecture	AXIS__complement_architecture	12	6	0.07304609257114837	0.04642277350828494	0.02662331906286343	0.05053483578582264	0.9186081391860814	monte_carlo	10000	moderate_stability	0.9417058294170582	False	False
C1_PRETERM_VS_TERM	placenta	UTI89_preterm	UTI89_term	immune_context_anchors	AXIS__immune_context_anchors	12	6	0.11838697950647904	-0.024014766195896698	0.14240174570237574	0.28080120249513857	0.5634436556344365	monte_carlo	10000	moderate_stability	0.9417058294170582	False	False
C1_PRETERM_VS_TERM	placenta	UTI89_preterm	UTI89_term	insulin_irs_signaling	AXIS__insulin_irs_signaling	12	6	0.035467540331839804	0.2737693711138556	-0.23830183078201578	-0.3342609811145515	0.4874512548745126	monte_carlo	10000	moderate_stability	0.9417058294170582	False	False
C1_PRETERM_VS_TERM	placenta	UTI89_preterm	UTI89_term	lipid_metabolism	AXIS__lipid_metabolism	12	6	0.050867127051244486	0.10554069132636172	-0.054673564275117235	-0.09133809011235282	0.849015098490151	monte_carlo	10000	moderate_stability	0.9417058294170582	False	False
C1_PRETERM_VS_TERM	placenta	UTI89_preterm	UTI89_term	nucleotide_nad_nitrogen	AXIS__nucleotide_nad_nitrogen	12	6	0.07145146008134824	0.010579935771591173	0.06087152430975707	0.11358336265232885	0.8018198180181981	monte_carlo	10000	moderate_stability	0.9417058294170582	False	False
C1_PRETERM_VS_TERM	placenta	UTI89_preterm	UTI89_term	steroid_cholesterol_endocrine	AXIS__steroid_cholesterol_endocrine	12	6	0.010065720272988127	0.1612876337986437	-0.15122191352565556	-0.3088408428098284	0.5195480451954805	monte_carlo	10000	moderate_stability	0.9417058294170582	False	False
C1_PRETERM_VS_TERM	uterus	UTI89_preterm	UTI89_term	adipokine_signaling	AXIS__adipokine_signaling	6	3	0.09957492848481232	0.22436288269781182	-0.1247879542129995	-0.5477072942976606	0.42857142857142855	exact	84	small_group	0.9404761904761905	False	False
C1_PRETERM_VS_TERM	uterus	UTI89_preterm	UTI89_term	amino_acid_metabolism	AXIS__amino_acid_metabolism	6	3	0.10197401947455581	0.1359606651565069	-0.03398664568195109	-0.07880384005379017	0.9285714285714286	exact	84	small_group	0.9404761904761905	False	False
