contrast_id	feature_id	axis	display_label	proposed_figure_family	n_tissues	n_positive_tissues	n_negative_tissues	directional_coherence_fraction	dominant_direction	median_hedges_g	mean_absolute_hedges_g
C1_PRETERM_VS_TERM	ADIPOKINE_INFLAMMATORY_AXIS	adipokine_signaling	Inflammatory adipokine axis	Figure_8	3	1	2	0.6666666666666666	negative	-0.2537689491728889	0.44834924975359947
C1_PRETERM_VS_TERM	ADIPONECTIN_SIGNALING	adipokine_signaling	Adiponectin signaling	Figure_8	3	1	2	0.6666666666666666	negative	-0.2392206686071992	0.4949095154689453
C1_PRETERM_VS_TERM	ADRENERGIC_STRESS_SIGNALING	catecholamine_stress_adjacent	Adrenergic stress signaling	Figure_9	3	1	2	0.6666666666666666	negative	-0.459976279309689	0.4834805922758912
C1_PRETERM_VS_TERM	AGE_RAGE_SIGNALING	carbohydrate_inflammatory_carbon	AGE-RAGE signaling	Figure_8	3	1	2	0.6666666666666666	negative	-0.0415273486691742	0.301228619587976
C1_PRETERM_VS_TERM	AMINO_ACID_TRANSPORT	amino_acid_metabolism	Amino-acid transport	Figure_9	3	0	3	1.0	negative	-0.9110329763420932	0.7921422427093464
C1_PRETERM_VS_TERM	AMPK_INSULIN_COUNTERREGULATION	insulin_irs_signaling	AMPK counter-regulation of insulin signaling	Figure_8	3	0	3	1.0	negative	-0.3042971240102138	0.45010548696900243
C1_PRETERM_VS_TERM	AMPK_SIGNALING	carbohydrate_inflammatory_carbon	AMPK signaling	Figure_8	3	1	2	0.6666666666666666	negative	-0.0740190289277175	0.3910027534730863
C1_PRETERM_VS_TERM	ANDROGEN_RECEPTOR_SIGNALING	steroid_cholesterol_endocrine	Androgen receptor signaling	Figure_7	3	0	3	1.0	negative	-0.8043093611651837	0.797323348019313
C1_PRETERM_VS_TERM	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	steroid_cholesterol_endocrine	Androgen and testosterone biosynthesis	Figure_7	3	3	0	1.0	positive	0.5120363485796444	0.6816950674188519
C1_PRETERM_VS_TERM	ARGININE_NO_UREA	amino_acid_metabolism	Arginine, nitric oxide and urea coupling	Figure_9	3	1	2	0.6666666666666666	negative	-0.1685339223966387	0.24214976683602393
C1_PRETERM_VS_TERM	AROMATIC_AMINO_ACID_METABOLISM	amino_acid_metabolism	Aromatic amino-acid metabolism	Figure_9	3	1	2	0.6666666666666666	negative	-0.2219141800002392	0.3194731030242239
C1_PRETERM_VS_TERM	BRANCHED_CHAIN_AMINO_ACIDS	amino_acid_metabolism	Branched-chain amino-acid metabolism	Figure_9	3	1	2	0.6666666666666666	negative	-0.0448427189916254	0.1273598334937362
C1_PRETERM_VS_TERM	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	catecholamine_stress_adjacent	Catecholamine biosynthesis and degradation	Figure_9	3	2	1	0.6666666666666666	positive	0.052076373829829	0.16584624900528414
C1_PRETERM_VS_TERM	CATECHOLAMINE_IRON_REDOX_INTERFACE	catecholamine_stress_adjacent	Catecholamine, iron and redox interface	Figure_9	3	0	3	1.0	negative	-0.2413652263709858	0.2788256771840183
C1_PRETERM_VS_TERM	CHOLESTEROL_BIOSYNTHESIS	steroid_cholesterol_endocrine	Cholesterol biosynthesis	Figure_7	3	0	3	1.0	negative	-0.2427657634531032	0.23825288736644465
C1_PRETERM_VS_TERM	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	steroid_cholesterol_endocrine	Cholesterol uptake, transport and export	Figure_7	3	0	3	1.0	negative	-0.2187013968881286	0.17069591532710696
C1_PRETERM_VS_TERM	COMPLEMENT_ALTERNATIVE	complement_architecture	Alternative complement pathway	Figure_10	3	2	1	0.6666666666666666	positive	0.130834045096689	0.1811301630007526
C1_PRETERM_VS_TERM	COMPLEMENT_C3A_C5A_SIGNALING	complement_architecture	C3a and C5a inflammatory signaling	Figure_10	3	1	2	0.6666666666666666	negative	-0.4971530114341522	0.4556657630170607
C1_PRETERM_VS_TERM	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	complement_architecture	C3 convertase and amplification	Figure_10	3	3	0	1.0	positive	0.2020359434638153	0.2951111960072759
C1_PRETERM_VS_TERM	COMPLEMENT_CLASSICAL	complement_architecture	Classical complement pathway	Figure_10	3	3	0	1.0	positive	0.4735556700610808	0.43553294456802144
C1_PRETERM_VS_TERM	COMPLEMENT_COAGULATION_CROSSTALK	complement_architecture	Complement-coagulation crosstalk	Figure_10	3	0	3	1.0	negative	-0.4555306999870017	0.4216515582284213
C1_PRETERM_VS_TERM	COMPLEMENT_LECTIN	complement_architecture	Lectin complement pathway	Figure_10	3	2	1	0.6666666666666666	positive	0.3022518246503143	0.3209317089026295
C1_PRETERM_VS_TERM	COMPLEMENT_OPSONOPHAGOCYTOSIS	complement_architecture	Complement-opsonophagocytosis	Figure_10	3	3	0	1.0	positive	0.2878657120830686	0.28847742633640405
C1_PRETERM_VS_TERM	COMPLEMENT_REGULATORS	complement_architecture	Complement regulators	Figure_10	3	1	2	0.6666666666666666	negative	-0.1151856694214474	0.11086314841673879
C1_PRETERM_VS_TERM	COMPLEMENT_TERMINAL_MAC	complement_architecture	Terminal complement and membrane-attack complex	Figure_10	3	2	1	0.6666666666666666	positive	0.5744464349606124	0.44894246483846983
C1_PRETERM_VS_TERM	EICOSANOID_PROSTAGLANDIN_METABOLISM	lipid_metabolism	Eicosanoid and prostaglandin metabolism	Figure_7	3	1	2	0.6666666666666666	negative	-0.0032170257227447	0.14264640638893353
