contrast_id	tissue	analysis_status	group_a	group_b	n_group_a	n_group_b	feature_type	axis	feature_id	display_label	proposed_figure_family	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	hedges_g_ci_low	hedges_g_ci_high	welch_t	p_value	auc_group_a_higher	direction	interpretation	q_value_within_contrast	fdr_0_05	fdr_0_10	evidence_tier	stability_class	permutation_p_value	permutation_method	n_permutations	stable_hedges_g_ci_low	stable_hedges_g_ci_high	effect_ci_status	permutation_q_within_contrast	permutation_q_within_family	permutation_fdr_0_05	permutation_fdr_0_10	family_fdr_0_10
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	Figure_7	0.0200398997954607	0.5924969603460543	-0.5724570605505934	-1.0495272485911142	-2.8556680143009627	-0.0265364510664716	-1.5371652561577185	0.212176309890399	0.3333333333333333	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.21428571428571427	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.7981859410430838	False	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	0.0012075935480878	0.7149794985616983	-0.7137719050136104	-1.0188848639899222	-2.511095779708452	-0.0551280043704081	-1.547013576805505	0.2034862106155691	0.2777777777777778	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.19047619047619047	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.7981859410430838	False	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	Figure_7	0.0119426690659489	0.648746601463062	-0.636803932397113	-0.9410623700628638	-2.50094228024996	0.0058188051026898	-1.5217988168349572	0.1983385227438375	0.2777777777777778	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.19047619047619047	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.7981859410430838	False	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	-0.1227908109435781	0.703481309972492	-0.8262721209160702	-1.2540676429955062	-4.22826589632862	-0.2107949654086056	-1.5977987441023729	0.2225534697062998	0.1111111111111111	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.08333333333333333	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.5555555555555555	False	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	Figure_8	-0.077987050857173	0.5195776173617076	-0.5975646682188807	-0.8484877551076575	-4.813234859786336	1.1420739569599876	-1.0141377416494008	0.4032749593515818	0.3888888888888889	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.2976190476190476	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.5952380952380952	False	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	Figure_8	-0.0135948663989482	0.5207551366610765	-0.5343500030600248	-0.8122601070381932	-4.686816298141269	0.7984619959841774	-0.952934271168062	0.4299366625143295	0.3333333333333333	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.2619047619047619	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.5952380952380952	False	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	carbohydrate_inflammatory_carbon	MTOR_SIGNALING	mTOR signaling	Figure_8	-0.1004607942007707	0.3562839734680322	-0.456744767668803	-0.8057188489579195	-2.4474114801801403	0.3173263098428721	-1.128768687592964	0.3395512134644705	0.2777777777777778	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.23809523809523808	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.5952380952380952	False	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	-0.1423108398330854	0.8211151966717521	-0.9634260365048376	-1.3402578002419596	-4.484357357089168	-0.4430630407372328	-1.686084951979437	0.206804165836702	0.1111111111111111	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.07142857142857142	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.5555555555555555	False	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	-0.0888577380361011	0.7779011926559805	-0.8667589306920815	-1.289974024948377	-4.095338611851761	-0.3243613357624648	-1.6710633654836962	0.2049045757858086	0.1666666666666666	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.08333333333333333	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.5555555555555555	False	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	Figure_8	-0.0375644806525999	0.604324077197619	-0.6418885578502189	-0.8517546154371797	-3.7740871829383424	0.4233558001761299	-1.154077328798918	0.3353337349379985	0.2777777777777778	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.25	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.5952380952380952	False	False	False
