contrast_id	tissue	analysis_status	group_a	group_b	n_group_a	n_group_b	feature_type	axis	feature_id	display_label	proposed_figure_family	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	hedges_g_ci_low	hedges_g_ci_high	welch_t	p_value	auc_group_a_higher	direction	interpretation	q_value_within_contrast	fdr_0_05	fdr_0_10	evidence_tier	stability_class	permutation_p_value	permutation_method	n_permutations	stable_hedges_g_ci_low	stable_hedges_g_ci_high	effect_ci_status	permutation_q_within_contrast	permutation_q_within_family	permutation_fdr_0_05	permutation_fdr_0_10	family_fdr_0_10
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	Figure_7	-1.1312774234760252	0.214570603968515	-1.34584802744454	-1.6089821122350982	-53.132627610563546	0.0	-1.95031127884022	0.2703628411979158	0.0	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.4866531141562484	False	False	secondary_exploratory	exploratory_tiny_group	0.1	exact	10			suppressed_min_group_below_4	0.5399999999999999	0.4	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	Figure_7	-0.5421640424132046	0.2555032515641537	-0.7976672939773584	-1.0179564721537862	-16.673106593922242	0.0	-1.9756140589997275	0.1853899247163676	0.0	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.4641239498679804	False	False	secondary_exploratory	exploratory_tiny_group	0.2	exact	10			suppressed_min_group_below_4	0.5399999999999999	0.4	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	Figure_7	-0.115982365912771	-0.1112525706251179	-0.0047297952876531	-0.0079727242408882	-3.0519832985704665	11.075860651511134	-0.0141156397279202	0.989645828377182	0.6666666666666666	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.9896458283771818	False	False	secondary_exploratory	exploratory_tiny_group	1.0	exact	10			suppressed_min_group_below_4	1.0	1.0	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	Figure_7	-0.3492384171246217	0.3062597374045448	-0.6554981545291665	-0.9608972807550028	-6.967985298434194	0.0	-1.7350646663468172	0.1877132808740071	0.0	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.4641239498679804	False	False	secondary_exploratory	exploratory_tiny_group	0.3	exact	10			suppressed_min_group_below_4	0.5651162790697675	0.44	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	Figure_7	-0.7373157327919377	0.3784027213368998	-1.1157184541288376	-2.377119313176773	-16.359512065894638	0.0	-4.441093304757729	0.0315110432008	0.0	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.4641239498679804	False	False	secondary_exploratory	exploratory_tiny_group	0.1	exact	10			suppressed_min_group_below_4	0.5399999999999999	0.4	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	Figure_7	-0.3114167365768315	0.5924969603460543	-0.9039136969228858	-1.4279264604653428	-10.570892752024514	0.0	-2.7463823138584056	0.1035148536282366	0.0	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.4641239498679804	False	False	secondary_exploratory	exploratory_tiny_group	0.2	exact	10			suppressed_min_group_below_4	0.5399999999999999	0.4	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	Figure_7	-0.2165741084910889	-0.1025167888002366	-0.1140573196908523	-0.157740407708635	-1.0987344491639872	2.223437833322286	-0.2914412640734382	0.792458312522943	0.5	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.8558549775247785	False	False	secondary_exploratory	exploratory_tiny_group	0.9	exact	10			suppressed_min_group_below_4	0.9851351351351352	0.99	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	steroid_cholesterol_endocrine	TESTOSTERONE_CONVERSION_AROMATIZATION	Testosterone conversion and aromatization	Figure_7	-0.6550252241708844	0.2940970438313134	-0.9491222680021978	-1.516260004469506	-7.029830112963043	0.0	-2.0547299771576606	0.2062773110524357	0.0	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.4641239498679804	False	False	secondary_exploratory	exploratory_tiny_group	0.1	exact	10			suppressed_min_group_below_4	0.5399999999999999	0.4	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	-0.6712526949645683	0.7149794985616983	-1.3862321935262667	-1.8049856639753108	-7359804101703706.0	-1.4396432853409735	-3.4445413030123544	0.0642836474706036	0.0	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.4641239498679804	False	False	secondary_exploratory	exploratory_tiny_group	0.1	exact	10			suppressed_min_group_below_4	0.5399999999999999	0.4	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	Figure_7	-0.0832606273556154	0.648746601463062	-0.7320072288186774	-1.006162222931379	-9.7212260496562	0.0	-1.6652743651563553	0.1970598137311264	0.0	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.4641239498679804	False	False	secondary_exploratory	exploratory_tiny_group	0.2	exact	10			suppressed_min_group_below_4	0.5399999999999999	0.4	False	False	False
