contrast_id	tissue	analysis_status	axis	n_features	median_hedges_g	mean_absolute_hedges_g	n_fdr_0_05	n_fdr_0_10
C1_PRETERM_VS_TERM	bladder	primary	adipokine_signaling	5	-0.50684976743131	0.6248962036060661	0	0
C1_PRETERM_VS_TERM	bladder	primary	amino_acid_metabolism	8	-0.6885472832988649	0.6361142543106773	0	0
C1_PRETERM_VS_TERM	bladder	primary	carbohydrate_inflammatory_carbon	11	-0.4817044088618192	0.541288785435409	0	0
C1_PRETERM_VS_TERM	bladder	primary	catecholamine_stress_adjacent	3	-0.48191319445840836	0.5229295283149862	0	0
C1_PRETERM_VS_TERM	bladder	primary	complement_architecture	9	0.20203594346381532	0.3502658943640931	0	0
C1_PRETERM_VS_TERM	bladder	primary	composite_index	4	-0.33866511989855813	0.47952987837325106	0	0
C1_PRETERM_VS_TERM	bladder	primary	immune_context_anchors	6	-0.49276965702117925	0.3818841048722406	0	0
C1_PRETERM_VS_TERM	bladder	primary	insulin_irs_signaling	4	-1.0708643201927783	1.056575451427403	0	0
C1_PRETERM_VS_TERM	bladder	primary	lipid_metabolism	8	-0.47334902343175345	0.4191850647893983	0	0
C1_PRETERM_VS_TERM	bladder	primary	nucleotide_nad_nitrogen	9	-0.4048342058971698	0.39855242145754155	0	0
C1_PRETERM_VS_TERM	bladder	primary	steroid_cholesterol_endocrine	14	-0.3586688285803583	0.5351252140897873	0	0
C1_PRETERM_VS_TERM	placenta	primary	adipokine_signaling	5	0.20336643193154105	0.3731185378080502	0	0
C1_PRETERM_VS_TERM	placenta	primary	amino_acid_metabolism	8	-0.19899611454173188	0.23098225709724557	0	0
C1_PRETERM_VS_TERM	placenta	primary	carbohydrate_inflammatory_carbon	11	0.01716396027621717	0.20065833810909647	0	0
C1_PRETERM_VS_TERM	placenta	primary	catecholamine_stress_adjacent	3	0.008920765754955809	0.10078745531859024	0	0
C1_PRETERM_VS_TERM	placenta	primary	complement_architecture	9	0.02058762294262827	0.22000206665724967	0	0
C1_PRETERM_VS_TERM	placenta	primary	composite_index	4	0.16531423187442756	0.2914135945495736	0	0
C1_PRETERM_VS_TERM	placenta	primary	immune_context_anchors	6	0.2153901201846321	0.28601201664239667	0	0
C1_PRETERM_VS_TERM	placenta	primary	insulin_irs_signaling	4	-0.33403698848905145	0.32722278776065666	0	0
C1_PRETERM_VS_TERM	placenta	primary	lipid_metabolism	8	-0.11866306318226652	0.22258004559209058	0	0
C1_PRETERM_VS_TERM	placenta	primary	nucleotide_nad_nitrogen	9	-0.013436027096613904	0.25277823465989124	0	0
C1_PRETERM_VS_TERM	placenta	primary	steroid_cholesterol_endocrine	14	-0.25763311278851464	0.34186691815242554	0	0
C1_PRETERM_VS_TERM	uterus	primary	adipokine_signaling	5	-0.35148704795350677	0.3587738797642149	0	0
C1_PRETERM_VS_TERM	uterus	primary	amino_acid_metabolism	8	0.10251653489495618	0.37606736204891456	0	0
C1_PRETERM_VS_TERM	uterus	primary	carbohydrate_inflammatory_carbon	11	0.15308059665013618	0.29097143337765047	0	0
C1_PRETERM_VS_TERM	uterus	primary	catecholamine_stress_adjacent	3	-0.1131986107226608	0.3044355348316173	0	0
C1_PRETERM_VS_TERM	uterus	primary	complement_architecture	9	0.29854572078046615	0.4158341634172487	0	0
C1_PRETERM_VS_TERM	uterus	primary	composite_index	4	0.11852818729431223	0.47810153583137677	0	0
C1_PRETERM_VS_TERM	uterus	primary	immune_context_anchors	6	0.06083416884750101	0.3098548429598678	0	0
C1_PRETERM_VS_TERM	uterus	primary	insulin_irs_signaling	4	-0.46848967021520815	0.4379547656206151	0	0
C1_PRETERM_VS_TERM	uterus	primary	lipid_metabolism	8	0.12296695563725629	0.2255626654912468	0	0
C1_PRETERM_VS_TERM	uterus	primary	nucleotide_nad_nitrogen	9	0.05430291705433447	0.23161457369378477	0	0
C1_PRETERM_VS_TERM	uterus	primary	steroid_cholesterol_endocrine	14	-0.0752195495482389	0.5149901179117305	0	0
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	adipokine_signaling	5	0.3394515424730212	0.3745270999493292	0	0
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	amino_acid_metabolism	8	0.2430677371861399	0.26823048580737197	0	0
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	carbohydrate_inflammatory_carbon	11	0.39364150910500617	0.39895982201211666	0	0
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	catecholamine_stress_adjacent	3	0.281575955981889	0.4238780129421333	0	0
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	complement_architecture	9	0.3000879207652096	0.3176207885444319	0	0
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	composite_index	4	-0.10132277990703736	0.2252202022508117	0	0
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	immune_context_anchors	6	0.692195125149333	0.7718591531247503	0	0
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	insulin_irs_signaling	4	0.12358513026866971	0.1459353047181961	0	0
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	lipid_metabolism	8	0.3582990557230692	0.4218712820712668	0	0
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	nucleotide_nad_nitrogen	9	0.4173728526439439	0.5028746886140927	0	0
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	steroid_cholesterol_endocrine	14	0.27815999230833566	0.3383498951766728	0	0
C2_UPEC_VS_PBS_PREGNANCY	placenta	primary	adipokine_signaling	5	-0.3225482667085081	0.2666342736597497	0	0
C2_UPEC_VS_PBS_PREGNANCY	placenta	primary	amino_acid_metabolism	8	-0.4448454366938718	0.42253262234231925	0	0
C2_UPEC_VS_PBS_PREGNANCY	placenta	primary	carbohydrate_inflammatory_carbon	11	-0.584243297934736	0.5230644411056876	0	0
C2_UPEC_VS_PBS_PREGNANCY	placenta	primary	catecholamine_stress_adjacent	3	-0.4423015327729926	0.39305960808076	0	0
C2_UPEC_VS_PBS_PREGNANCY	placenta	primary	complement_architecture	9	-0.08005464904003996	0.18339970993619942	0	0
C2_UPEC_VS_PBS_PREGNANCY	placenta	primary	composite_index	4	-0.14918922698700043	0.5718221686447551	0	0
C2_UPEC_VS_PBS_PREGNANCY	placenta	primary	immune_context_anchors	6	-0.1951162247740471	0.31697557665244575	0	0
C2_UPEC_VS_PBS_PREGNANCY	placenta	primary	insulin_irs_signaling	4	-0.3889101211669327	0.3653320565121279	0	0
C2_UPEC_VS_PBS_PREGNANCY	placenta	primary	lipid_metabolism	8	-0.393512822406189	0.3404073441019674	0	0
C2_UPEC_VS_PBS_PREGNANCY	placenta	primary	nucleotide_nad_nitrogen	9	-0.48234324711313337	0.4931865449620791	0	0
C2_UPEC_VS_PBS_PREGNANCY	placenta	primary	steroid_cholesterol_endocrine	14	-0.2074608519190264	0.33359045845675855	0	0
C2_UPEC_VS_PBS_PREGNANCY	uterus	primary	adipokine_signaling	5	0.004973976317846962	0.4255260516177522	0	0
C2_UPEC_VS_PBS_PREGNANCY	uterus	primary	amino_acid_metabolism	8	0.33551746123005916	0.46272025033549646	0	0
C2_UPEC_VS_PBS_PREGNANCY	uterus	primary	carbohydrate_inflammatory_carbon	11	0.31128904924261513	0.5307374551988592	0	0
C2_UPEC_VS_PBS_PREGNANCY	uterus	primary	catecholamine_stress_adjacent	3	0.15379083086720022	0.19449175771138194	0	0
C2_UPEC_VS_PBS_PREGNANCY	uterus	primary	complement_architecture	9	0.7446344914912053	0.6907647836769566	0	0
C2_UPEC_VS_PBS_PREGNANCY	uterus	primary	composite_index	4	-0.017730950650314242	0.9861996998659672	0	0
C2_UPEC_VS_PBS_PREGNANCY	uterus	primary	immune_context_anchors	6	0.07243007726149697	0.35528109012419273	0	0
C2_UPEC_VS_PBS_PREGNANCY	uterus	primary	insulin_irs_signaling	4	0.3311948950061764	0.3753388982084606	0	0
C2_UPEC_VS_PBS_PREGNANCY	uterus	primary	lipid_metabolism	8	0.1925712683385724	0.3791941105545164	0	0
C2_UPEC_VS_PBS_PREGNANCY	uterus	primary	nucleotide_nad_nitrogen	9	-0.011209243123791278	0.46928955793240656	0	0
C2_UPEC_VS_PBS_PREGNANCY	uterus	primary	steroid_cholesterol_endocrine	14	0.2516411419750299	0.4824423314899002	0	0
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	primary_small_group	adipokine_signaling	5	-0.003731464410166998	0.14237553334308173	0	0
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	primary_small_group	amino_acid_metabolism	8	0.5900836364161055	0.5138109862655638	0	0
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	primary_small_group	carbohydrate_inflammatory_carbon	11	0.4135757307217111	0.4293261945642991	0	0
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	primary_small_group	catecholamine_stress_adjacent	3	0.609077680783404	0.5856909636442814	0	0
