contrast_id	tissue	analysis_status	group_a	group_b	n_group_a	n_group_b	feature_type	axis	feature_id	display_label	proposed_figure_family	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	hedges_g_ci_low	hedges_g_ci_high	welch_t	p_value	auc_group_a_higher	direction	interpretation	q_value_within_contrast	fdr_0_05	fdr_0_10
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	composite_index	composite_index	STEROID_INFLAMMATORY_IMBALANCE_INDEX	Steroid Inflammatory Imbalance Index	Integrated_network	-0.009822958505909132	0.14764604171875664	-0.15746900022466578	-0.520614126736694	-2.124912400866838	1.1184917277977935	-0.8291607529932663	0.45254109469706416	0.3888888888888889	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759747	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	composite_index	composite_index	INFLAMMATORY_CARBON_USE_INDEX	Inflammatory Carbon Use Index	Integrated_network	-0.06517825731759687	0.11768941727554433	-0.18286767459314118	-1.1529232070436364	-3.1516745520398652	-0.4663789990606368	-2.3154845644828432	0.05396460333643694	0.16666666666666666	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759747	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	composite_index	composite_index	COMPLEMENT_INFLAMMATORY_AMPLIFICATION_INDEX	Complement Inflammatory Amplification Index	Integrated_network	0.03530641339553711	0.07833311541898981	-0.0430267020234527	-0.15671611306042224	-4.398379255942583	0.5786416526650209	-0.3580688834796652	0.7336961289044444	0.3333333333333333	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759747	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	composite_index	composite_index	PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX	Pregnancy Risk Endocrine Metabolic Inflammation Index	Integrated_network	-0.05196443681991658	-0.01472807118494337	-0.03723636563497321	-0.08786606665225151	-0.8148570025513421	2.6321597921013278	-0.20056727781325123	0.8482526627947327	0.6666666666666666	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759747	False	False
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	UPEC_exposed_pregnancy	PBS_pregnancy_control	11	3	composite_index	composite_index	STEROID_INFLAMMATORY_IMBALANCE_INDEX	Steroid Inflammatory Imbalance Index	Integrated_network	-0.006131013180615763	-0.12124213138440958	0.11511111820379381	0.43710776211445207	-0.34235993776116536	1.5495539524841377	0.9920754273949056	0.35921679243687327	0.6363636363636364	higher_in_group_a	positive effect indicates higher activity in UPEC-exposed pregnancy samples	0.9908311375063732	False	False
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	UPEC_exposed_pregnancy	PBS_pregnancy_control	11	3	composite_index	composite_index	INFLAMMATORY_CARBON_USE_INDEX	Inflammatory Carbon Use Index	Integrated_network	-0.03735052861190792	0.030557130706072595	-0.06790765931798051	-0.26112748707472	-2.1806428518729915	1.7478272145709972	-0.3172850591981454	0.7763770912646343	0.45454545454545453	higher_in_group_b	positive effect indicates higher activity in UPEC-exposed pregnancy samples	0.9908311375063732	False	False
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	UPEC_exposed_pregnancy	PBS_pregnancy_control	11	3	composite_index	composite_index	COMPLEMENT_INFLAMMATORY_AMPLIFICATION_INDEX	Complement Inflammatory Amplification Index	Integrated_network	0.019789368391557628	0.023936542763546547	-0.004147174371988919	-0.019118871504242962	-1.277971970170989	0.6985972373560947	-0.04408292619174592	0.9661987145659406	0.42424242424242425	higher_in_group_b	positive effect indicates higher activity in UPEC-exposed pregnancy samples	0.9908311375063732	False	False
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	UPEC_exposed_pregnancy	PBS_pregnancy_control	11	3	composite_index	composite_index	PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX	Pregnancy Risk Endocrine Metabolic Inflammation Index	Integrated_network	0.06493379666763159	0.14987955229422018	-0.08494575562658858	-0.18352668830983176	-1.5955215300226169	0.9109920491694583	-0.3227836706901208	0.7650956398711113	0.3939393939393939	higher_in_group_b	positive effect indicates higher activity in UPEC-exposed pregnancy samples	0.9908311375063732	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	composite_index	composite_index	STEROID_INFLAMMATORY_IMBALANCE_INDEX	Steroid Inflammatory Imbalance Index	Integrated_network	-0.22572075955379428	0.14764604171875664	-0.37336680127255095	-1.1886826238741155	-7874080882811567.0	0.0	-2.1458531205820863	0.12761280445216144	0.0	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.46412394986798045	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	composite_index	composite_index	INFLAMMATORY_CARBON_USE_INDEX	Inflammatory Carbon Use Index	Integrated_network	-0.18642726132601947	0.11768941727554433	-0.3041166786015638	-0.829619949343755	-1724306423845707.0	1.368725828171851	-0.9493693155096322	0.5116132375749176	0.3333333333333333	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.637548803747205	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	composite_index	composite_index	COMPLEMENT_INFLAMMATORY_AMPLIFICATION_INDEX	Complement Inflammatory Amplification Index	Integrated_network	-0.1145773871615291	0.07833311541898981	-0.1929105025805189	-3.0022929589598846	-11.161707831700946	0.0	-4.402468920430381	0.04462882030936235	0.0	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.46412394986798045	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	composite_index	composite_index	PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX	Pregnancy Risk Endocrine Metabolic Inflammation Index	Integrated_network	0.5351212989091385	-0.01472807118494337	0.5498493700940819	1.0722845680387554	0.0	122.50499262126259	1.213748410496852	0.4361870882962201	1.0	higher_in_group_a	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.5791992483933415	False	False
C1_PRETERM_VS_TERM	placenta	primary	UTI89_preterm	UTI89_term	12	6	composite_index	composite_index	STEROID_INFLAMMATORY_IMBALANCE_INDEX	Steroid Inflammatory Imbalance Index	Integrated_network	-0.0023743459752485533	-0.026268515662607416	0.023894169687358864	0.12086590869890212	-0.795831554636889	0.85293370865789	0.29770687824516195	0.7700052064083315	0.5	higher_in_group_a	positive effect indicates higher activity in UTI-associated preterm samples	0.9926472464488284	False	False
C1_PRETERM_VS_TERM	placenta	primary	UTI89_preterm	UTI89_term	12	6	composite_index	composite_index	INFLAMMATORY_CARBON_USE_INDEX	Inflammatory Carbon Use Index	Integrated_network	-0.019836892000876582	0.0564433495224507	-0.07628024152332728	-0.31089313789009543	-1.176895072363176	0.4969435264799016	-0.7576282675334717	0.4606306819980378	0.3611111111111111	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9926472464488284	False	False
C1_PRETERM_VS_TERM	placenta	primary	UTI89_preterm	UTI89_term	12	6	composite_index	composite_index	COMPLEMENT_INFLAMMATORY_AMPLIFICATION_INDEX	Complement Inflammatory Amplification Index	Integrated_network	0.03111499786326011	-0.12281481258783278	0.15392981045109289	0.5241327765593439	-0.6462965021861409	2.0482132359307714	0.9138566637269937	0.3926856292902285	0.6527777777777778	higher_in_group_a	positive effect indicates higher activity in UTI-associated preterm samples	0.9926472464488284	False	False
C1_PRETERM_VS_TERM	placenta	primary	UTI89_preterm	UTI89_term	12	6	composite_index	composite_index	PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX	Pregnancy Risk Endocrine Metabolic Inflammation Index	Integrated_network	-0.038711179216195914	-0.11554912284018648	0.07683794362399057	0.20976255504995298	-0.9097140582131329	1.2212117159581706	0.42378733055483153	0.6815061141648705	0.5416666666666666	higher_in_group_a	positive effect indicates higher activity in UTI-associated preterm samples	0.9926472464488284	False	False
C2_UPEC_VS_PBS_PREGNANCY	placenta	primary	UPEC_exposed_pregnancy	PBS_pregnancy_control	22	6	composite_index	composite_index	STEROID_INFLAMMATORY_IMBALANCE_INDEX	Steroid Inflammatory Imbalance Index	Integrated_network	-0.020791550367759166	0.07623568468177967	-0.09702723504953883	-0.46124222761466327	-1.2074286654164232	0.10269604430430565	-1.4401122779956563	0.16971504781138383	0.32575757575757575	higher_in_group_b	positive effect indicates higher activity in UPEC-exposed pregnancy samples	0.7978403364729907	False	False
C2_UPEC_VS_PBS_PREGNANCY	placenta	primary	UPEC_exposed_pregnancy	PBS_pregnancy_control	22	6	composite_index	composite_index	INFLAMMATORY_CARBON_USE_INDEX	Inflammatory Carbon Use Index	Integrated_network	0.03574062634111419	-0.13104896325075469	0.16678958959186888	0.7234038928883474	-0.13488041791075622	1.7589100817162868	1.5967175210300193	0.14984827282406443	0.696969696969697	higher_in_group_a	positive effect indicates higher activity in UPEC-exposed pregnancy samples	0.7978403364729907	False	False
C2_UPEC_VS_PBS_PREGNANCY	placenta	primary	UPEC_exposed_pregnancy	PBS_pregnancy_control	22	6	composite_index	composite_index	COMPLEMENT_INFLAMMATORY_AMPLIFICATION_INDEX	Complement Inflammatory Amplification Index	Integrated_network	-0.06363567239725802	0.23333079878994367	-0.2969664711872017	-0.9397787804353476	-2.195907367020508	0.008053733659653945	-1.679136072326527	0.14167574339779582	0.30303030303030304	higher_in_group_b	positive effect indicates higher activity in UPEC-exposed pregnancy samples	0.7978403364729907	False	False
C2_UPEC_VS_PBS_PREGNANCY	placenta	primary	UPEC_exposed_pregnancy	PBS_pregnancy_control	22	6	composite_index	composite_index	PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX	Pregnancy Risk Endocrine Metabolic Inflammation Index	Integrated_network	0.012247475189483477	-0.04490740902810932	0.0571548842175928	0.16286377364066243	-0.5592102579583897	0.9236562020333604	0.4228514664009998	0.6812703055954886	0.5151515151515151	higher_in_group_a	positive effect indicates higher activity in UPEC-exposed pregnancy samples	0.8963627153780588	False	False
C4_UTI89_RFP_VS_UTI89_TERM	placenta	secondary_exploratory	UTI89_RFP_term	UTI89_term	4	6	composite_index	composite_index	STEROID_INFLAMMATORY_IMBALANCE_INDEX	Steroid Inflammatory Imbalance Index	Integrated_network	-0.06782771560301863	-0.026268515662607416	-0.04155919994041121	-0.14763563359246348	-2.702560932382326	1.5258466910320345	-0.2106219965923636	0.8449713980075044	0.4583333333333333	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.8449713980075044	False	False
