dataset	contrast_id	biological_context	evidence_tier	group_a	group_b	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	p_value	q_value	fdr_0_10	direction	n_group_a	n_group_b	fdr_bool	interpretation_boundary
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	Figure_9	0.8950825362282925	standardized_module_score_beta	0.0007887906658108	0.063892043930681	True	positive			True	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	Figure_7	1.0512245685158057	standardized_module_score_beta	0.0036486700887988	0.098514092397569	True	positive			True	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	Figure_7	0.8071967536298774	standardized_module_score_beta	0.0026352534866153	0.098514092397569	True	positive			True	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	lipid_metabolism	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	Figure_7	0.4770559007451223	standardized_module_score_beta	0.0256661324427869	0.3688862953125272	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	Figure_8	0.5665809991664785	standardized_module_score_beta	0.0252800552946948	0.3688862953125272	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	immune_context_anchors	OXIDATIVE_STRESS_NRF2_ANCHOR	Oxidative stress and NRF2 anchor	Integrated_network	0.4091642996819253	standardized_module_score_beta	0.0273249107638909	0.3688862953125272	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	Figure_7	0.3377560613615785	standardized_module_score_beta	0.1859458203885799	0.8859771442044103	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	Figure_7	0.4499016478567521	standardized_module_score_beta	0.141153505940992	0.8859771442044103	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	Figure_7	0.4813689824233348	standardized_module_score_beta	0.1452446341608067	0.8859771442044103	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	steroid_cholesterol_endocrine	STEROID_SULFATION_DESULFATION	Steroid sulfation and desulfation	Figure_7	0.3385644378241563	standardized_module_score_beta	0.1612325563371093	0.8859771442044103	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	carbohydrate_inflammatory_carbon	GLUCONEOGENESIS	Gluconeogenesis	Figure_8	0.252396120583776	standardized_module_score_beta	0.1714513213312417	0.8859771442044103	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
