dataset	analysis_family	tissue	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	q_value	fdr_0_10	direction
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	bladder	composite_index	composite_index	COMPLEMENT_INFLAMMATORY_AMPLIFICATION_INDEX	Complement Inflammatory Amplification Index	Integrated_network	-0.0191188715042429	0.9819024725274724	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	placenta	composite_index	composite_index	COMPLEMENT_INFLAMMATORY_AMPLIFICATION_INDEX	Complement Inflammatory Amplification Index	Integrated_network	-0.9397787804353476	0.7957454254574543	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	uterus	composite_index	composite_index	COMPLEMENT_INFLAMMATORY_AMPLIFICATION_INDEX	Complement Inflammatory Amplification Index	Integrated_network	-0.4248583916086081	0.8641483516483516	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	bladder	composite_index	composite_index	INFLAMMATORY_CARBON_USE_INDEX	Inflammatory Carbon Use Index	Integrated_network	-0.26112748707472	0.9819024725274724	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	placenta	composite_index	composite_index	INFLAMMATORY_CARBON_USE_INDEX	Inflammatory Carbon Use Index	Integrated_network	0.7234038928883474	0.7957454254574543	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	uterus	composite_index	composite_index	INFLAMMATORY_CARBON_USE_INDEX	Inflammatory Carbon Use Index	Integrated_network	-2.458277933909834	0.2225274725274725	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	bladder	composite_index	composite_index	PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX	Pregnancy Risk Endocrine Metabolic Inflammation Index	Integrated_network	-0.1835266883098317	0.9819024725274724	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	placenta	composite_index	composite_index	PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX	Pregnancy Risk Endocrine Metabolic Inflammation Index	Integrated_network	0.1628637736406624	0.9001145340011454	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	uterus	composite_index	composite_index	PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX	Pregnancy Risk Endocrine Metabolic Inflammation Index	Integrated_network	0.3893964903079797	0.8641483516483516	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	bladder	composite_index	composite_index	STEROID_INFLAMMATORY_IMBALANCE_INDEX	Steroid Inflammatory Imbalance Index	Integrated_network	0.437107762114452	0.9819024725274724	False	positive
