dataset	analysis_family	tissue	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	q_value	fdr_0_10	direction
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	composite_index	composite_index	COMPLEMENT_INFLAMMATORY_AMPLIFICATION_INDEX	Complement Inflammatory Amplification Index	Integrated_network	-0.1567161130604222	0.9642857142857142	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	composite_index	composite_index	COMPLEMENT_INFLAMMATORY_AMPLIFICATION_INDEX	Complement Inflammatory Amplification Index	Integrated_network	0.5241327765593439	0.9926007399260074	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	composite_index	composite_index	COMPLEMENT_INFLAMMATORY_AMPLIFICATION_INDEX	Complement Inflammatory Amplification Index	Integrated_network	0.192908670772529	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	composite_index	composite_index	INFLAMMATORY_CARBON_USE_INDEX	Inflammatory Carbon Use Index	Integrated_network	-1.1529232070436364	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	composite_index	composite_index	INFLAMMATORY_CARBON_USE_INDEX	Inflammatory Carbon Use Index	Integrated_network	-0.3108931378900954	0.9926007399260074	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	composite_index	composite_index	INFLAMMATORY_CARBON_USE_INDEX	Inflammatory Carbon Use Index	Integrated_network	-1.1738109909206955	1.0	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	composite_index	composite_index	PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX	Pregnancy Risk Endocrine Metabolic Inflammation Index	Integrated_network	-0.0878660666522515	0.9766483516483516	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	composite_index	composite_index	PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX	Pregnancy Risk Endocrine Metabolic Inflammation Index	Integrated_network	0.2097625550499529	0.9926007399260074	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	composite_index	composite_index	PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX	Pregnancy Risk Endocrine Metabolic Inflammation Index	Integrated_network	0.501538777816187	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	composite_index	composite_index	STEROID_INFLAMMATORY_IMBALANCE_INDEX	Steroid Inflammatory Imbalance Index	Integrated_network	-0.520614126736694	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	composite_index	composite_index	STEROID_INFLAMMATORY_IMBALANCE_INDEX	Steroid Inflammatory Imbalance Index	Integrated_network	0.1208659086989021	0.9926007399260074	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	composite_index	composite_index	STEROID_INFLAMMATORY_IMBALANCE_INDEX	Steroid Inflammatory Imbalance Index	Integrated_network	0.0441477038160954	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	Figure_8	-0.2537689491728889	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	Figure_8	0.7397917521344026	0.9926007399260074	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	Figure_8	-0.3514870479535067	1.0	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	adipokine_signaling	ADIPONECTIN_SIGNALING	Adiponectin signaling	Figure_8	-1.0885162443443697	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	adipokine_signaling	ADIPONECTIN_SIGNALING	Adiponectin signaling	Figure_8	-0.2392206686071992	0.9926007399260074	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	adipokine_signaling	ADIPONECTIN_SIGNALING	Adiponectin signaling	Figure_8	0.1569916334552669	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	-0.8527724012270284	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	-0.1919679946975772	0.9926007399260074	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	-0.7524117043029656	1.0	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	Figure_8	-0.4225736558547329	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	Figure_8	0.203366431931541	0.9926007399260074	False	positive
