feature_id	axis	display_label	proposed_figure_family	n_effect_contexts	n_datasets	datasets	n_positive_contexts	n_negative_contexts	directional_coherence_fraction	dominant_direction	median_effect	median_absolute_effect	max_absolute_effect	n_large_effect_contexts	n_moderate_effect_contexts	n_datasets_large_effect	n_datasets_moderate_effect	n_FDR10_contexts	cross_dataset_priority_score	validation_class
NEUTROPHIL_NETOSIS_ANCHOR	immune_context_anchors	Neutrophil and NETosis anchor	Integrated_network	9	4	GSE112098;GSE186800;GSE252321;GSE280297	5	4	0.5555555555555556	positive	0.1432238542689094	0.3897655323855188	1.6831623720365632	3	3	3	3	2	26.167543310163296	multi_context_FDR_supported
COMPLEMENT_OPSONOPHAGOCYTOSIS	complement_architecture	Complement-opsonophagocytosis	Figure_10	9	4	GSE112098;GSE186800;GSE252321;GSE280297	5	4	0.5555555555555556	positive	0.4245595687724989	0.5414109040698384	1.0485764979846046	2	5	2	4	2	25.819188681847617	multi_context_FDR_supported
FERROPTOSIS_LIPID_PEROXIDATION	lipid_metabolism	Ferroptosis-linked lipid peroxidation	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	6	3	0.6666666666666666	positive	0.30022583911478334	0.30022583911478334	1.1754384962200224	2	4	2	4	2	24.633559172448116	multi_context_FDR_supported
GLYCOLYSIS	carbohydrate_inflammatory_carbon	Glycolysis	Figure_8	9	4	GSE112098;GSE186800;GSE252321;GSE280297	5	4	0.5555555555555556	positive	0.17074266799852633	0.5185656802666957	1.0085607514920767	2	5	2	3	2	24.296343458044475	multi_context_FDR_supported
XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	nucleotide_nad_nitrogen	Xanthine oxidase and oxidative purine catabolism	Figure_9	9	4	GSE112098;GSE186800;GSE252321;GSE280297	5	4	0.5555555555555556	positive	0.014820856718007133	0.5002606886809302	1.057524180064571	2	5	2	3	2	24.27803846645871	multi_context_FDR_supported
COMPLEMENT_C3A_C5A_SIGNALING	complement_architecture	C3a and C5a inflammatory signaling	Figure_10	9	4	GSE112098;GSE186800;GSE252321;GSE280297	6	3	0.6666666666666666	positive	0.20055683951914066	0.300614011312996	1.2719950882687319	2	4	2	3	2	23.133947344646327	multi_context_FDR_supported
LEPTIN_SIGNALING	adipokine_signaling	Leptin signaling	Figure_8	9	4	GSE112098;GSE186800;GSE252321;GSE280297	8	1	0.8888888888888888	positive	0.6757217718031778	0.6757217718031778	0.9900621618745398	1	6	1	4	2	23.120166216247622	multi_context_FDR_supported
PYRIMIDINE_DEGRADATION	nucleotide_nad_nitrogen	Pyrimidine degradation	Figure_9	9	4	GSE112098;GSE186800;GSE252321;GSE280297	3	6	0.6666666666666666	negative	-0.22313874516291105	0.42573256566719986	1.1825503908015684	2	3	2	2	2	20.759065899000532	multi_context_FDR_supported
GLUCOCORTICOID_RESPONSE	steroid_cholesterol_endocrine	Glucocorticoid response	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	8	1	0.8888888888888888	positive	0.1882926526559982	0.1915696360361809	1.1502346745187015	2	2	2	2	2	19.636014080480624	multi_context_FDR_supported
ESTROGEN_RECEPTOR_RESPONSE	steroid_cholesterol_endocrine	Estrogen receptor response	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	6	3	0.6666666666666666	positive	0.2779446737294523	0.45258207226061486	0.8651275556305188	1	3	1	3	2	18.285915405593947	multi_context_FDR_supported
NFKB_MAPK_INFLAMMATION_ANCHOR	immune_context_anchors	NF-kB and MAPK inflammation anchor	Integrated_network	9	4	GSE112098;GSE186800;GSE252321;GSE280297	8	1	0.8888888888888888	positive	0.3401538440683138	0.3401538440683138	1.0445949889470858	1	3	1	3	2	18.284598288512758	multi_context_FDR_supported
PREGNANCY_INFLAMMATION_ANCHOR	immune_context_anchors	Pregnancy-associated inflammation anchor	Integrated_network	9	4	GSE112098;GSE186800;GSE252321;GSE280297	8	1	0.8888888888888888	positive	0.2899979429498678	0.2899979429498678	1.8318950944988113	1	3	1	3	2	18.23444238739431	multi_context_FDR_supported
RESISTIN_INFLAMMATORY_SIGNALING	adipokine_signaling	Resistin-associated inflammatory signaling	Figure_8	9	4	GSE112098;GSE186800;GSE252321;GSE280297	8	1	0.8888888888888888	positive	0.2725791025550987	0.2725791025550987	1.447321620719106	1	3	1	3	2	18.217023546999542	multi_context_FDR_supported
NITRIC_OXIDE_SYNTHESIS_REGULATION	nucleotide_nad_nitrogen	Nitric-oxide synthesis and regulation	Figure_9	9	4	GSE112098;GSE186800;GSE252321;GSE280297	4	5	0.5555555555555556	negative	-0.14831008825466901	0.4025333861580307	0.808654716637116	2	3	2	2	1	17.68031116393581	FDR_plus_independent_effect_support
ADIPOKINE_INFLAMMATORY_AXIS	adipokine_signaling	Inflammatory adipokine axis	Figure_8	9	4	GSE112098;GSE186800;GSE252321;GSE280297	5	4	0.5555555555555556	positive	0.1824122944479139	0.23631793885082755	2.0614152956611087	2	3	2	2	1	17.514095716628606	FDR_plus_independent_effect_support
TESTOSTERONE_CONVERSION_AROMATIZATION	steroid_cholesterol_endocrine	Testosterone conversion and aromatization	Figure_7	8	3	GSE112098;GSE186800;GSE280297	3	5	0.625	negative	-0.13001289435328578	0.2521556958108498	1.2270353565274814	1	3	1	2	2	16.56465569581085	multi_context_FDR_supported
