figure_family	figure_title	panel	panel_title	panel_purpose	module_rank	feature_id	display_label	validation_class	infection_direction	infection_coherence	preterm_effect	preterm_coherence	dataset_effects
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	1	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	context_divergent_or_tissue_specific	negative	0.6153846153846154	0.359912719386311	1.0	GSE112098=0.5130|FDR10=True;GSE186800=-0.0147|FDR10=False;GSE252321=0.8909|FDR10=False;GSE280297=-0.0112|FDR10=False
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	2	NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	context_divergent_or_tissue_specific	negative	0.6153846153846154	-0.0167083531948147	0.6666666666666666	GSE112098=0.1616|FDR10=True;GSE186800=-0.1855|FDR10=False;GSE252321=0.8087|FDR10=False;GSE280297=-0.4823|FDR10=False
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	3	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	context_divergent_or_tissue_specific	negative	0.6153846153846154	-0.1685339223966387	0.6666666666666666	GSE112098=0.2147|FDR10=True;GSE186800=-0.0814|FDR10=False;GSE252321=1.4385|FDR10=False;GSE280297=-0.3257|FDR10=False
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	4	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	limited_independent_support	positive	0.6923076923076923	-0.2413652263709858	1.0	GSE112098=0.2861|FDR10=True;GSE186800=-0.0092|FDR10=False;GSE252321=0.6909|FDR10=False;GSE280297=0.2901|FDR10=False
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	5	AMINO_ACID_TRANSPORT	Amino-acid transport	two_dataset_concordant_effect	positive	0.6923076923076923	-0.9110329763420932	1.0	GSE112098=0.1404|FDR10=False;GSE186800=0.5415|FDR10=False;GSE252321=1.5424|FDR10=False;GSE280297=-0.0779|FDR10=False
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	6	PYRIMIDINE_DEGRADATION	Pyrimidine degradation	limited_independent_support	negative	0.6923076923076923	0.0543029170543344	0.6666666666666666	GSE112098=0.4772|FDR10=True;GSE186800=-0.2231|FDR10=False;GSE252321=-0.4257|FDR10=False;GSE280297=-0.4251|FDR10=False
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	7	UREA_CYCLE	Urea cycle	context_divergent_or_tissue_specific	negative	0.6153846153846154	-0.1202924404367891	0.6666666666666666	GSE112098=0.2398|FDR10=True;GSE186800=-0.1473|FDR10=False;GSE252321=0.1551|FDR10=False;GSE280297=-0.0291|FDR10=False
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	8	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	limited_independent_support	positive	0.9230769230769232	-0.1830970025422584	1.0	GSE112098=0.0384|FDR10=False;GSE186800=0.4341|FDR10=False;GSE252321=-1.0413|FDR10=False;GSE280297=0.4174|FDR10=False
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	9	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	limited_independent_support	positive	0.9230769230769232	0.1124334054313158	0.6666666666666666	GSE112098=0.0409|FDR10=False;GSE186800=0.0298|FDR10=False;GSE252321=-0.9864|FDR10=False;GSE280297=0.3664|FDR10=False
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	10	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	limited_independent_support	positive	0.9230769230769232	0.052076373829829	0.6666666666666666	GSE112098=0.0011|FDR10=False;GSE186800=0.0556|FDR10=False;GSE252321=-0.9055|FDR10=False;GSE280297=0.1396|FDR10=False
