feature_id	display_label	axis	validation_class	infection_direction	infection_coherence	preterm_effect	preterm_coherence
ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	steroid_cholesterol_endocrine	two_dataset_concordant_effect	positive	0.6923076923076923	-0.8043093611651837	1.0
ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	steroid_cholesterol_endocrine	limited_independent_support	negative	0.6923076923076923	0.5120363485796444	1.0
COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	complement_architecture	one_FDR_dataset_plus_independent_concordant_effect	positive	0.6923076923076923	-0.4971530114341522	0.6666666666666666
COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	complement_architecture	one_FDR_dataset_plus_independent_concordant_effect	positive	0.6923076923076923	0.2878657120830686	1.0
ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	steroid_cholesterol_endocrine	context_divergent_or_tissue_specific	positive	0.6153846153846154	-0.2679451119744505	0.6666666666666666
ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	steroid_cholesterol_endocrine	limited_independent_support	positive	0.6923076923076923	-0.9114340045584498	1.0
FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	lipid_metabolism	limited_independent_support	positive	0.6923076923076923	-0.159494278806105	0.6666666666666666
GLUCOCORTICOID_RESPONSE	Glucocorticoid response	steroid_cholesterol_endocrine	limited_independent_support	positive	1.0	-0.8259823876820072	1.0
GLYCOGEN_SYNTHESIS	Glycogen synthesis	carbohydrate_inflammatory_carbon	two_dataset_concordant_effect	positive	0.6923076923076923	-0.3027964300522092	0.6666666666666666
GLYCOLYSIS	Glycolysis	carbohydrate_inflammatory_carbon	context_divergent_or_tissue_specific	negative	0.6153846153846154	-0.1598284548654182	0.6666666666666666
INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	insulin_irs_signaling	two_dataset_concordant_effect	positive	0.6923076923076923	-0.6759836665295377	1.0
LEPTIN_SIGNALING	Leptin signaling	adipokine_signaling	one_FDR_dataset_plus_independent_concordant_effect	positive	1.0	-0.7524117043029656	1.0
NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	immune_context_anchors	limited_independent_support	positive	0.6923076923076923	0.2314004499277834	1.0
NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	immune_context_anchors	limited_independent_support	positive	1.0	0.1796772608549897	0.6666666666666666
OXIDATIVE_STRESS_NRF2_ANCHOR	Oxidative stress and NRF2 anchor	immune_context_anchors	limited_independent_support	positive	1.0	0.1309203690282578	0.6666666666666666
PI3K_AKT_SIGNALING	PI3K-AKT signaling	insulin_irs_signaling	one_FDR_dataset_plus_independent_concordant_effect	positive	1.0	-0.6352753686157185	1.0
STEROIDOGENESIS_CORE	Core steroidogenesis	steroid_cholesterol_endocrine	limited_independent_support	negative	0.6923076923076923	0.6984821720927213	1.0
TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	immune_context_anchors	one_FDR_dataset_plus_independent_concordant_effect	positive	1.0	-0.0580089231599877	1.0
XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	nucleotide_nad_nitrogen	context_divergent_or_tissue_specific	negative	0.6153846153846154	0.359912719386311	1.0
