domain	feature_id	display_label	axis	effect_value	absolute_effect	direction	tissue_directional_coherence	fdr_0_10	best_tissue_q_value
steroid_synthesis	STEROIDOGENESIS_CORE	Core steroidogenesis	steroid_cholesterol_endocrine	0.6984821720927213	0.6984821720927213	positive	1.0	False	0.9211087420042644
steroid_synthesis	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	steroid_cholesterol_endocrine	0.5120363485796444	0.5120363485796444	positive	1.0	False	0.9211087420042644
steroid_synthesis	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	steroid_cholesterol_endocrine	-0.2679451119744505	0.2679451119744505	negative	0.6666666666666666	False	0.9211087420042644
steroid_synthesis	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	steroid_cholesterol_endocrine	-0.2427657634531032	0.2427657634531032	negative	1.0	False	0.9211087420042644
steroid_receptor_response	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	steroid_cholesterol_endocrine	-0.8043093611651837	0.8043093611651837	negative	1.0	False	0.9211087420042644
steroid_receptor_response	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	steroid_cholesterol_endocrine	-0.9114340045584498	0.9114340045584498	negative	1.0	False	0.9211087420042644
steroid_receptor_response	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	steroid_cholesterol_endocrine	-0.8259823876820072	0.8259823876820072	negative	1.0	False	0.9211087420042644
steroid_receptor_response	MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	steroid_cholesterol_endocrine	-0.4946617089637732	0.4946617089637732	negative	1.0	False	0.9211087420042644
steroid_receptor_response	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	steroid_cholesterol_endocrine	-0.5030817475315358	0.5030817475315358	negative	1.0	False	0.9211087420042644
metabolic_effector_response	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	insulin_irs_signaling	-0.6759836665295377	0.6759836665295377	negative	1.0	False	0.9211087420042644
metabolic_effector_response	PI3K_AKT_SIGNALING	PI3K-AKT signaling	insulin_irs_signaling	-0.6352753686157185	0.6352753686157185	negative	1.0	False	0.9211087420042644
metabolic_effector_response	LEPTIN_SIGNALING	Leptin signaling	adipokine_signaling	-0.7524117043029656	0.7524117043029656	negative	1.0	False	0.9211087420042644
metabolic_effector_response	AMINO_ACID_TRANSPORT	Amino-acid transport	amino_acid_metabolism	-0.9110329763420932	0.9110329763420932	negative	1.0	False	0.9211087420042644
metabolic_effector_response	GLUCOSE_TRANSPORT	Glucose transport	carbohydrate_inflammatory_carbon	-0.3055608272910256	0.3055608272910256	negative	1.0	False	0.9211087420042644
metabolic_effector_response	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	lipid_metabolism	-0.501122242204225	0.501122242204225	negative	1.0	False	0.9211087420042644
metabolic_effector_response	INFLAMMATORY_CARBON_USE_INDEX	Inflammatory Carbon Use Index	composite_index	-1.1529232070436364	1.1529232070436364	negative	1.0	False	0.9211087420042644
complement_effector_response	COMPLEMENT_CLASSICAL	Classical complement pathway	complement_architecture	0.4735556700610808	0.4735556700610808	positive	1.0	False	0.9211087420042644
complement_effector_response	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	complement_architecture	0.5744464349606124	0.5744464349606124	positive	0.6666666666666666	False	0.9211087420042644
complement_effector_response	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	complement_architecture	-0.4971530114341522	0.4971530114341522	negative	0.6666666666666666	False	0.9211087420042644
complement_effector_response	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	complement_architecture	0.2878657120830686	0.2878657120830686	positive	1.0	False	0.9211087420042644
