path	size_bytes	columns	annotation_columns	sample_columns	group_columns	candidate_role	preview_rows_read	read_error
project://02_data_raw/GSE252321/matrix/GSE252321_series_matrix.txt.gz	2749	!Series_title;CD137L+Macrophage Resolves Acute Cystitis Induced by UPEC Infection through Regulatory T Cells Activation			CD137L+Macrophage Resolves Acute Cystitis Induced by UPEC Infection through Regulatory T Cells Activation	group_mapping	5	
project://03_data_processed/phaseU26B2A1_cross_dataset_input_repair/GSE252321_U26B2A1_sample_level_pseudobulk_expression.tsv.gz	610468	gene_symbol;GSM7999426_Control_1;GSM7999427_Control_2;GSM7999428_UPEC_1;GSM7999429_UPEC_2		GSM7999426_Control_1;GSM7999427_Control_2;GSM7999428_UPEC_1;GSM7999429_UPEC_2		sample_identifier	5	
project://03_data_processed/phaseU26B2B_cross_dataset_scoring_integration/GSE252321_U26B2B_sample_pseudobulk_scores.tsv.gz	4559	sample_id;condition;source_matrix;source_scale_class;n_cell_columns;analysis_unit;CHOLESTEROL_BIOSYNTHESIS;CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT;STEROIDOGENESIS_CORE;PROGESTERONE_BIOSYNTHESIS_RESPONSE;ESTROGEN_BIOSYNTHESIS;ESTROGEN_RECEPTOR_RESPONSE;ANDROGEN_TESTOSTERONE_BIOSYNTHESIS;ANDROGEN_RECEPTOR_SIGNALING;GLUCOCORTICOID_RESPONSE;MINERALOCORTICOID_RESPONSE;STEROID_SULFATION_DESULFATION;PLACENTAL_STEROID_METABOLISM;LXR_FXR_STEROL_SIGNALING;FATTY_ACID_SYNTHESIS;FATTY_ACID_BETA_OXIDATION;PHOSPHOLIPID_METABOLISM;SPHINGOLIPID_CERAMIDE_METABOLISM;EICOSANOID_PROSTAGLANDIN_METABOLISM;LIPID_DROPLET_DYNAMICS;PPAR_SREBP_LXR_REGULATION;FERROPTOSIS_LIPID_PEROXIDATION;GLYCOLYSIS;GLUCONEOGENESIS;GLYCOGEN_SYNTHESIS;GLYCOGENOLYSIS;PENTOSE_PHOSPHATE_PATHWAY;TCA_OXPHOS;LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS;AMPK_SIGNALING;MTOR_SIGNALING;GLUCOSE_TRANSPORT;AGE_RAGE_SIGNALING;INSULIN_RECEPTOR_IRS;PI3K_AKT_SIGNALING;MTORC1_INSULIN_OUTPUT;AMPK_INSULIN_COUNTERREGULATION;LEPTIN_SIGNALING;ADIPONECTIN_SIGNALING;RESISTIN_INFLAMMATORY_SIGNALING;ADIPOKINE_INFLAMMATORY_AXIS;PPARG_ADIPOMETABOLIC_REGULATION;TRYPTOPHAN_KYNURENINE;ARGININE_NO_UREA;GLUTAMINE_GLUTAMATE;SERINE_GLYCINE_ONE_CARBON;METHIONINE_SAM_METHYLATION;BRANCHED_CHAIN_AMINO_ACIDS;AROMATIC_AMINO_ACID_METABOLISM;AMINO_ACID_TRANSPORT;CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION;ADRENERGIC_STRESS_SIGNALING;CATECHOLAMINE_IRON_REDOX_INTERFACE;PURINE_DE_NOVO_SYNTHESIS;PURINE_SALVAGE;PURINE_DEGRADATION_URATE;PYRIMIDINE_SYNTHESIS;PYRIMIDINE_DEGRADATION;NAD_METABOLISM;UREA_CYCLE;NITRIC_OXIDE_SYNTHESIS_REGULATION;XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM;COMPLEMENT_CLASSICAL;COMPLEMENT_LECTIN;COMPLEMENT_ALTERNATIVE;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_TERMINAL_MAC;COMPLEMENT_REGULATORS;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_OPSONOPHAGOCYTOSIS;COMPLEMENT_C3A_C5A_SIGNALING;TLR4_LPS_SIGNALING_ANCHOR;NFKB_MAPK_INFLAMMATION_ANCHOR;NEUTROPHIL_NETOSIS_ANCHOR;OXIDATIVE_STRESS_NRF2_ANCHOR;UROTHELIAL_BARRIER_REPAIR_ANCHOR;PREGNANCY_INFLAMMATION_ANCHOR;STEROID_INFLAMMATORY_IMBALANCE_INDEX;INFLAMMATORY_CARBON_USE_INDEX;COMPLEMENT_INFLAMMATORY_AMPLIFICATION_INDEX;PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX		sample_id	condition	group_mapping;sample_identifier	4	
project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE252321_U26B2A1_sample_level_pseudobulk_design.tsv	876	sample_id;condition;source_matrix;source_scale_class;n_cell_columns;analysis_unit		sample_id	condition	filename_metadata_signal;group_mapping;sample_identifier	4	
project://06_tables/phaseU26B2A1_cross_dataset_input_repair/UTI_HostOmics_U26B2A1_GSE252321_flat_matrix_audit.tsv	844	path;status;sample_id;condition;gene_column;symbol_like_fraction;n_numeric_cell_columns;scale_class;selection_score;error		sample_id	status;condition	group_mapping;sample_identifier	4	
project://06_tables/phaseU26B2A_cross_dataset_input_preparation/UTI_HostOmics_U26B2A_GSE252321_h5ad_candidate_audit.tsv	193	path;status;n_cells;n_genes;sample_column;condition_column;cell_type_column;n_biological_samples;n_conditions;n_cell_types;sample_counts;condition_counts;cell_type_counts;selection_score;error	cell_type_column;n_cell_types;cell_type_counts	sample_column;n_biological_samples;sample_counts	status;condition_column;n_conditions;condition_counts	cell_annotation;group_mapping;sample_identifier	0	
project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_GSE252321_sample_pseudobulk_results.tsv	34467	dataset;contrast_id;biological_context;evidence_tier;group_a;group_b;n_group_a;n_group_b;feature_type;axis;feature_id;display_label;proposed_figure_family;mean_group_a;mean_group_b;mean_difference_a_minus_b;hedges_g;welch_p_value;permutation_p_value;permutation_method;n_permutations;auc_group_a_higher;direction;permutation_q_within_contrast;welch_q_within_contrast;permutation_fdr_0_05;permutation_fdr_0_10			group_a;group_b;n_group_a;n_group_b;mean_group_a;mean_group_b;auc_group_a_higher	group_mapping	5	
project://07_tables/phaseU8a2_single_cell_rawtar_repair/phaseU8a2_GSE252321_rawtar_extract_manifest_v1.tsv	1592	sample_id;sample_name;condition;replicate;filename;raw_tar_url;raw_tar_path;raw_tar_download_status;raw_tar_download_error;extracted_path;extract_status;extract_error		sample_id;sample_name	condition	group_mapping;sample_identifier	4	
project://07_tables/phaseU8a2_single_cell_rawtar_repair/phaseU8a2_GSE252321_single_cell_matrix_inspection_v1.tsv	3634	dataset_id;sample_id;sample_name;condition;replicate;file_path;file_name;exists;size_bytes;n_rows_including_header;n_fields_header;first_field_header;header_first_20_fields;line2_n_fields;line2_first_20_fields;orientation_guess;status;error		sample_id;sample_name	condition;status	group_mapping;sample_identifier	4	
project://07_tables/phaseU8a_single_cell_acquisition/phaseU8a_GSE252321_single_cell_download_manifest_v1.tsv	1342	dataset_id;sample_id;sample_name;condition;replicate;filename;url;local_path;download_status;error		sample_id;sample_name	condition	group_mapping;sample_identifier	4	
