cluster	original_broad_cell_type	original_annotation_confidence	refined_broad_cell_type	refined_cell_subtype	refinement_evidence	top_10_markers	label_changed
0	NK_cell	high	NK_cell	cytotoxic_NK	CCL5/NKG7/GZMA/GZMB/KLRD1/NCR1	CCL5;NKG7;GZMA;AW112010;MS4A4B;IL2RB;GIMAP4;KLRB1C;KLRE1;CTSW	False
1	mixed_low_confidence	low	macrophage_monocyte	LY6C2_VCAN_inflammatory_monocyte	LY6C2/CHIL3/VCAN/FCGR1/CCL2	LY6C2;CHIL3;F13A1;IFI204;VCAN;FN1;MX1;SELL;FCGR1;HP	True
2	mast_cell	high	mast_cell	CMA1_CPA3_mast	CMA1/CPA3/TPSB2/MCPT4/KIT	CMA1;CPA3;TPSB2;MCPT4;SERPINB1A;KIT;CD63;IL1RL1;FCER1A;HDC	False
3	neutrophil	high	neutrophil	IL1B_CXCL2_inflammatory_neutrophil	IL1B/CXCL2/S100A9/CSF3R/MMP9	IL1B;CXCL2;SLFN4;PTGS2;S100A9;CSF3R;IL1R2;CCRL2;CLEC4E;GADD45B	False
4	macrophage_monocyte	high	macrophage_monocyte	ARG1_SPP1_inflammatory_macrophage	ARG1/FN1/SPP1/CCL2/CD14/C3AR1	ARG1;FN1;CXCL2;CCL2;SPP1;CCL7;CXCL1;EMP1;CCL4;APOE	False
5	T_cell	high	T_cell	conventional_activated_T	TRAC/CD3D/CD3E/CD3G/LCK	TRBC2;MS4A4B;TRAC;CD3E;THY1;GIMAP4;CCL5;CD3D;CD3G;ETS1	False
6	fibroblast	high	macrophage_monocyte	RETNLA_MRC1_reparative_macrophage	RETNLA/LPL/MRC1/C1QA-C/LYZ1	RETNLA;FN1;LPL;PLTP;C1QB;MRC1;MT1;EAR2;FCRLS;LYZ1	True
7	mixed_low_confidence	low	dendritic	CD83_CLEC10A_activated_dendritic	CD83/CLEC10A/CD209A/CCR7/H2-DMB2	CD83;CCND1;RGS1;IFITM1;LY6A;KLRD1;TNFSF9;H2-DMB2;TNIP3;CLEC10A	True
8	NK_cell	high	NK_cell	GZMA_GZMB_cytotoxic_NK	NKG7/GZMA/GZMB/PRF1/NCR1/EOMES	GZMA;NKG7;CCL5;AW112010;IL2RB;GZMB;MS4A4B;KLRE1;GIMAP4;CCL4	False
9	neutrophil	high	neutrophil	S100A8_S100A9_neutrophil	S100A8/S100A9/CXCR2/CSF3R/RETNLG	S100A9;IL1B;S100A8;CXCL2;SLFN4;CXCR2;CSF3R;IL1R2;MMP9;PTGS2	False
10	T_cell	moderate	T_cell	IL2RA_TNFRSF18_regulatory_type2_like_T	IL2RA/TNFRSF18/GATA3/RORA/IL1RL1/KLRG1	KLRG1;CTLA2A;GATA3;RNF128;INPP4B;IL2RA;TCRG-C1;GIMAP3;IL7R;TNFRSF18	False
11	dendritic	moderate	cycling_immune	MKI67_TOP2A_cycling_immune	MKI67/TOP2A/PCLAF/UBE2C/BIRC5	MKI67;TOP2A;HIST1H1B;PCLAF;STMN1;UBE2C;NUSAP1;BIRC5;HIST1H4D;HIST1H2AE	True
12	macrophage_monocyte	high	macrophage_monocyte	C1Q_APOE_resident_macrophage	APOE/C1QA-C/ADGRE1/MRC1/CX3CR1	APOE;C1QB;C1QC;C1QA;LGMN;MAFB;SELENOP;MAF;FCGR1;MS4A6D	False
13	dendritic	moderate	dendritic	CD209A_CLEC10A_cDC2_like	CD209A/CLEC10A/MGL2/FLT3	CD209A;CLEC10A;CCND1;KLRD1;MGL2;TMEM176B;H2-DMB2;CLEC4B1;SLAMF9;TMEM176A	False
14	NK_cell	high	NK_cell	cycling_NK	NKG7/GZMA/NCR1 plus MKI67/TOP2A	GZMA;NKG7;AW112010;MKI67;MS4A4B;TOP2A;KLRE1;PCLAF;GIMAP4;STMN1	False
15	macrophage_monocyte	high	macrophage_monocyte	PF4_MRC1_C1Q_macrophage	PF4/MRC1/C1QA-C/ADGRE1/CCL2	PF4;APOE;LGMN;SELENOP;CCL7;C1QB;CTSL;MRC1;C1QC;CCL2	False
16	T_cell	high	T_cell	gamma_delta_like_T	TCRG-C1/TRDC/TRDV4/CXCR6/CD3E	CXCR6;TCRG-C1;THY1;TMEM176B;TMEM176A;TRDC;CD3E;CD3G;IL7R;RAMP1	False
17	dendritic	moderate	dendritic	XCR1_CLEC9A_cDC1_like	XCR1/CLEC9A/TLR3/IRF8/FLT3/CADM1	IRF8;IFI205;XCR1;BC028528;TLR3;ANPEP;GATM;FLT3;SEPT3;BTLA	False
