sample_id	condition	refined_broad_cell_type	n_cells	fraction_of_QC_cells
GSM7999426_Control_1	control	NK_cell	420	0.07138001359619306
GSM7999426_Control_1	control	T_cell	1129	0.19187627464309992
GSM7999426_Control_1	control	cycling_immune	436	0.07409925220938138
GSM7999426_Control_1	control	dendritic	1516	0.2576478585995921
GSM7999426_Control_1	control	macrophage_monocyte	2030	0.3450033990482665
GSM7999426_Control_1	control	mast_cell	68	0.011556764106050306
GSM7999426_Control_1	control	neutrophil	285	0.04843643779741672
GSM7999427_Control_2	control	NK_cell	597	0.07026009179710486
GSM7999427_Control_2	control	T_cell	2134	0.25114746381075675
GSM7999427_Control_2	control	cycling_immune	270	0.031775920913263506
GSM7999427_Control_2	control	dendritic	2364	0.2782158408850182
GSM7999427_Control_2	control	macrophage_monocyte	2842	0.33447098976109213
GSM7999427_Control_2	control	mast_cell	106	0.012474991173355302
GSM7999427_Control_2	control	neutrophil	184	0.021654701659409203
GSM7999428_UPEC_1	UPEC	NK_cell	311	0.04385841207164011
GSM7999428_UPEC_1	UPEC	T_cell	520	0.07333239317444648
GSM7999428_UPEC_1	UPEC	cycling_immune	53	0.00747426315047243
GSM7999428_UPEC_1	UPEC	dendritic	999	0.1408828091947539
GSM7999428_UPEC_1	UPEC	macrophage_monocyte	2822	0.39796925680439993
GSM7999428_UPEC_1	UPEC	mast_cell	18	0.0025384289945000705
GSM7999428_UPEC_1	UPEC	neutrophil	2368	0.33394443660978707
GSM7999429_UPEC_2	UPEC	NK_cell	277	0.046845932690681547
GSM7999429_UPEC_2	UPEC	T_cell	625	0.10569930661254862
GSM7999429_UPEC_2	UPEC	cycling_immune	153	0.0258751902587519
GSM7999429_UPEC_2	UPEC	dendritic	1119	0.18924403855910704
GSM7999429_UPEC_2	UPEC	macrophage_monocyte	2809	0.4750549636394385
GSM7999429_UPEC_2	UPEC	mast_cell	11	0.0018603077963808556
GSM7999429_UPEC_2	UPEC	neutrophil	919	0.15542026044309148
