cluster	urothelial_epithelial	macrophage_monocyte	dendritic	neutrophil	T_cell	B_cell	NK_cell	endothelial	fibroblast	smooth_muscle_pericyte	mast_cell
0	-0.12427743	-0.7386858	-0.4628418	-0.45496783	0.15286009	-0.43940985	3.288758	0.14032204	-0.14961052	-0.030763168	-0.2805985
1	0.25251383	0.16988917	-0.30007777	-0.16888367	-0.334521	-0.30078787	-0.19073859	0.008693317	-0.021245763	-0.02569563	-0.19686025
2	-0.048052102	-0.70767504	-0.008330826	-0.4864645	-0.25356996	-0.3838527	-0.1562137	0.22634457	-0.20384337	-0.013624445	9.494042
3	-0.083648436	-0.098431356	-0.6831273	1.3813837	-0.35580465	-0.67865795	-0.19763967	-0.12915322	0.02730008	0.028223205	0.55807024
4	-0.0238885	0.7430031	-0.6393956	-0.018813679	-0.3356111	-0.57246345	-0.3167283	-0.043764614	-0.021470468	-0.017028093	-0.15429953
5	-0.04448885	-0.9432813	-0.6249311	-0.48530087	3.2107935	-0.5175371	0.13183536	-0.0075274934	-0.13640988	-0.07148379	-0.2575618
6	0.109426625	0.22420907	0.2669327	-0.19937223	-0.31688452	0.30170664	-0.31838655	0.29260755	1.0956827	0.5363465	-0.16441326
7	-0.06158718	-0.17757133	1.1284338	-0.3681362	-0.3089934	1.1382002	-0.038153563	0.1985267	-0.09123785	-0.06844153	-0.19957569
8	-0.060515217	-0.7526101	-0.66130245	-0.37995255	0.119521014	-0.68249184	3.4401407	0.02850613	-0.061804578	-0.043122347	-0.23925503
9	-0.04922514	-0.23705202	-0.82331157	2.5832171	-0.3615515	-0.8075141	-0.14146425	-0.18995817	0.09384219	0.14024845	0.80836713
10	0.041326284	-1.024705	-0.59936637	-0.5869715	0.2867925	-0.45400324	-0.6460594	-0.13673289	-0.17765123	-0.10785044	-0.0566146
11	-0.06868114	-0.31300274	0.73424035	-0.5408698	0.13360177	0.5901917	-0.10542068	0.096387096	-0.021698391	-0.034046482	-0.20641972
12	-0.07736772	1.5420076	0.16659057	-0.06271121	-0.32314834	0.2635342	-0.19713095	-0.052634243	-0.032593865	-0.024518713	-0.22383669
13	-0.072939046	-0.18721287	1.1579573	-0.44282308	-0.32389995	0.9608133	0.0033921697	0.022473719	-0.1278634	-0.05739166	-0.2233942
14	-0.10218104	-0.7188057	-0.3491912	-0.5567487	0.2851293	-0.31617624	3.071804	0.09165391	-0.13540357	-0.08332304	-0.23851156
15	-0.0078102127	1.7085391	-0.3403079	-0.15998748	-0.29779303	-0.22701612	-0.21509497	0.06548457	0.03898554	-0.0026714276	-0.29907843
16	-0.097472765	-0.94735235	-0.48138443	-0.57578653	1.9277347	-0.30356857	-0.44708985	0.04767353	-0.14408527	-0.08657395	-0.1733231
17	-0.093940064	-0.39528504	1.3388151	-0.49020997	-0.3410654	1.0730853	-0.38060704	-0.09735764	-0.13081603	-0.074394844	-0.12660296
