cluster	rank	gene_symbol	cluster_mean_log_expression	outside_mean_log_expression	specificity_difference	global_mean_log_expression
0	1	CCL5	3.3170638	0.41436982	2.902694	0.49709675
0	2	NKG7	3.0798342	0.23695114	2.842883	0.31797317
0	3	GZMA	3.0137327	0.22856256	2.78517	0.30794007
0	4	AW112010	3.0276682	0.43511745	2.5925508	0.5090047
0	5	MS4A4B	2.2602074	0.28807983	1.9721276	0.34428552
0	6	IL2RB	2.057172	0.22989517	1.827277	0.28197217
0	7	GIMAP4	1.8887508	0.2239268	1.664824	0.2713743
0	8	KLRB1C	1.7254572	0.06870536	1.6567519	0.115922764
0	9	KLRE1	1.6962973	0.09457207	1.6017252	0.14022122
0	10	CTSW	1.6776468	0.13012533	1.5475215	0.17422976
0	11	GZMB	1.6179051	0.12985897	1.4880462	0.1722683
0	12	KLRA8	1.5053188	0.07675644	1.4285623	0.117470376
0	13	KLRD1	1.8033874	0.3788569	1.4245305	0.41945624
0	14	KLRK1	1.7108668	0.29699633	1.4138705	0.33729172
0	15	NCR1	1.3210208	0.056473833	1.264547	0.09251342
0	16	CTLA2A	1.4581275	0.32533363	1.1327939	0.35761833
0	17	KLRA9	1.1874471	0.056479327	1.1309677	0.08871192
0	18	PTPRCAP	1.3904576	0.29543883	1.0950189	0.3266466
0	19	SEPT1	1.3780639	0.30423576	1.0738282	0.33483994
0	20	GIMAP6	1.2121071	0.24676469	0.9653424	0.2742767
0	21	PRF1	1.0161393	0.05976086	0.9563784	0.0870176
0	22	H2-Q7	1.3942271	0.45277274	0.9414544	0.47960407
0	23	KLRA4	0.97188395	0.044135064	0.9277489	0.07057589
0	24	HCST	1.1919229	0.32107368	0.87084925	0.34589317
0	25	GIMAP3	1.1714936	0.30338946	0.8681042	0.32813084
1	1	LY6C2	1.9125917	0.7185816	1.19401	0.9026986
1	2	CHIL3	1.2170546	0.4089343	0.8081203	0.5335461
1	3	F13A1	0.90733194	0.36483428	0.54249763	0.44848755
1	4	IFI204	1.2827337	0.79667634	0.48605734	0.8716261
