panel	n_markers_requested	n_markers_detected	coverage_fraction	detected_markers	missing_markers
urothelial_epithelial	11	11	1.0	UPK1A;UPK1B;UPK2;UPK3A;KRT8;KRT18;KRT19;KRT20;EPCAM;KRT14;KRT5	
macrophage_monocyte	12	12	1.0	ADGRE1;LYZ2;CSF1R;FCGR1;CTSS;CD68;C1QA;C1QB;C1QC;TYROBP;AIF1;LST1	
dendritic	10	10	1.0	ITGAX;H2-AA;H2-AB1;CD74;FLT3;XCR1;CLEC10A;CCR7;FCER1A;ZBTB46	
neutrophil	10	9	0.9	S100A8;S100A9;LY6G;CSF3R;MPO;NGP;RETNLG;FCGR3;CXCR2	ELANE
T_cell	9	9	1.0	CD3D;CD3E;CD3G;TRAC;LCK;IL7R;CD4;CD8A;CD8B1	
B_cell	10	10	1.0	CD79A;CD79B;MS4A1;CD37;CD74;H2-AA;CD19;CD22;CD83;BANK1	
NK_cell	9	8	0.8888888888888888	NKG7;KLRD1;NCR1;PRF1;GZMB;GZMA;CTSW;TYROBP	GNLY
endothelial	9	9	1.0	PECAM1;KDR;EMCN;CDH5;VWF;ENG;ESAM;RAMP2;PLVAP	
fibroblast	10	10	1.0	COL1A1;COL1A2;COL3A1;DCN;LUM;PDGFRA;COL6A1;COL6A2;COL6A3;PI16	
smooth_muscle_pericyte	9	8	0.8888888888888888	ACTA2;TAGLN;MYH11;RGS5;PDGFRB;CSPG4;MCAM;DES	NOTCH3
mast_cell	8	7	0.875	KIT;MCPT4;CPA3;TPSB2;HDC;MS4A2;GATA2	MCPT1
Treg	5	5	1.0	FOXP3;IL2RA;CTLA4;IKZF2;TNFRSF18	
CD137L_macrophage	5	5	1.0	TNFSF9;ADGRE1;LYZ2;CSF1R;CD68	
cycling	5	5	1.0	MKI67;TOP2A;CENPF;UBE2C;TYMS	
interferon_response	5	5	1.0	ISG15;IFIT1;IFIT3;MX1;OAS1A	
