sample_id	condition	broad_cell_type	n_cells	fraction_of_QC_cells
GSM7999426_Control_1	control	dendritic	1700	0.28891910265125764
GSM7999426_Control_1	control	macrophage_monocyte	1161	0.19731475186947656
GSM7999426_Control_1	control	T_cell	1129	0.19187627464309992
GSM7999426_Control_1	control	mixed_low_confidence	754	0.128144119646499
GSM7999426_Control_1	control	NK_cell	420	0.07138001359619306
GSM7999426_Control_1	control	fibroblast	367	0.0623725356900068
GSM7999426_Control_1	control	neutrophil	285	0.04843643779741672
GSM7999426_Control_1	control	mast_cell	68	0.011556764106050306
GSM7999427_Control_2	control	dendritic	2323	0.2733906084500412
GSM7999427_Control_2	control	T_cell	2134	0.25114746381075675
GSM7999427_Control_2	control	mixed_low_confidence	1773	0.20866188066376368
GSM7999427_Control_2	control	macrophage_monocyte	845	0.09944686359891726
GSM7999427_Control_2	control	NK_cell	597	0.07026009179710486
GSM7999427_Control_2	control	fibroblast	535	0.06296339884665177
GSM7999427_Control_2	control	neutrophil	184	0.021654701659409203
GSM7999427_Control_2	control	mast_cell	106	0.012474991173355302
GSM7999428_UPEC_1	UPEC	neutrophil	2368	0.33394443660978707
GSM7999428_UPEC_1	UPEC	mixed_low_confidence	1799	0.25370187561697927
GSM7999428_UPEC_1	UPEC	macrophage_monocyte	1210	0.17063883796361584
GSM7999428_UPEC_1	UPEC	dendritic	597	0.08419122831758567
GSM7999428_UPEC_1	UPEC	T_cell	520	0.07333239317444648
GSM7999428_UPEC_1	UPEC	NK_cell	311	0.04385841207164011
GSM7999428_UPEC_1	UPEC	fibroblast	268	0.037794387251445495
GSM7999428_UPEC_1	UPEC	mast_cell	18	0.0025384289945000705
GSM7999429_UPEC_2	UPEC	mixed_low_confidence	1634	0.2763402672078471
GSM7999429_UPEC_2	UPEC	macrophage_monocyte	1496	0.25300186030779637
GSM7999429_UPEC_2	UPEC	neutrophil	919	0.15542026044309148
GSM7999429_UPEC_2	UPEC	dendritic	675	0.1141552511415525
GSM7999429_UPEC_2	UPEC	T_cell	625	0.10569930661254862
GSM7999429_UPEC_2	UPEC	NK_cell	277	0.046845932690681547
GSM7999429_UPEC_2	UPEC	fibroblast	276	0.04667681380010147
GSM7999429_UPEC_2	UPEC	mast_cell	11	0.0018603077963808556
