population_level	population	sample_id	condition	n_cells	library_size	detected_genes	complete_four_sample_population
broad_cell_type	NK_cell	GSM7999426_Control_1	control	420	1879659.0	14439	True
broad_cell_type	T_cell	GSM7999426_Control_1	control	1129	4621113.0	16556	True
broad_cell_type	cycling_immune	GSM7999426_Control_1	control	436	3885367.0	15820	True
broad_cell_type	dendritic	GSM7999426_Control_1	control	1516	10093107.0	17357	True
broad_cell_type	macrophage_monocyte	GSM7999426_Control_1	control	2030	12272405.0	18384	True
broad_cell_type	mast_cell	GSM7999426_Control_1	control	68	307377.0	11473	False
broad_cell_type	neutrophil	GSM7999426_Control_1	control	285	1129730.0	13722	True
refined_subtype	ARG1_SPP1_inflammatory_macrophage	GSM7999426_Control_1	control	240	1307843.0	13897	False
refined_subtype	C1Q_APOE_resident_macrophage	GSM7999426_Control_1	control	498	2790032.0	15306	True
refined_subtype	CD209A_CLEC10A_cDC2_like	GSM7999426_Control_1	control	861	5634000.0	16216	True
refined_subtype	CD83_CLEC10A_activated_dendritic	GSM7999426_Control_1	control	252	1435310.0	13699	True
refined_subtype	CMA1_CPA3_mast	GSM7999426_Control_1	control	68	307377.0	11473	False
refined_subtype	GZMA_GZMB_cytotoxic_NK	GSM7999426_Control_1	control	161	611348.0	12262	True
refined_subtype	IL1B_CXCL2_inflammatory_neutrophil	GSM7999426_Control_1	control	153	646759.0	12487	True
refined_subtype	IL2RA_TNFRSF18_regulatory_type2_like_T	GSM7999426_Control_1	control	588	2440471.0	15122	True
refined_subtype	LY6C2_VCAN_inflammatory_monocyte	GSM7999426_Control_1	control	502	2402860.0	15671	True
refined_subtype	MKI67_TOP2A_cycling_immune	GSM7999426_Control_1	control	436	3885367.0	15820	True
refined_subtype	PF4_MRC1_C1Q_macrophage	GSM7999426_Control_1	control	423	3179730.0	15481	True
refined_subtype	RETNLA_MRC1_reparative_macrophage	GSM7999426_Control_1	control	367	2591940.0	15837	True
refined_subtype	S100A8_S100A9_neutrophil	GSM7999426_Control_1	control	132	482971.0	11768	False
refined_subtype	XCR1_CLEC9A_cDC1_like	GSM7999426_Control_1	control	403	3023797.0	15033	True
refined_subtype	conventional_activated_T	GSM7999426_Control_1	control	301	1121876.0	13681	True
refined_subtype	cycling_NK	GSM7999426_Control_1	control	42	334410.0	11066	False
