population_level	population	feature_id	display_label	axis	proposed_figure_family	requested_genes	detected_genes	coverage_fraction	score_eligible	mean_control_score	mean_UPEC_score	mean_difference_UPEC_minus_control	hedges_g_UPEC_vs_control	exact_permutation_p	module_mean_gene_log2FC	module_median_gene_log2FC	fraction_genes_positive_log2FC	fraction_genes_negative_log2FC	gene_direction_coherence	direction	exact_permutation_q_within_population
refined_subtype	C1Q_APOE_resident_macrophage	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	adipokine_signaling	Figure_8	13	10	0.7692307692307693	True	-0.4104992656391364	0.41049926563913586	0.8209985312782723	5.598959025405979	0.3333333333333333	1.4736403504488238	1.5911409569216266	0.7	0.3	0.7	higher_in_UPEC	0.6403508771929824
refined_subtype	C1Q_APOE_resident_macrophage	ADIPONECTIN_SIGNALING	Adiponectin signaling	adipokine_signaling	Figure_8	11	8	0.7272727272727273	True	-0.11600970592732242	0.11600970592732338	0.2320194118546458	0.5887597786288116	0.6666666666666666	-0.04274060848772088	0.07178667283745832	0.5	0.5	0.5	higher_in_UPEC	0.9012345679012346
refined_subtype	C1Q_APOE_resident_macrophage	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	catecholamine_stress_adjacent	Figure_9	15	10	0.6666666666666666	True	0.40079585778697485	-0.40079585778697435	-0.8015917155739491	-3.041056192314674	0.3333333333333333	-0.5049446572815278	-0.38098667346707416	0.1	0.9	0.9	lower_in_UPEC	0.6403508771929824
refined_subtype	C1Q_APOE_resident_macrophage	AGE_RAGE_SIGNALING	AGE-RAGE signaling	carbohydrate_inflammatory_carbon	Figure_8	16	14	0.875	True	-0.10392944928539692	0.10392944928539638	0.20785889857079332	0.49691919461775597	1.0	0.5763912765197549	0.11791034308523907	0.5714285714285714	0.42857142857142855	0.5714285714285714	higher_in_UPEC	1.0
refined_subtype	C1Q_APOE_resident_macrophage	AMINO_ACID_TRANSPORT	Amino-acid transport	amino_acid_metabolism	Figure_9	14	11	0.7857142857142857	True	-0.26742119013085897	0.26742119013085885	0.5348423802617178	6.285199535383807	0.3333333333333333	0.6089664935869763	0.46190940381877077	0.7272727272727273	0.2727272727272727	0.7272727272727273	higher_in_UPEC	0.6403508771929824
refined_subtype	C1Q_APOE_resident_macrophage	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	insulin_irs_signaling	Figure_8	10	9	0.9	True	0.01043657074560897	-0.010436570745608874	-0.020873141491217842	-0.02398716350281738	1.0	-0.026447639043643667	0.06712725111167028	0.5555555555555556	0.4444444444444444	0.5555555555555556	lower_in_UPEC	1.0
refined_subtype	C1Q_APOE_resident_macrophage	AMPK_SIGNALING	AMPK signaling	carbohydrate_inflammatory_carbon	Figure_8	15	12	0.8	True	-0.1330761106244863	0.13307611062448682	0.2661522212489731	0.28477495145631493	1.0	0.16081446623524134	0.09517485110158885	0.5833333333333334	0.4166666666666667	0.5833333333333334	higher_in_UPEC	1.0
refined_subtype	C1Q_APOE_resident_macrophage	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	steroid_cholesterol_endocrine	Figure_7	11	10	0.9090909090909091	True	-0.001254395750297399	0.0012543957503003966	0.0025087915005977957	0.004029078312464006	1.0	-0.2504025584279215	-0.023613338251569305	0.5	0.5	0.5	higher_in_UPEC	1.0
refined_subtype	C1Q_APOE_resident_macrophage	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	steroid_cholesterol_endocrine	Figure_7	9	4	0.4444444444444444	False											not_scored	
refined_subtype	C1Q_APOE_resident_macrophage	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	amino_acid_metabolism	Figure_9	16	12	0.75	True	-0.48495020506529113	0.4849502050652915	0.9699004101305826	3.2043672350596046	0.3333333333333333	1.135871711923663	0.8334164506270043	0.8333333333333334	0.16666666666666666	0.8333333333333334	higher_in_UPEC	0.6403508771929824
