population_level	population	feature_id	display_label	axis	proposed_figure_family	requested_genes	detected_genes	coverage_fraction	score_eligible	mean_control_score	mean_UPEC_score	mean_difference_UPEC_minus_control	hedges_g_UPEC_vs_control	exact_permutation_p	module_mean_gene_log2FC	module_median_gene_log2FC	fraction_genes_positive_log2FC	fraction_genes_negative_log2FC	gene_direction_coherence	direction	exact_permutation_q_within_population	hedges_g_finite	variance_sensitive_hedges_g	cellular_evidence_class	cellular_localization_score	effect_direction
broad_cell_type	NK_cell	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	adipokine_signaling	Figure_8	13	10	0.7692307692307693	True	-0.4190197375738054	0.4190197375738057	0.838039475147611	1.737251876162092	0.3333333333333333	1.1070630553555074	1.3659884254390635	0.8	0.2	0.8	higher_in_UPEC	0.6239316239316239	1.737251876162092	False	high_cellular_localization_support	0.8337251876162093	higher_in_UPEC
broad_cell_type	NK_cell	ADIPONECTIN_SIGNALING	Adiponectin signaling	adipokine_signaling	Figure_8	11	8	0.7272727272727273	True	-0.0357286741164265	0.0357286741164271	0.0714573482328537	0.0684477900764201	1.0	-0.0526972531250538	0.0233641350594235	0.5	0.5	0.5	higher_in_UPEC	1.0	0.0684477900764201	False	limited_cellular_support	0.054272306820190436	lower_in_UPEC
broad_cell_type	NK_cell	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	catecholamine_stress_adjacent	Figure_9	15	10	0.6666666666666666	True	0.0360714376987956	-0.0360714376987945	-0.0721428753975902	-0.2567189737399907	1.0	-0.1058173900290769	-0.0532672933221531	0.4	0.6	0.6	lower_in_UPEC	1.0	-0.2567189737399907	False	directional_cellular_support	0.19090754840016827	lower_in_UPEC
broad_cell_type	NK_cell	AGE_RAGE_SIGNALING	AGE-RAGE signaling	carbohydrate_inflammatory_carbon	Figure_8	16	14	0.875	True	-0.4062193418210958	0.406219341821096	0.8124386836421917	1.0178091798088322	0.3333333333333333	0.9038426199882894	0.249954368310497	0.7142857142857143	0.2857142857142857	0.7142857142857143	higher_in_UPEC	0.6239316239316239	1.0178091798088322	False	moderate_cellular_localization_support	0.7017809179808832	higher_in_UPEC
broad_cell_type	NK_cell	AMINO_ACID_TRANSPORT	Amino-acid transport	amino_acid_metabolism	Figure_9	14	11	0.7857142857142857	True	-0.468702618855721	0.4687026188557217	0.9374052377114428	1.877869581607972	0.3333333333333333	0.7513013470252585	0.4744100811250309	0.8181818181818182	0.1818181818181818	0.8181818181818182	higher_in_UPEC	0.6239316239316239	1.877869581607972	False	high_cellular_localization_support	0.86051423088807	higher_in_UPEC
broad_cell_type	NK_cell	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	insulin_irs_signaling	Figure_8	10	9	0.9	True	-0.3071634655448362	0.3071634655448366	0.6143269310896728	1.5727870839748823	0.3333333333333333	0.33883905747661	0.4533207281063203	0.7777777777777778	0.2222222222222222	0.7777777777777778	higher_in_UPEC	0.6239316239316239	1.5727870839748823	False	moderate_cellular_localization_support	0.6566783045708817	higher_in_UPEC
broad_cell_type	NK_cell	AMPK_SIGNALING	AMPK signaling	carbohydrate_inflammatory_carbon	Figure_8	15	12	0.8	True	-0.2160303648188682	0.2160303648188693	0.4320607296377375	0.6652574463927773	0.6666666666666666	0.2370568827961456	0.2158706352087569	0.75	0.25	0.75	higher_in_UPEC	0.7978142076502732	0.6652574463927773	False	moderate_cellular_localization_support	0.45487693915580873	higher_in_UPEC
broad_cell_type	NK_cell	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	steroid_cholesterol_endocrine	Figure_7	11	10	0.9090909090909092	True	-0.3336265128531356	0.3336265128531356	0.6672530257062712	0.9082311865403172	0.3333333333333333	0.2343867436237309	0.2320837551575478	0.7	0.3	0.7	higher_in_UPEC	0.6239316239316239	0.9082311865403172	False	moderate_cellular_localization_support	0.4417711879153895	higher_in_UPEC
broad_cell_type	NK_cell	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	amino_acid_metabolism	Figure_9	16	12	0.75	True	-0.2612542578465471	0.2612542578465464	0.5225085156930935	1.9082309140114009	0.3333333333333333	0.744100351683835	0.9226962316810164	0.6666666666666666	0.3333333333333333	0.6666666666666666	higher_in_UPEC	0.6239316239316239	1.9082309140114009	False	moderate_cellular_localization_support	0.7574897580678067	higher_in_UPEC
broad_cell_type	NK_cell	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	amino_acid_metabolism	Figure_9	13	6	0.4615384615384615	True	0.5403212068229865	-0.5403212068229863	-1.080642413645973	-1.367542452026956	0.3333333333333333	-0.8756465985362664	-0.5336693176893466	0.0	1.0	1.0	lower_in_UPEC	0.6239316239316239	-1.367542452026956	False	high_cellular_localization_support	0.9367542452026957	lower_in_UPEC
