feature_id	display_label	axis	proposed_figure_family	n_populations	n_positive_populations	n_negative_populations	directional_coherence_fraction	n_high_or_moderate_populations	top_population_by_composite_score	top_population_composite_score	top_population_evidence_class	top_population_mean_gene_log2FC	top_population_gene_direction_coherence	top_population_hedges_g	top_population_variance_sensitive_g	top_to_second_score_ratio	cellular_localization_class	median_mean_gene_log2FC	median_gene_direction_coherence	median_composite_score	top_refined_subtype	top_refined_subtype_composite_score	top_refined_subtype_mean_gene_log2FC	top_refined_subtype_gene_direction_coherence	top_refined_subtype_hedges_g	top_refined_subtype_variance_sensitive_g	biological_priority	manuscript_claim_priority	refined_infection_outcome_relation
COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	complement_architecture	Figure_10	6	6	0	1.0	6	dendritic	0.9278208818577898	high_cellular_localization_support	1.4456316301814405	1.0	1.2782088185778977	False	1.0071325105096125	coherent_pan_immune_higher_in_UPEC	1.2658530747506478	0.9	0.8356217599581712	XCR1_CLEC9A_cDC1_like	0.9610119971250682	1.4729075525075164	1.0	1.610119971250682	False	provisional_core_exploratory_dependent	secondary_result_pending_celltype_reconstruction_with_state_dependent_reversal	direction_reversal
GLYCOGEN_SYNTHESIS	Glycogen synthesis	carbohydrate_inflammatory_carbon	Figure_8	6	6	0	1.0	4	neutrophil	0.8999999999999999	high_cellular_localization_support	0.8963744202790921	0.8571428571428571	2.610410898595803	False	1.0	coherent_pan_immune_higher_in_UPEC	0.5834206058409266	0.7857142857142857	0.7577722566639508	LY6C2_VCAN_inflammatory_monocyte	0.8427235156616595	0.5761876415398677	0.8571428571428571	1.4272351566165955	False	secondary	supporting_mechanistic_result_with_state_dependent_reversal	direction_reversal
FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	lipid_metabolism	Figure_7	6	4	2	0.6666666666666666	4	cycling_immune	0.7631681335560592	high_cellular_localization_support	0.3729747157858201	0.8333333333333334	1.9415755601548783	False	1.0363226332484727	branch_divergent	0.255101748627244	0.75	0.599043191686778	IL2RA_TNFRSF18_regulatory_type2_like_T	0.825	0.6417633274224367	0.75	2.549043189743969	False	secondary	supporting_mechanistic_result_with_state_dependent_reversal	direction_reversal
INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	insulin_irs_signaling	Figure_8	6	5	1	0.8333333333333334	4	T_cell	0.8693166047837484	high_cellular_localization_support	0.4714131026086342	0.9411764705882352	1.3622128302421304	False	1.191153873390666	coherent_pan_immune_higher_in_UPEC	0.2492821142128324	0.7941176470588235	0.5514962533574639	IL2RA_TNFRSF18_regulatory_type2_like_T	0.9303403013747025	0.5318475986751556	0.9411764705882352	1.7151677196293778	False	secondary	supporting_mechanistic_result_with_state_dependent_reversal	direction_reversal
ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	steroid_cholesterol_endocrine	Figure_7	6	5	1	0.8333333333333334	4	dendritic	0.7522665387792156	moderate_cellular_localization_support	0.3460989569655788	1.0	0.9077747751019462	False	1.120881495322932	coherent_pan_immune_higher_in_UPEC	0.29024285029465485	0.75	0.5273151472719526	CD209A_CLEC10A_cDC2_like	0.905925786574989	0.5634951837745799	1.0	1.059257865749889	False	secondary	supporting_mechanistic_result_with_state_dependent_reversal	direction_reversal
AMINO_ACID_TRANSPORT	Amino-acid transport	amino_acid_metabolism	Figure_9	6	5	1	0.8333333333333334	3	dendritic	0.9363636363636363	high_cellular_localization_support	1.073834052736299	0.9090909090909092	3.119946733734381	False	1.0881442778666055	multi_compartment_contextual	0.7160872878042566	0.6818181818181819	0.7330851306969386	cytotoxic_NK	0.9854396343975395	0.8101399070771521	1.0	1.8543963439753943	False	secondary	supporting_mechanistic_result_with_state_dependent_reversal	direction_reversal
LEPTIN_SIGNALING	Leptin signaling	adipokine_signaling	Figure_8	6	6	0	1.0	3	T_cell	0.9747857684054733	high_cellular_localization_support	0.5275647192697792	1.0	1.7478576840547315	False	1.098054279129448	multi_compartment_contextual	0.31435580555870213	0.6818181818181819	0.5504942078932945	XCR1_CLEC9A_cDC1_like	0.939824050156798	0.6418753924273782	1.0	1.3982405015679795	False	robust_core	primary_mechanistic_result_with_state_dependent_reversal	direction_reversal
PI3K_AKT_SIGNALING	PI3K-AKT signaling	insulin_irs_signaling	Figure_8	6	6	0	1.0	2	T_cell	0.5841541229069482	moderate_cellular_localization_support	0.2464607101782985	0.8823529411764706	0.946924249229502	False	1.0801829626780726	multi_compartment_contextual	0.1712326090850225	0.7647058823529411	0.43437971892918265	IL2RA_TNFRSF18_regulatory_type2_like_T	0.8319874786285286	0.3590710546852934	0.9411764705882352	2.25268933506853	False	robust_core	primary_mechanistic_result_with_state_dependent_reversal	direction_reversal
TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	immune_context_anchors	Integrated_network	6	5	1	0.8333333333333334	2	T_cell	0.6744630100620629	high_cellular_localization_support	0.3901346357577042	0.8	1.1334183788012908	False	1.2051780753501373	lymphoid_dominant	0.14528455952158434	0.6333333333333333	0.2453264411363554	conventional_activated_T	0.8235005427435265	0.4929729831257657	0.8666666666666667	1.2315819126367065	False	robust_core	primary_mechanistic_result_without_material_pregnancy_outcome_shift	pregnancy_near_neutral
COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	complement_architecture	Figure_10	6	3	3	0.5	1	dendritic	0.6072570085791539	moderate_cellular_localization_support	0.3161061181317849	0.875	0.602615022605475	False	2.129612126012427	myeloid_dominant	-0.005985087690561448	0.625	0.21464734253083917	CD83_CLEC10A_activated_dendritic	0.667375486491592	0.463182684517745	0.75	0.7551107042562137	False	provisional_core_exploratory_dependent	secondary_result_pending_celltype_reconstruction	direction_preserved
