population_level	population	feature_id	display_label	axis	proposed_figure_family	requested_genes	detected_genes	coverage_fraction	score_eligible	mean_control_score	mean_UPEC_score	mean_difference_UPEC_minus_control	hedges_g_UPEC_vs_control	exact_permutation_p	module_mean_gene_log2FC	module_median_gene_log2FC	fraction_genes_positive_log2FC	fraction_genes_negative_log2FC	gene_direction_coherence	direction	exact_permutation_q_within_population	hedges_g_finite	variance_sensitive_hedges_g	cellular_evidence_class	cellular_localization_score	effect_direction
broad_cell_type	NK_cell	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	lipid_metabolism	Figure_7	16	15	0.9375	True	-0.3893953255259667	0.3893953255259668	0.7787906510519335	28.218150045310868	0.3333333333333333	0.6788350798425402	0.3175246644079834	0.8666666666666667	0.1333333333333333	0.8666666666666667	higher_in_UPEC	0.6239316239316239	28.218150045310868	True	high_cellular_localization_support	0.9066666666666667	higher_in_UPEC
broad_cell_type	cycling_immune	COMPLEMENT_REGULATORS	Complement regulators	complement_architecture	Figure_10	12	5	0.4166666666666667	True	-0.3691131891930827	0.3691131891930829	0.7382263783861656	11.637537118707984	0.3333333333333333	1.9229879916613728	1.5662301921722173	0.8	0.2	0.8	higher_in_UPEC	0.5177304964539007	11.637537118707984	True	high_cellular_localization_support	0.8600000000000001	higher_in_UPEC
broad_cell_type	neutrophil	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	lipid_metabolism	Figure_7	16	15	0.9375	True	0.4023025811606608	-0.4023025811606612	-0.8046051623213221	-8.70218386852812	0.3333333333333333	-0.5999788118985645	-0.6915307184392283	0.2	0.8	0.8	lower_in_UPEC	0.5934959349593496	-8.70218386852812	True	high_cellular_localization_support	0.8600000000000001	lower_in_UPEC
broad_cell_type	neutrophil	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	amino_acid_metabolism	Figure_9	13	13	1.0	True	0.4931957826587326	-0.4931957826587327	-0.9863915653174652	-7.006943205500761	0.3333333333333333	-0.8980141532450531	-0.9232280338765602	0.1538461538461538	0.8461538461538461	0.8461538461538461	lower_in_UPEC	0.5934959349593496	-7.006943205500761	True	high_cellular_localization_support	0.8923076923076922	lower_in_UPEC
broad_cell_type	macrophage_monocyte	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	lipid_metabolism	Figure_7	15	13	0.8666666666666667	True	-0.2084809355194501	0.2084809355194501	0.4169618710389002	6.986163111509749	0.3333333333333333	0.1554970009204836	0.2561315403418058	0.6923076923076923	0.3076923076923077	0.6923076923076923	higher_in_UPEC	0.9012345679012346	6.986163111509749	True	directional_cellular_support	0.4745626854438198	higher_in_UPEC
broad_cell_type	cycling_immune	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	nucleotide_nad_nitrogen	Figure_9	12	11	0.9166666666666666	True	-0.3909594034787043	0.390959403478705	0.7819188069574093	6.929486710221852	0.3333333333333333	0.1739851716991087	0.2944281512307816	0.8181818181818182	0.1818181818181818	0.8181818181818182	higher_in_UPEC	0.5177304964539007	6.929486710221852	True	directional_cellular_support	0.5793139272564707	higher_in_UPEC
broad_cell_type	dendritic	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	amino_acid_metabolism	Figure_9	16	12	0.75	True	-0.5021147035062717	0.5021147035062712	1.0042294070125428	6.359323037957078	0.3333333333333333	1.3745190746423437	0.9041263777024784	0.8333333333333334	0.1666666666666666	0.8333333333333334	higher_in_UPEC	0.5934959349593496	6.359323037957078	True	high_cellular_localization_support	0.8833333333333333	higher_in_UPEC
broad_cell_type	neutrophil	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	amino_acid_metabolism	Figure_9	13	6	0.4615384615384615	True	0.753198901073478	-0.7531989010734776	-1.5063978021469555	-6.249366124213378	0.3333333333333333	-2.2877228970698438	-2.0438829489714365	0.0	1.0	1.0	lower_in_UPEC	0.5934959349593496	-6.249366124213378	True	high_cellular_localization_support	1.0	lower_in_UPEC
broad_cell_type	neutrophil	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	amino_acid_metabolism	Figure_9	13	7	0.5384615384615384	True	0.7706572307434414	-0.7706572307434412	-1.5413144614868826	-5.7744701807595655	0.3333333333333333	-2.043968676420397	-1.643514329569551	0.0	1.0	1.0	lower_in_UPEC	0.5934959349593496	-5.7744701807595655	True	high_cellular_localization_support	1.0	lower_in_UPEC
broad_cell_type	cycling_immune	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	amino_acid_metabolism	Figure_9	13	13	1.0	True	-0.611940267174564	0.6119402671745636	1.2238805343491277	5.770176508571884	0.3333333333333333	0.859683862541839	0.9498869919866184	0.9230769230769232	0.0769230769230769	0.9230769230769232	higher_in_UPEC	0.5177304964539007	5.770176508571884	True	high_cellular_localization_support	0.9461538461538463	higher_in_UPEC
