panel_key	n_required_roles	n_roles_locked	visual_assets_complete	panel_lock_complete
Figure_1A	4	4	True	True
Figure_1B	1	1	True	True
Figure_1C	3	3	True	True
Figure_1D	1	1	True	True
Figure_1E	1	1	True	True
Figure_1F	1	1	True	True
Figure_2A	1	0	True	False
Figure_2B	1	1	True	True
Figure_2C	1	1	True	True
Figure_2D	1	1	True	True
Figure_2E	1	1	True	True
Figure_2F	1	1	True	True
Figure_2G	2	2	True	True
Figure_3A	1	1	True	True
Figure_3B	1	1	True	True
Figure_3C	1	1	True	True
Figure_3D	1	1	True	True
Figure_3E	1	1	True	True
Figure_3F	1	1	True	True
Figure_3G	2	2	True	True
Figure_3H	3	3	True	True
Figure_4A	1	1	True	True
Figure_4B	2	2	True	True
Figure_4C	1	1	True	True
Figure_4D	1	1	True	True
Figure_4E	1	1	True	True
Figure_4F	1	1	True	True
Figure_4G	2	2	True	True
Figure_4H	3	3	True	True
Figure_5A	1	0	True	False
Figure_5B	1	1	True	True
Figure_5C	1	1	True	True
Figure_5D	2	2	True	True
Figure_5E	2	2	True	True
Figure_5F	2	2	True	True
Figure_5G	1	1	True	True
Figure_6A	1	0	True	False
Figure_6B	1	1	True	True
Figure_6C	1	1	True	True
Figure_6D	1	1	True	True
Figure_6E	2	2	True	True
Figure_6F	2	2	True	True
Figure_6G	0	0	True	True
Figure_6H	0	0	True	True
Figure_7A	1	0	True	False
Figure_7B	1	1	True	True
Figure_7C	1	1	True	True
Figure_7D	1	1	True	True
Figure_7E	2	2	True	True
Figure_7F	2	2	True	True
Figure_7G	1	1	True	True
Figure_8A	1	0	True	False
Figure_8B	1	1	True	True
Figure_8C	2	2	True	True
Figure_8D	2	2	True	True
Figure_8E	1	1	True	True
Figure_8F	2	2	True	True
