panel_key	final_figure	panel	n_locked_source_rows	n_unique_source_roles	all_locked_paths_exist	panel_lock_complete
Figure_1A	Figure_1	A	4	4	True	True
Figure_1B	Figure_1	B	1	1	True	True
Figure_1C	Figure_1	C	3	3	True	True
Figure_1D	Figure_1	D	1	1	True	True
Figure_1E	Figure_1	E	29	1	True	True
Figure_1F	Figure_1	F	1	1	True	True
Figure_2A	Figure_2	A	1	1	True	True
Figure_2B	Figure_2	B	1	1	True	True
Figure_2C	Figure_2	C	1	1	True	True
Figure_2D	Figure_2	D	1	1	True	True
Figure_2E	Figure_2	E	1	1	True	True
Figure_2F	Figure_2	F	1	1	True	True
Figure_2G	Figure_2	G	2	2	True	True
Figure_3A	Figure_3	A	1	1	True	True
Figure_3B	Figure_3	B	1	1	True	True
Figure_3C	Figure_3	C	1	1	True	True
Figure_3D	Figure_3	D	1	1	True	True
Figure_3E	Figure_3	E	1	1	True	True
Figure_3F	Figure_3	F	1	1	True	True
Figure_3G	Figure_3	G	2	2	True	True
Figure_3H	Figure_3	H	3	3	True	True
Figure_4A	Figure_4	A	1	1	True	True
Figure_4B	Figure_4	B	2	2	True	True
Figure_4C	Figure_4	C	1	1	True	True
Figure_4D	Figure_4	D	1	1	True	True
Figure_4E	Figure_4	E	1	1	True	True
Figure_4F	Figure_4	F	1	1	True	True
Figure_4G	Figure_4	G	2	2	True	True
Figure_4H	Figure_4	H	3	3	True	True
Figure_5A	Figure_5	A	1	1	True	True
Figure_5B	Figure_5	B	1	1	True	True
Figure_5C	Figure_5	C	1	1	True	True
Figure_5D	Figure_5	D	2	2	True	True
Figure_5E	Figure_5	E	2	2	True	True
Figure_5F	Figure_5	F	2	2	True	True
Figure_5G	Figure_5	G	1	1	True	True
Figure_6A	Figure_6	A	1	1	True	True
Figure_6B	Figure_6	B	1	1	True	True
Figure_6C	Figure_6	C	1	1	True	True
Figure_6D	Figure_6	D	1	1	True	True
Figure_6E	Figure_6	E	2	2	True	True
Figure_6F	Figure_6	F	2	2	True	True
Figure_6G	Figure_6	G	4	4	True	True
Figure_6H	Figure_6	H	4	4	True	True
Figure_7A	Figure_7	A	1	1	True	True
Figure_7B	Figure_7	B	1	1	True	True
Figure_7C	Figure_7	C	1	1	True	True
Figure_7D	Figure_7	D	1	1	True	True
Figure_7E	Figure_7	E	2	2	True	True
Figure_7F	Figure_7	F	2	2	True	True
Figure_7G	Figure_7	G	1	1	True	True
Figure_8A	Figure_8	A	2	2	True	True
Figure_8B	Figure_8	B	1	1	True	True
Figure_8C	Figure_8	C	1	1	True	True
Figure_8D	Figure_8	D	1	1	True	True
Figure_8E	Figure_8	E	2	2	True	True
Figure_8F	Figure_8	F	2	2	True	True
