final_figure	resolution_type	n_panels	n_resolved	n_ambiguous
Figure_1	conceptual_source_bundle	4	4	4
Figure_1	table_or_metadata_driven	2	2	0
Figure_2	conceptual_source_bundle	3	3	0
Figure_2	table_or_metadata_driven	4	4	4
Figure_3	conceptual_source_bundle	1	1	1
Figure_3	table_or_metadata_driven	7	7	3
Figure_4	conceptual_source_bundle	1	1	0
Figure_4	table_or_metadata_driven	7	7	2
Figure_5	U27A4_visual_reference_plus_source_tables	4	4	4
Figure_5	conceptual_source_bundle	1	1	1
Figure_5	table_or_metadata_driven	2	2	1
Figure_6	U27A4_visual_reference_plus_source_tables	6	6	6
Figure_6	conceptual_source_bundle	1	1	0
Figure_6	table_or_metadata_driven	1	1	1
Figure_7	U27A4_visual_reference_plus_source_tables	4	4	4
Figure_7	conceptual_source_bundle	1	1	1
Figure_7	table_or_metadata_driven	2	2	0
Figure_8	U27A4_visual_reference_plus_source_tables	5	5	5
Figure_8	conceptual_source_bundle	1	1	0
