figure	panel	source_role	source_note	dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	direction	fdr_0_10	q_value	evidence_weight	interpretation_role	mean_tissue_effect	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	best_tissue_q_value	validation_class	n_modules	n_independent_datasets	datasets	dataset_effects	n_positive_datasets	n_negative_datasets	dominant_direction	weighted_directional_coherence	median_effect	median_absolute_effect	max_absolute_effect	n_FDR10_datasets	n_moderate_effect_datasets	n_large_effect_datasets	independent_evidence_priority_score	n_non_tiny_concordant_moderate_datasets	biological_priority	preterm_vs_term_effect	preterm_tissue_coherence	preterm_direction	infection_outcome_relation	refined_preterm_effect_class	refined_infection_outcome_relation	manuscript_claim_priority	_x	_y	contrast_id	biological_context	evidence_tier	group_a	group_b	n_group_a	n_group_b	model_estimate	model_standard_error	model_t_value	model_p_value	degrees_freedom	model_q_within_contrast	model_fdr_0_05	model_fdr_0_10	_value	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	_size
Figure_2	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	-0.090409846551439	standardized_module_score_beta	negative	False	0.6745086162504164	1.0	human_systemic_urinary_inflammation_comparator																																																						
Figure_2	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7	0.1914504339034529	standardized_module_score_beta	positive	False	0.1436501811691202	1.0	human_systemic_urinary_inflammation_comparator																																																						
Figure_2	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	0.1062257048368329	standardized_module_score_beta	positive	False	0.44916790682154	1.0	human_systemic_urinary_inflammation_comparator																																																						
Figure_2	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	0.1895567262598622	standardized_module_score_beta	positive	False	0.130976540396795	1.0	human_systemic_urinary_inflammation_comparator																																																						
Figure_2	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	0.3307016024578986	standardized_module_score_beta	positive	True	0.0320706242949746	1.0	human_systemic_urinary_inflammation_comparator																																																						
Figure_2	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	0.3544038788068854	standardized_module_score_beta	positive	True	0.0225631882649487	1.0	human_systemic_urinary_inflammation_comparator																																																						
Figure_2	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	0.1404068355936765	standardized_module_score_beta	positive	False	0.1823443553225024	1.0	human_systemic_urinary_inflammation_comparator																																																						
Figure_2	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	0.5414109040698384	standardized_module_score_beta	positive	True	0.0023884175642688	1.0	human_systemic_urinary_inflammation_comparator																																																						
Figure_2	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	0.5287083346929622	standardized_module_score_beta	positive	True	0.0047057391283306	1.0	human_systemic_urinary_inflammation_comparator																																																						
Figure_2	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	Integrated_network	0.2496277356094969	standardized_module_score_beta	positive	True	0.0326117192448908	1.0	human_systemic_urinary_inflammation_comparator																																																						
