figure	panel	source_role	source_note	inferred_group	bladder	placenta	uterus	feature_id	C1_PRETERM_VS_TERM | bladder	C1_PRETERM_VS_TERM | placenta	C1_PRETERM_VS_TERM | uterus	contrast_id	axis	display_label	proposed_figure_family	n_tissues	n_positive_tissues	n_negative_tissues	directional_coherence_fraction	dominant_direction	median_hedges_g	mean_absolute_hedges_g	_score	domain	n_features	median_effect	mean_effect	n_positive	n_negative	directional_coherence	refined_effect_class	refined_interpretation	_value	C2_UPEC_VS_PBS_PREGNANCY | bladder	C2_UPEC_VS_PBS_PREGNANCY | placenta	C2_UPEC_VS_PBS_PREGNANCY | uterus	C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder
Figure_3	A	gse280297_design		Mock_PBS	3.0	6.0	3.0																														
Figure_3	A	gse280297_design		UTI89_Nonpregnant	4.0	0.0	0.0																														
Figure_3	A	gse280297_design		UTI89_Preterm	6.0	12.0	6.0																														
Figure_3	A	gse280297_design		UTI89_Term	5.0	10.0	5.0																														
Figure_3	B	gse280297_primary_matrix						COMPLEMENT_TERMINAL_MAC	0.7169945504312463	-0.0553864091235507	0.5744464349606124																										
Figure_3	B	gse280297_primary_matrix						COMPLEMENT_CLASSICAL	0.4735556700610808	0.1666802827006261	0.6663628809423575																										
Figure_3	B	gse280297_primary_matrix						COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	0.2020359434638153	0.0205876229426282	0.6627100216153843																										
Figure_3	B	gse280297_primary_matrix						COMPLEMENT_LECTIN	0.3022518246503143	-0.0713421278584395	0.5892011741991348																										
Figure_3	B	gse280297_primary_matrix						COMPLEMENT_C3A_C5A_SIGNALING	-0.5266738017879126	0.3431704758291174	-0.4971530114341522																										
Figure_3	B	gse280297_primary_matrix						COMPLEMENT_COAGULATION_CROSSTALK	-0.4873583777399255	-0.4555306999870017	-0.3220655969583369																										
Figure_3	B	gse280297_primary_matrix						COMPLEMENT_ALTERNATIVE	-0.0404714996380272	0.3720849442675417	0.130834045096689																										
Figure_3	B	gse280297_primary_matrix						COMPLEMENT_OPSONOPHAGOCYTOSIS	0.2878657120830686	0.2790208461456774	0.2985457207804661																										
Figure_3	B	gse280297_primary_matrix						COMPLEMENT_REGULATORS	-0.1151856694214474	-0.216215191060664	0.001188584768105																										
Figure_3	C	cross_tissue_coherence						INSULIN_RECEPTOR_IRS				C1_PRETERM_VS_TERM	insulin_irs_signaling	Insulin receptor and IRS signaling	Figure_8	3.0	0.0	3.0	1.0	negative	-0.6759836665295377	0.8086637040244443	0.8086637040244443														
Figure_3	C	cross_tissue_coherence						GLUCOCORTICOID_RESPONSE				C1_PRETERM_VS_TERM	steroid_cholesterol_endocrine	Glucocorticoid response	Figure_7	3.0	0.0	3.0	1.0	negative	-0.8259823876820072	0.8082512781622871	0.8082512781622871														
Figure_3	C	cross_tissue_coherence						ANDROGEN_RECEPTOR_SIGNALING				C1_PRETERM_VS_TERM	steroid_cholesterol_endocrine	Androgen receptor signaling	Figure_7	3.0	0.0	3.0	1.0	negative	-0.8043093611651837	0.797323348019313	0.797323348019313														
Figure_3	C	cross_tissue_coherence						AMINO_ACID_TRANSPORT				C1_PRETERM_VS_TERM	amino_acid_metabolism	Amino-acid transport	Figure_9	3.0	0.0	3.0	1.0	negative	-0.9110329763420932	0.7921422427093464	0.7921422427093464														
Figure_3	C	cross_tissue_coherence						ESTROGEN_RECEPTOR_RESPONSE				C1_PRETERM_VS_TERM	steroid_cholesterol_endocrine	Estrogen receptor response	Figure_7	3.0	0.0	3.0	1.0	negative	-0.9114340045584498	0.7887818793047635	0.7887818793047635														
Figure_3	C	cross_tissue_coherence						PI3K_AKT_SIGNALING				C1_PRETERM_VS_TERM	insulin_irs_signaling	PI3K-AKT signaling	Figure_8	3.0	0.0	3.0	1.0	negative	-0.6352753686157185	0.7630087488439948	0.7630087488439948														
Figure_3	C	cross_tissue_coherence						ANDROGEN_TESTOSTERONE_BIOSYNTHESIS				C1_PRETERM_VS_TERM	steroid_cholesterol_endocrine	Androgen and testosterone biosynthesis	Figure_7	3.0	3.0	0.0	1.0	positive	0.5120363485796444	0.6816950674188519	0.6816950674188519														
Figure_3	C	cross_tissue_coherence						STEROIDOGENESIS_CORE				C1_PRETERM_VS_TERM	steroid_cholesterol_endocrine	Core steroidogenesis	Figure_7	3.0	3.0	0.0	1.0	positive	0.6984821720927213	0.6643586385246688	0.6643586385246688														
