path	filename	format	exists	size_bytes	png_width_px	png_height_px
project://06_figures/phaseU27B2B_final_figures_1_to_4_build/UTI_HostOmics_U27B2B_Figure_1.png	UTI_HostOmics_U27B2B_Figure_1.png	png	True	415043	2125	2790
project://06_figures/phaseU27B2B_final_figures_1_to_4_build/UTI_HostOmics_U27B2B_Figure_1.svg	UTI_HostOmics_U27B2B_Figure_1.svg	svg	True	191892		
project://06_figures/phaseU27B2B_final_figures_1_to_4_build/UTI_HostOmics_U27B2B_Figure_1.pdf	UTI_HostOmics_U27B2B_Figure_1.pdf	pdf	True	39752		
project://06_figures/phaseU27B2B_final_figures_1_to_4_build/UTI_HostOmics_U27B2B_Figure_2.png	UTI_HostOmics_U27B2B_Figure_2.png	png	True	600127	2125	3090
project://06_figures/phaseU27B2B_final_figures_1_to_4_build/UTI_HostOmics_U27B2B_Figure_2.svg	UTI_HostOmics_U27B2B_Figure_2.svg	svg	True	301453		
project://06_figures/phaseU27B2B_final_figures_1_to_4_build/UTI_HostOmics_U27B2B_Figure_2.pdf	UTI_HostOmics_U27B2B_Figure_2.pdf	pdf	True	57694		
project://06_figures/phaseU27B2B_final_figures_1_to_4_build/UTI_HostOmics_U27B2B_Figure_3.png	UTI_HostOmics_U27B2B_Figure_3.png	png	True	786338	2125	3480
project://06_figures/phaseU27B2B_final_figures_1_to_4_build/UTI_HostOmics_U27B2B_Figure_3.svg	UTI_HostOmics_U27B2B_Figure_3.svg	svg	True	309675		
project://06_figures/phaseU27B2B_final_figures_1_to_4_build/UTI_HostOmics_U27B2B_Figure_3.pdf	UTI_HostOmics_U27B2B_Figure_3.pdf	pdf	True	45580		
project://06_figures/phaseU27B2B_final_figures_1_to_4_build/UTI_HostOmics_U27B2B_Figure_4.png	UTI_HostOmics_U27B2B_Figure_4.png	png	True	878883	2125	3540
project://06_figures/phaseU27B2B_final_figures_1_to_4_build/UTI_HostOmics_U27B2B_Figure_4.svg	UTI_HostOmics_U27B2B_Figure_4.svg	svg	True	1882524		
project://06_figures/phaseU27B2B_final_figures_1_to_4_build/UTI_HostOmics_U27B2B_Figure_4.pdf	UTI_HostOmics_U27B2B_Figure_4.pdf	pdf	True	224699		
