figure	panel	source_role	source_note	inferred_group	bladder	placenta	uterus	index	contrast_id	feature_id	axis	display_label	proposed_figure_family	n_tissues	n_positive_tissues	n_negative_tissues	directional_coherence_fraction	dominant_direction	median_hedges_g	mean_absolute_hedges_g	_score	domain	n_features	median_effect	mean_effect	n_positive	n_negative	directional_coherence	refined_effect_class	refined_interpretation	_value	C1 bladder	C1 placenta	C1 uterus	C2 bladder	C2 placenta	C2 uterus	C3 bladder
Figure_3	A	gse280297_design		Mock/PBS	3.0	6.0	3.0																															
Figure_3	A	gse280297_design		UPEC nonpregnant	4.0	0.0	0.0																															
Figure_3	A	gse280297_design		UPEC preterm	6.0	12.0	6.0																															
Figure_3	A	gse280297_design		UPEC term	5.0	10.0	5.0																															
Figure_3	B	gse280297_primary_matrix			-0.5266738017879126	0.3431704758291174	-0.4971530114341522	C3a and C5a inflammatory signaling																														
Figure_3	B	gse280297_primary_matrix			0.2878657120830686	0.2790208461456774	0.2985457207804661	Complement-opsonophagocytosis																														
Figure_3	C	cross_tissue_coherence							C1_PRETERM_VS_TERM	INSULIN_RECEPTOR_IRS	insulin_irs_signaling	Insulin receptor and IRS signaling	Figure_8	3.0	0.0	3.0	1.0	negative	-0.6759836665295377	0.8086637040244443	0.8086637040244443																	
Figure_3	C	cross_tissue_coherence							C1_PRETERM_VS_TERM	GLUCOCORTICOID_RESPONSE	steroid_cholesterol_endocrine	Glucocorticoid response	Figure_7	3.0	0.0	3.0	1.0	negative	-0.8259823876820072	0.8082512781622871	0.8082512781622871																	
Figure_3	C	cross_tissue_coherence							C1_PRETERM_VS_TERM	ANDROGEN_RECEPTOR_SIGNALING	steroid_cholesterol_endocrine	Androgen receptor signaling	Figure_7	3.0	0.0	3.0	1.0	negative	-0.8043093611651837	0.797323348019313	0.797323348019313																	
Figure_3	C	cross_tissue_coherence							C1_PRETERM_VS_TERM	AMINO_ACID_TRANSPORT	amino_acid_metabolism	Amino-acid transport	Figure_9	3.0	0.0	3.0	1.0	negative	-0.9110329763420932	0.7921422427093464	0.7921422427093464																	
Figure_3	C	cross_tissue_coherence							C1_PRETERM_VS_TERM	ESTROGEN_RECEPTOR_RESPONSE	steroid_cholesterol_endocrine	Estrogen receptor response	Figure_7	3.0	0.0	3.0	1.0	negative	-0.9114340045584498	0.7887818793047635	0.7887818793047635																	
Figure_3	C	cross_tissue_coherence							C1_PRETERM_VS_TERM	PI3K_AKT_SIGNALING	insulin_irs_signaling	PI3K-AKT signaling	Figure_8	3.0	0.0	3.0	1.0	negative	-0.6352753686157185	0.7630087488439948	0.7630087488439948																	
Figure_3	C	cross_tissue_coherence							C1_PRETERM_VS_TERM	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	steroid_cholesterol_endocrine	Androgen and testosterone biosynthesis	Figure_7	3.0	3.0	0.0	1.0	positive	0.5120363485796444	0.6816950674188519	0.6816950674188519																	
Figure_3	C	cross_tissue_coherence							C1_PRETERM_VS_TERM	STEROIDOGENESIS_CORE	steroid_cholesterol_endocrine	Core steroidogenesis	Figure_7	3.0	3.0	0.0	1.0	positive	0.6984821720927213	0.6643586385246688	0.6643586385246688																	
Figure_3	C	cross_tissue_coherence							C1_PRETERM_VS_TERM	LEPTIN_SIGNALING	adipokine_signaling	Leptin signaling	Figure_8	3.0	0.0	3.0	1.0	negative	-0.7524117043029656	0.599050700075857	0.599050700075857																	
Figure_3	C	cross_tissue_coherence							C1_PRETERM_VS_TERM	METHIONINE_SAM_METHYLATION	amino_acid_metabolism	Methionine and SAM metabolism	Figure_9	3.0	0.0	3.0	1.0	negative	-0.431666090329905	0.5886874330903581	0.5886874330903581																	
Figure_3	D	decoupling_domains																mixed				steroid_synthesis	4.0	0.1346352925632706	0.174951911311203	2.0	2.0	0.5	near_neutral	branch_selective_steroid_synthesis: core steroidogenesis and androgen/testosterone biosynthesis are positive, whereas estrogen and cholesterol biosynthesis are negative; do not describe the entire synthesis domain as globally increased	0.1346352925632706							
Figure_3	D	decoupling_domains																negative				steroid_receptor_response	5.0	-0.8043093611651837	-0.7078938419801899	0.0	5.0	1.0	negative	uniform_receptor_response_attenuation: all five receptor-response programmes are negative across the tissue-collapsed comparison	-0.8043093611651837							
Figure_3	D	decoupling_domains																negative				metabolic_effector_response	7.0	-0.6759836665295377	-0.7049014274756004	0.0	7.0	1.0	negative	uniform_metabolic_effector_attenuation: insulin/IRS, PI3K-AKT, leptin, transport and carbon-use programmes are negative	-0.6759836665295377							
Figure_3	D	decoupling_domains																positive				complement_effector_response	4.0	0.3807106910720746	0.2096787014176523	3.0	1.0	0.75	positive	branch_selective_complement_remodeling: classical, terminal-MAC and opsonophagocytosis are positive while C3a/C5a signaling is negative	0.3807106910720746							
Figure_3	E	gse280297_primary_matrix			0.6066408853550672	-0.1757757683686546	0.0680688980830458	C3a and C5a inflammatory signaling																														
Figure_3	E	gse280297_primary_matrix			0.4245595687724989	-0.2481381092563892	0.8797041911271781	Complement-opsonophagocytosis																														
