figure_number	format	source_exists	frozen_exists	nonempty	png_width_px	png_height_px	sha256
1	png	True	True	True	2125.0	2670.0	1458a533a58befbcefbd64066664334b28aba87447cacc705104f9c7f6f24234
1	svg	True	True	True			de0fa80dd8dd18b2341357f02c937f558c49b80f6b23970de2040258fc7a0aaa
1	pdf	True	True	True			9ceb33efa8364343cf82812491e823ef376d0d56a4208492130b4c3c4efcd03f
2	png	True	True	True	2125.0	2880.0	bc3c52c21598105f9bd3c1473881354f2edf5a9cf969b29bf09794f6ad473902
2	svg	True	True	True			0694b72819f615da1754585ad701c93ebbe77598cb32e5a6099cafbe97e51429
2	pdf	True	True	True			e1e41a3dfdba185ab32fe206dae38c1f955c6f42b00095813be48b4542e8f0d7
3	png	True	True	True	2125.0	3330.0	9778304f5c179f52241ad553692d4814b64719b762f8a5084136179a480571cc
3	svg	True	True	True			afbe0f9130bee6e188adcd42fe86c326685ca70549bf29fcec4e1785e0dd680a
3	pdf	True	True	True			f29a5548b8377b591aae9e8c157462d8adf343e302b6a96f8139e6069ad8e434
4	png	True	True	True	2125.0	3300.0	ef6912e9db2404bb6d244fcb99233bd41367fe21a702717ee05541a4eb20a590
4	svg	True	True	True			e7edae8224ef7b80bbd2bdabf7570b511b227609a6f52943c96b9830e26208aa
4	pdf	True	True	True			1192fa2bb786ac5c85f84c14734d1593ff920fa69697726caed71fc18c6d7165
