path	filename	format	exists	size_bytes	png_width_px	png_height_px
project://06_figures/phaseU27B2D_final_figures_5_to_8_build/UTI_HostOmics_U27B2D_Figure_5.png	UTI_HostOmics_U27B2D_Figure_5.png	png	True	539875	2125	3030
project://06_figures/phaseU27B2D_final_figures_5_to_8_build/UTI_HostOmics_U27B2D_Figure_5.svg	UTI_HostOmics_U27B2D_Figure_5.svg	svg	True	262454		
project://06_figures/phaseU27B2D_final_figures_5_to_8_build/UTI_HostOmics_U27B2D_Figure_5.pdf	UTI_HostOmics_U27B2D_Figure_5.pdf	pdf	True	44414		
project://06_figures/phaseU27B2D_final_figures_5_to_8_build/UTI_HostOmics_U27B2D_Figure_6.png	UTI_HostOmics_U27B2D_Figure_6.png	png	True	574664	2125	3390
project://06_figures/phaseU27B2D_final_figures_5_to_8_build/UTI_HostOmics_U27B2D_Figure_6.svg	UTI_HostOmics_U27B2D_Figure_6.svg	svg	True	269505		
project://06_figures/phaseU27B2D_final_figures_5_to_8_build/UTI_HostOmics_U27B2D_Figure_6.pdf	UTI_HostOmics_U27B2D_Figure_6.pdf	pdf	True	48550		
project://06_figures/phaseU27B2D_final_figures_5_to_8_build/UTI_HostOmics_U27B2D_Figure_7.png	UTI_HostOmics_U27B2D_Figure_7.png	png	True	589552	2125	3060
project://06_figures/phaseU27B2D_final_figures_5_to_8_build/UTI_HostOmics_U27B2D_Figure_7.svg	UTI_HostOmics_U27B2D_Figure_7.svg	svg	True	283984		
project://06_figures/phaseU27B2D_final_figures_5_to_8_build/UTI_HostOmics_U27B2D_Figure_7.pdf	UTI_HostOmics_U27B2D_Figure_7.pdf	pdf	True	44960		
project://06_figures/phaseU27B2D_final_figures_5_to_8_build/UTI_HostOmics_U27B2D_Figure_8.png	UTI_HostOmics_U27B2D_Figure_8.png	png	True	462740	2125	2760
project://06_figures/phaseU27B2D_final_figures_5_to_8_build/UTI_HostOmics_U27B2D_Figure_8.svg	UTI_HostOmics_U27B2D_Figure_8.svg	svg	True	245145		
project://06_figures/phaseU27B2D_final_figures_5_to_8_build/UTI_HostOmics_U27B2D_Figure_8.pdf	UTI_HostOmics_U27B2D_Figure_8.pdf	pdf	True	43422		
