figure	panel	source_role	source_note	dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	direction	fdr_0_10	q_value	evidence_weight	interpretation_role	mean_tissue_effect	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	best_tissue_q_value	index	C1 bladder	C1 placenta	C1 uterus	population_level	population	requested_genes	detected_genes	coverage_fraction	score_eligible	mean_control_score	mean_UPEC_score	mean_difference_UPEC_minus_control	hedges_g_UPEC_vs_control	exact_permutation_p	module_mean_gene_log2FC	module_median_gene_log2FC	fraction_genes_positive_log2FC	fraction_genes_negative_log2FC	gene_direction_coherence	exact_permutation_q_within_population	hedges_g_finite	variance_sensitive_hedges_g	cellular_evidence_class	cellular_localization_score	effect_direction	n_populations	n_positive_populations	n_negative_populations	directional_coherence_fraction	n_high_or_moderate_populations	top_population_by_composite_score	top_population_composite_score	top_population_evidence_class	top_population_mean_gene_log2FC	top_population_gene_direction_coherence	top_population_hedges_g	top_population_variance_sensitive_g	top_to_second_score_ratio	cellular_localization_class	median_mean_gene_log2FC	median_gene_direction_coherence	median_composite_score	top_refined_subtype	top_refined_subtype_composite_score	top_refined_subtype_mean_gene_log2FC	top_refined_subtype_gene_direction_coherence	top_refined_subtype_hedges_g	top_refined_subtype_variance_sensitive_g	_label	_subtype	_score	infection	preterm	broad_populations_with_values
Figure_7	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	Figure_10	0.0481606422615459	standardized_module_score_beta	positive	False	0.8262878457488857	1.0	human_systemic_urinary_inflammation_comparator																																																													
Figure_7	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_LECTIN	Lectin complement pathway	Figure_10	-0.0446266659758271	standardized_module_score_beta	negative	False	0.8809634781779699	1.0	human_systemic_urinary_inflammation_comparator																																																													
Figure_7	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	Figure_10	-0.2673400614452372	standardized_module_score_beta	negative	True	0.0212941094705107	1.0	human_systemic_urinary_inflammation_comparator																																																													
Figure_7	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	Figure_10	-0.0329963243063644	standardized_module_score_beta	negative	False	0.8359938677265438	1.0	human_systemic_urinary_inflammation_comparator																																																													
Figure_7	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	Figure_10	-0.0420122454242515	standardized_module_score_beta	negative	False	0.8622392255750516	1.0	human_systemic_urinary_inflammation_comparator																																																													
Figure_7	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_REGULATORS	Complement regulators	Figure_10	0.092324943325621	standardized_module_score_beta	positive	False	0.4116777053355077	1.0	human_systemic_urinary_inflammation_comparator																																																													
Figure_7	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	Figure_10	-0.011913044939347	standardized_module_score_beta	negative	False	0.9608187676359404	1.0	human_systemic_urinary_inflammation_comparator																																																													
Figure_7	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	0.5414109040698384	standardized_module_score_beta	positive	True	0.0023884175642688	1.0	human_systemic_urinary_inflammation_comparator																																																													
Figure_7	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	0.5287083346929622	standardized_module_score_beta	positive	True	0.0047057391283306	1.0	human_systemic_urinary_inflammation_comparator																																																													
Figure_7	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	Figure_10	-0.3507055049241107	standardized_module_score_beta	negative	False	0.3666039221446793	1.0	mouse_bladder_average_pathogen_exposure_effect																																																													
