figure	panel	source_role	source_note	dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	direction	fdr_0_10	q_value	evidence_weight	interpretation_role	mean_tissue_effect	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	best_tissue_q_value	index	C1 bladder	C1 placenta	C1 uterus	population_level	population	requested_genes	detected_genes	coverage_fraction	score_eligible	mean_control_score	mean_UPEC_score	mean_difference_UPEC_minus_control	hedges_g_UPEC_vs_control	exact_permutation_p	module_mean_gene_log2FC	module_median_gene_log2FC	fraction_genes_positive_log2FC	fraction_genes_negative_log2FC	gene_direction_coherence	exact_permutation_q_within_population	hedges_g_finite	variance_sensitive_hedges_g	cellular_evidence_class	cellular_localization_score	effect_direction	n_populations	n_positive_populations	n_negative_populations	directional_coherence_fraction	n_high_or_moderate_populations	top_population_by_composite_score	top_population_composite_score	top_population_evidence_class	top_population_mean_gene_log2FC	top_population_gene_direction_coherence	top_population_hedges_g	top_population_variance_sensitive_g	top_to_second_score_ratio	cellular_localization_class	median_mean_gene_log2FC	median_gene_direction_coherence	median_composite_score	top_refined_subtype	top_refined_subtype_composite_score	top_refined_subtype_mean_gene_log2FC	top_refined_subtype_gene_direction_coherence	top_refined_subtype_hedges_g	top_refined_subtype_variance_sensitive_g	_label	_subtype	_score	C2 bladder	C2 placenta	C2 uterus	C3 bladder
Figure_6	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	Figure_8	0.5185656802666957	standardized_module_score_beta	positive	True	0.0031334957736074	1.0	human_systemic_urinary_inflammation_comparator																																																														
Figure_6	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	0.1062257048368329	standardized_module_score_beta	positive	False	0.44916790682154	1.0	human_systemic_urinary_inflammation_comparator																																																														
Figure_6	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	GLYCOGENOLYSIS	Glycogenolysis	Figure_8	0.0877168032773398	standardized_module_score_beta	positive	False	0.2629853498955862	1.0	human_systemic_urinary_inflammation_comparator																																																														
Figure_6	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	Figure_8	0.2951959645232309	standardized_module_score_beta	positive	True	0.0737395341219679	1.0	human_systemic_urinary_inflammation_comparator																																																														
Figure_6	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	Figure_8	0.4356061682165955	standardized_module_score_beta	positive	True	0.0147382578482227	1.0	human_systemic_urinary_inflammation_comparator																																																														
Figure_6	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	0.1895567262598622	standardized_module_score_beta	positive	False	0.130976540396795	1.0	human_systemic_urinary_inflammation_comparator																																																														
Figure_6	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	0.3307016024578986	standardized_module_score_beta	positive	True	0.0320706242949746	1.0	human_systemic_urinary_inflammation_comparator																																																														
Figure_6	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	Figure_8	-0.1022837497517187	standardized_module_score_beta	negative	False	0.4476750421274387	1.0	human_systemic_urinary_inflammation_comparator																																																														
Figure_6	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	Figure_8	-0.0960134131400937	standardized_module_score_beta	negative	False	0.5070611472459167	1.0	human_systemic_urinary_inflammation_comparator																																																														
Figure_6	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	0.3544038788068854	standardized_module_score_beta	positive	True	0.0225631882649487	1.0	human_systemic_urinary_inflammation_comparator																																																														
