figure_number	format	assets_present	all_nonempty	all_checksum_match
1	pdf	1	True	True
1	png	1	True	True
1	svg	1	True	True
2	pdf	1	True	True
2	png	1	True	True
2	svg	1	True	True
3	pdf	1	True	True
3	png	1	True	True
3	svg	1	True	True
4	pdf	1	True	True
4	png	1	True	True
4	svg	1	True	True
5	pdf	1	True	True
5	png	1	True	True
5	svg	1	True	True
6	pdf	1	True	True
6	png	1	True	True
6	svg	1	True	True
7	pdf	1	True	True
7	png	1	True	True
7	svg	1	True	True
8	pdf	1	True	True
8	png	1	True	True
8	svg	1	True	True
