page_number	path	size_bytes	nonwhite_fraction	automated_blank_page_flag
1	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-01.png	123537	0.17354129530600118	False
2	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-02.png	146522	0.2168924539512775	False
3	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-03.png	139623	0.18825906120023767	False
4	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-04.png	170032	0.23028817587641118	False
5	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-05.png	174377	0.22721330956625074	False
6	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-06.png	173708	0.23027332144979204	False
7	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-07.png	134370	0.19258169934640523	False
8	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-08.png	128142	0.18457813428401665	False
9	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-09.png	101438	0.1313992869875223	False
10	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-10.png	68612	0.0779827688651218	False
11	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-11.png	94173	0.19256090314913846	False
12	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-12.png	36280	0.048449197860962565	False
13	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-13.png	84719	0.1797979797979798	False
14	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-14.png	46256	0.06359477124183006	False
15	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-15.png	99775	0.24564765300059418	False
16	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-16.png	57202	0.07617349970291147	False
17	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-17.png	99689	0.2550089126559715	False
18	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-18.png	58643	0.0771865715983363	False
19	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-19.png	98241	0.2720915032679739	False
20	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-20.png	50676	0.06883541295306002	False
21	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-21.png	101668	0.27798573975044566	False
22	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-22.png	46118	0.06104575163398693	False
23	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-23.png	93018	0.2190136660724896	False
24	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-24.png	46640	0.06233511586452763	False
25	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-25.png	99908	0.19454545454545455	False
26	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-26.png	21960	0.024307783719548424	False
27	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-27.png	79199	0.12462566844919785	False
28	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-28.png	68301	0.11167260843731432	False
29	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-29.png	75497	0.12129233511586453	False
30	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/page-30.png	39931	0.07174688057040998	False
