source_path	classification	wrong_accession_occurrences	disposition	historical_file_modified
project://10_scripts/phaseU27B3B_construct_definitive_figure_legends.py	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://10_scripts/phaseU27B3C2_reconstruct_results_section.py	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	4	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://10_scripts/phaseU27B3C31_correct_results_audit_false_negatives.py	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://10_scripts/phaseU27B3C3_audit_reconstructed_results.py	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://10_scripts/phaseU27B3C41_cleanup_integrated_figure_section.py	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://10_scripts/phaseU27B3D11_correct_manuscript_wide_audit.py	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://10_scripts/phaseU27B3D1_audit_manuscript_wide_content_structure.py	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	7	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://10_scripts/phaseU27B3D2_reconstruct_manuscript_v6.py	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	6	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://10_scripts/phaseU27B3D3_audit_v6_1_visual_scientific.py	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://10_scripts/phaseU27B3E21_audit_dataset_accession_lineage.py	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	24	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://10_scripts/phaseU27B3E2_confirm_reference_frontmatter_supplement_sources.py	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://09_manuscript_docx/phaseU27B3C2_results_section_reconstruction/UTI_HostOmics_preZotero_manuscript_v5_0_U27B3C2_results_reconstructed.docx	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://09_manuscript_docx/phaseU27B3C2_results_section_reconstruction/UTI_HostOmics_U27B3C2_reconstructed_results_section.txt	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://09_manuscript_docx/phaseU27B3C41_integrated_figure_section_cleanup/UTI_HostOmics_preZotero_manuscript_v5_2_U27B3C41_figure_section_cleaned.docx	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	2	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://09_manuscript_docx/phaseU27B3C4_frozen_figures_legends_integration/UTI_HostOmics_preZotero_manuscript_v5_1_U27B3C4_figures_legends_integrated.docx	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	2	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/UTI_HostOmics_preZotero_manuscript_v6_1_U27B3D21_scientifically_harmonized_corrected.docx	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	7	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://09_manuscript_docx/phaseU27B3D2_manuscript_wide_v6_reconstruction/UTI_HostOmics_preZotero_manuscript_v6_0_U27B3D2_scientifically_harmonized.docx	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	3	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
