repair_id	rank	path	relative_path	score	size_bytes	keywords
S1_ADD_GSE280297_DESIGN	1	project://03_metadata/phaseU26A5_GSE280297_final_input_resolution/GSE280297_U26A5_validated_60sample_design.tsv	03_metadata/phaseU26A5_GSE280297_final_input_resolution/GSE280297_U26A5_validated_60sample_design.tsv	65	10710	GSE280297; design; 60sample; validated
S1_ADD_GSE280297_DESIGN	2	project://03_metadata/phaseU26A4_GSE280297_established_asset_validation/GSE280297_U26A4_validated_sample_design.tsv	03_metadata/phaseU26A4_GSE280297_established_asset_validation/GSE280297_U26A4_validated_sample_design.tsv	53	13190	GSE280297; design; 60sample; validated
S1_ADD_GSE280297_DESIGN	3	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE112098_U26B2A1_validated_sample_design.tsv	03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE112098_U26B2A1_validated_sample_design.tsv	41	124024	GSE280297; design; 60sample; validated
S1_ADD_GSE280297_DESIGN	4	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE186800_U26B2A1_validated_sample_design.tsv	03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE186800_U26B2A1_validated_sample_design.tsv	41	1201	GSE280297; design; 60sample; validated
S1_ADD_GSE280297_DESIGN	5	project://06_tables/phaseU26A2_GSE280297_identifier_design_resolution/UTI_HostOmics_U26A2_GSE280297_submodule_coverage.tsv	06_tables/phaseU26A2_GSE280297_identifier_design_resolution/UTI_HostOmics_U26A2_GSE280297_submodule_coverage.tsv	37	21416	GSE280297; design; 60sample; validated
S1_ADD_GSE280297_DESIGN	6	project://03_metadata/phaseU26A2_GSE280297_identifier_design_resolution/GSE280297_U26A2_deduplicated_sample_design.tsv	03_metadata/phaseU26A2_GSE280297_identifier_design_resolution/GSE280297_U26A2_deduplicated_sample_design.tsv	37	9490	GSE280297; design; 60sample; validated
S1_ADD_GSE280297_DESIGN	7	project://06_tables/phaseU26A4_GSE280297_established_asset_validation/UTI_HostOmics_U26A4_unresolved_sample_design_rows.tsv	06_tables/phaseU26A4_GSE280297_established_asset_validation/UTI_HostOmics_U26A4_unresolved_sample_design_rows.tsv	37	2874	GSE280297; design; 60sample; validated
S1_ADD_GSE280297_DESIGN	8	project://06_tables/phaseU26A2_GSE280297_identifier_design_resolution/UTI_HostOmics_U26A2_GSE280297_canonical_matrix_qc.tsv	06_tables/phaseU26A2_GSE280297_identifier_design_resolution/UTI_HostOmics_U26A2_GSE280297_canonical_matrix_qc.tsv	37	533	GSE280297; design; 60sample; validated
S1_ADD_GSE280297_DESIGN	9	project://06_tables/phaseU26A5_GSE280297_final_input_resolution/UTI_HostOmics_U26A5_unresolved_sample_design_rows.tsv	06_tables/phaseU26A5_GSE280297_final_input_resolution/UTI_HostOmics_U26A5_unresolved_sample_design_rows.tsv	37	189	GSE280297; design; 60sample; validated
S1_ADD_GSE280297_DESIGN	10	project://06_tables/phaseU26A2_GSE280297_identifier_design_resolution/UTI_HostOmics_U26A2_phase_decision.tsv	06_tables/phaseU26A2_GSE280297_identifier_design_resolution/UTI_HostOmics_U26A2_phase_decision.tsv	29	578	GSE280297; design; 60sample; validated
S1_ADD_GSE280297_DESIGN	11	project://06_tables/phaseU26A2_GSE280297_identifier_design_resolution/UTI_HostOmics_U26A2_GSE280297_expression_candidate_audit.tsv	06_tables/phaseU26A2_GSE280297_identifier_design_resolution/UTI_HostOmics_U26A2_GSE280297_expression_candidate_audit.tsv	29	412	GSE280297; design; 60sample; validated
S1_ADD_GSE280297_DESIGN	12	project://03_metadata/phaseU26B2B_cross_dataset_scoring_integration/GSE112098_U26B2B_resolved_scoring_design.tsv	03_metadata/phaseU26B2B_cross_dataset_scoring_integration/GSE112098_U26B2B_resolved_scoring_design.tsv	25	125530	GSE280297; design; 60sample; validated
S3_ADD_GSE280297_EFFECTS	1	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_tissue_effects.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_tissue_effects.tsv	37	49813	GSE280297; effect; contrast
S3_ADD_GSE280297_EFFECTS	2	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_large_primary_effects.tsv	06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_large_primary_effects.tsv	37	34340	GSE280297; effect; contrast
S3_ADD_GSE280297_EFFECTS	3	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_effect_size_matrix.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_effect_size_matrix.tsv	37	18611	GSE280297; effect; contrast
S3_ADD_GSE280297_EFFECTS	4	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_7_effect_size_matrix.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_7_effect_size_matrix.tsv	37	5367	GSE280297; effect; contrast
S3_ADD_GSE280297_EFFECTS	5	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_9_effect_size_matrix.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_9_effect_size_matrix.tsv	37	4845	GSE280297; effect; contrast
S3_ADD_GSE280297_EFFECTS	6	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_8_effect_size_matrix.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_8_effect_size_matrix.tsv	37	4767	GSE280297; effect; contrast
S3_ADD_GSE280297_EFFECTS	7	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_7_primary_effect_matrix.tsv	06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_7_primary_effect_matrix.tsv	37	3864	GSE280297; effect; contrast
S3_ADD_GSE280297_EFFECTS	8	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_9_primary_effect_matrix.tsv	06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_9_primary_effect_matrix.tsv	37	3465	GSE280297; effect; contrast
S3_ADD_GSE280297_EFFECTS	9	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_8_primary_effect_matrix.tsv	06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_8_primary_effect_matrix.tsv	37	3392	GSE280297; effect; contrast
S3_ADD_GSE280297_EFFECTS	10	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_10_effect_size_matrix.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_10_effect_size_matrix.tsv	37	2388	GSE280297; effect; contrast
S3_ADD_GSE280297_EFFECTS	11	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_10_primary_effect_matrix.tsv	06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_10_primary_effect_matrix.tsv	37	1695	GSE280297; effect; contrast
