supplementary_table	audit_id	pass	observed	expected	severity	required_action
S1	materialized_file_exists	True	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S1.tsv	existing nonempty TSV	BLOCKING	Re-materialize the table if absent.
S1	row_level_provenance_columns	True	_supplementary_table; _table_title; _source_order; _source_file; _source_relative_path; _source_sha256; _source_row_number; sample_id; condition; source_matrix	_source_file; _source_order; _source_relative_path; _source_row_number; _source_sha256; _supplementary_table; _table_title	BLOCKING	Preserve the seven required provenance columns.
S1	wrong_accession_absent	True	0	0	BLOCKING	Replace superseded provenance sources with U27B3E22 corrected derivatives.
S2	materialized_file_exists	True	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S2.tsv	existing nonempty TSV	BLOCKING	Re-materialize the table if absent.
S2	row_level_provenance_columns	True	_supplementary_table; _table_title; _source_order; _source_file; _source_relative_path; _source_sha256; _source_row_number; axis; submodule_id; display_label	_source_file; _source_order; _source_relative_path; _source_row_number; _source_sha256; _supplementary_table; _table_title	BLOCKING	Preserve the seven required provenance columns.
S2	wrong_accession_absent	True	0	0	BLOCKING	Replace superseded provenance sources with U27B3E22 corrected derivatives.
S3	materialized_file_exists	True	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S3.tsv	existing nonempty TSV	BLOCKING	Re-materialize the table if absent.
S3	row_level_provenance_columns	True	_supplementary_table; _table_title; _source_order; _source_file; _source_relative_path; _source_sha256; _source_row_number; dataset_id; contrast_name; module_name	_source_file; _source_order; _source_relative_path; _source_row_number; _source_sha256; _supplementary_table; _table_title	BLOCKING	Preserve the seven required provenance columns.
S3	wrong_accession_absent	True	0	0	BLOCKING	Replace superseded provenance sources with U27B3E22 corrected derivatives.
S4	materialized_file_exists	True	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S4.tsv	existing nonempty TSV	BLOCKING	Re-materialize the table if absent.
S4	row_level_provenance_columns	True	_supplementary_table; _table_title; _source_order; _source_file; _source_relative_path; _source_sha256; _source_row_number; validation_class; n_modules; feature_id	_source_file; _source_order; _source_relative_path; _source_row_number; _source_sha256; _supplementary_table; _table_title	BLOCKING	Preserve the seven required provenance columns.
S4	wrong_accession_absent	True	0	0	BLOCKING	Replace superseded provenance sources with U27B3E22 corrected derivatives.
S5	materialized_file_exists	True	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S5.tsv	existing nonempty TSV	BLOCKING	Re-materialize the table if absent.
S5	row_level_provenance_columns	True	_supplementary_table; _table_title; _source_order; _source_file; _source_relative_path; _source_sha256; _source_row_number; dataset; analysis_family; tissue	_source_file; _source_order; _source_relative_path; _source_row_number; _source_sha256; _supplementary_table; _table_title	BLOCKING	Preserve the seven required provenance columns.
S5	wrong_accession_absent	True	0	0	BLOCKING	Replace superseded provenance sources with U27B3E22 corrected derivatives.
S6	materialized_file_exists	True	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S6.tsv	existing nonempty TSV	BLOCKING	Re-materialize the table if absent.
S6	row_level_provenance_columns	True	_supplementary_table; _table_title; _source_order; _source_file; _source_relative_path; _source_sha256; _source_row_number; population_level; population; feature_id	_source_file; _source_order; _source_relative_path; _source_row_number; _source_sha256; _supplementary_table; _table_title	BLOCKING	Preserve the seven required provenance columns.
S6	wrong_accession_absent	True	0	0	BLOCKING	Replace superseded provenance sources with U27B3E22 corrected derivatives.
S7	materialized_file_exists	True	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S7.tsv	existing nonempty TSV	BLOCKING	Re-materialize the table if absent.
S7	row_level_provenance_columns	True	_supplementary_table; _table_title; _source_order; _source_file; _source_relative_path; _source_sha256; _source_row_number; feature_id; display_label; axis	_source_file; _source_order; _source_relative_path; _source_row_number; _source_sha256; _supplementary_table; _table_title	BLOCKING	Preserve the seven required provenance columns.
S7	wrong_accession_absent	True	0	0	BLOCKING	Replace superseded provenance sources with U27B3E22 corrected derivatives.
S8	materialized_file_exists	True	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S8.tsv	existing nonempty TSV	BLOCKING	Re-materialize the table if absent.
S8	row_level_provenance_columns	True	_supplementary_table; _table_title; _source_order; _source_file; _source_relative_path; _source_sha256; _source_row_number; feature_id; display_label; axis	_source_file; _source_order; _source_relative_path; _source_row_number; _source_sha256; _supplementary_table; _table_title	BLOCKING	Preserve the seven required provenance columns.
S8	wrong_accession_absent	True	0	0	BLOCKING	Replace superseded provenance sources with U27B3E22 corrected derivatives.
S9	materialized_file_exists	True	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S9.tsv	existing nonempty TSV	BLOCKING	Re-materialize the table if absent.
S9	row_level_provenance_columns	True	_supplementary_table; _table_title; _source_order; _source_file; _source_relative_path; _source_sha256; _source_row_number; source_path; package_path; format	_source_file; _source_order; _source_relative_path; _source_row_number; _source_sha256; _supplementary_table; _table_title	BLOCKING	Preserve the seven required provenance columns.
S9	wrong_accession_absent	False	1	0	BLOCKING	Replace superseded provenance sources with U27B3E22 corrected derivatives.
S10	materialized_file_exists	True	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S10.tsv	existing nonempty TSV	BLOCKING	Re-materialize the table if absent.
S10	row_level_provenance_columns	True	_supplementary_table; _table_title; _source_order; _source_file; _source_relative_path; _source_sha256; _source_row_number; caveat_id; required_statement; figure_scope	_source_file; _source_order; _source_relative_path; _source_row_number; _source_sha256; _supplementary_table; _table_title	BLOCKING	Preserve the seven required provenance columns.
S10	wrong_accession_absent	False	2	0	BLOCKING	Replace superseded provenance sources with U27B3E22 corrected derivatives.
S1	all_four_dataset_designs_present	True	GSE112098; GSE186800; GSE252321; GSE280297	GSE112098; GSE186800; GSE252321; GSE280297	BLOCKING	Add the validated 60-sample GSE280297 design table.
S2	submodule_count	True	78	78	BLOCKING	Use the frozen U26A expanded submodule library without row loss.
S2	axis_count	True	10	10	BLOCKING	Retain all ten biological axes.
