supplementary_table	audit_id	pass	observed	expected
S1	nonempty_materialized_table	True	157	> 0 rows
S1	provenance_columns_complete	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number
S1	wrong_accession_absent	True	0	0
S2	nonempty_materialized_table	True	78	> 0 rows
S2	provenance_columns_complete	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number
S2	wrong_accession_absent	True	0	0
S3	nonempty_materialized_table	True	1012	> 0 rows
S3	provenance_columns_complete	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number
S3	wrong_accession_absent	True	0	0
S4	nonempty_materialized_table	True	142	> 0 rows
S4	provenance_columns_complete	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number
S4	wrong_accession_absent	True	0	0
S5	nonempty_materialized_table	True	405	> 0 rows
S5	provenance_columns_complete	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number
S5	wrong_accession_absent	True	0	0
S6	nonempty_materialized_table	True	558	> 0 rows
S6	provenance_columns_complete	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number
S6	wrong_accession_absent	True	0	0
S7	nonempty_materialized_table	True	219	> 0 rows
S7	provenance_columns_complete	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number
S7	wrong_accession_absent	True	0	0
S8	nonempty_materialized_table	True	83	> 0 rows
S8	provenance_columns_complete	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number
S8	wrong_accession_absent	True	0	0
S9	nonempty_materialized_table	True	197	> 0 rows
S9	provenance_columns_complete	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number
S9	wrong_accession_absent	True	0	0
S10	nonempty_materialized_table	True	17	> 0 rows
S10	provenance_columns_complete	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number
S10	unauthorized_wrong_accession_absent	True	0	0
S1	four_dataset_design_sources	True	GSE112098; GSE186800; GSE252321; GSE280297	GSE112098; GSE280297; GSE186800; GSE252321
S1	expected_total_design_rows	True	157	157
S2	submodule_count	True	78	78
S2	axis_count	True	10	10
S3	four_dataset_effect_families	True	GSE112098; GSE186800; GSE252321; GSE280297	GSE112098; GSE280297; GSE186800; GSE252321
S6	qc_marker_broad_and_refined_coverage	True	"flat-matrix and per-sample single-cell qc
cluster top-marker table
broad-cell sample composition
refined-subtype sample composition"	QC; marker; broad composition; refined subtype composition
S8	biological_tabular_sources_only	True	"project://06_tables/phaseu26d2c_cellular_localization_synthesis/uti_hostomics_u26d2c_core_module_cellular_attribution.tsv
project://06_tables/phaseu26d2c_cellular_localization_synthesis/uti_hostomics_u26d2c_module_cellular_synthesis.tsv"	core_module_cellular_attribution.tsv and module_cellular_synthesis.tsv only
S9	accession_corrected_panel_registry	True	"project://03_metadata/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_complete_asset_manifest.tsv
project://03_metadata/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_figure_and_panel_title_registry.tsv
project://03_metadata/phaseU27B3E22_targeted_accession_correction/UTI_HostOmics_U27B3E22_panel_legend_provenance_registry.tsv"	U27B3E22 corrected panel provenance registry
S10	corrected_interpretation_traceability_sources	True	corrected caveats; claim boundary; accession rules; preservation traceability; documented prohibited-accession rule=1	corrected caveats; claim boundary; accession rules; preservation traceability; exactly one documented GSE168600 prohibition rule
S10	documented_prohibited_accession_rule	True	1	1
