supplementary_table	column	nonblank_values	nonnumeric_values	outside_0_1_values	pass
S1	n_cell_columns	4	0	0	True
S1	channel_count	73	0	0	True
S1	data_row_count	73	0	0	True
S2	n_genes	78	0	0	True
S3	p_value	1012	0	0	True
S3	fdr_bh	40	0	0	True
S3	auc_group_a_higher	810	0	0	True
S3	q_value_within_contrast	810	0	0	True
S3	q_value	162	0	0	True
S3	n_group_a	850	0	0	True
S3	n_group_b	850	0	0	True
S4	weighted_directional_coherence	78	0	0	True
S4	n_modules	4	0	0	True
S4	n_independent_datasets	78	0	0	True
S4	n_positive_datasets	78	0	0	True
S4	n_negative_datasets	78	0	0	True
S4	n_FDR10_datasets	78	0	0	True
S4	n_moderate_effect_datasets	78	0	0	True
S4	n_large_effect_datasets	78	0	0	True
S5	q_value	243	0	0	True
S5	best_tissue_q_value	81	0	0	True
S5	n_tissues	81	0	0	True
S5	n_positive_tissues	81	0	0	True
S5	n_negative_tissues	81	0	0	True
S6	adaptive_qc_pass_fraction	4	0	0	True
S6	n_genes	4	0	0	True
S6	n_cells	108	0	0	True
S6	n_nonzero_values	4	0	0	True
S6	adaptive_qc_pass_cells	4	0	0	True
S6	rank	450	0	0	True
S7	directional_coherence_fraction	219	0	0	True
S7	median_gene_direction_coherence	219	0	0	True
S7	n_complete_populations	219	0	0	True
S7	n_positive_populations	219	0	0	True
S7	n_negative_populations	219	0	0	True
S7	n_populations_abs_g_ge_0_5	219	0	0	True
S7	n_populations_abs_g_ge_0_8	219	0	0	True
S8	directional_coherence_fraction	83	0	0	True
S8	median_gene_direction_coherence	83	0	0	True
S8	n_populations	83	0	0	True
S8	n_positive_populations	83	0	0	True
S8	n_negative_populations	83	0	0	True
S8	n_high_or_moderate_populations	83	0	0	True
S9	figure_number	195	0	0	True
