supplementary_table	source_role	rows	native_source_columns	native_columns_present_in_union	native_columns_absent_from_union	native_absent_column_names	structural_union_only_columns	native_source_cells	native_blank_cells	native_blank_fraction	provenance_blank_cells
S1	GSE252321 four-sample biological design	4	6	6	0		46	24	0	0.0	0
S1	GSE112098 validated 73-sample design	73	34	34	0		18	2482	0	0.0	0
S1	GSE186800 validated 20-sample recurrent-UTI design	20	6	6	0		46	120	0	0.0	0
S1	GSE280297 validated 60-tissue-sample design	60	13	13	0		39	780	120	0.15384615384615385	0
S2	Frozen 78-submodule library	78	8	8	0		0	624	0	0.0	0
S3	GSE112098 adjusted human comparator module effects	20	15	15	0		26	300	0	0.0	0
S3	GSE280297 factorial and tissue-specific module effects	810	26	26	0		15	21060	0	0.0	0
S3	GSE186800 block and interaction module effects	162	21	21	0		20	3402	324	0.09523809523809523	0
S3	GSE252321 sample-level UPEC-versus-control module effects	20	16	16	0		25	320	0	0.0	0
S4	Evidence-class summary	4	2	2	0		28	8	0	0.0	0
S4	Independent-dataset recurrence ranking	78	19	19	0		11	1482	0	0.0	0
S4	Evidence-weighted synthesis panel support	60	14	14	0		16	840	0	0.0	0
S5	Tissue-resolved preterm-versus-term effects	243	12	12	0		18	2916	0	0.0	0
S5	Collapsed pregnancy-outcome effects	81	20	20	0		10	1620	0	0.0	0
S5	Full three-contrast tissue effect matrix	81	8	8	0		22	648	0	0.0	0
S6	Flat-matrix and per-sample single-cell QC	4	31	31	0		10	124	4	0.03225806451612903	0
S6	Cluster top-marker table	450	7	7	0		34	3150	0	0.0	0
S6	Broad-cell sample composition	32	5	5	0		36	160	0	0.0	0
S6	Refined-subtype sample composition	72	5	5	0		36	360	0	0.0	0
S7	Broad-cell localization summary	73	20	20	0		4	1460	36	0.024657534246575342	0
S7	Core-module cellular localization	73	24	24	0		0	1752	225	0.1284246575342466	0
S7	Refined-subtype localization summary	73	20	20	0		4	1460	30	0.02054794520547945	0
S8	Core complement and endocrine-metabolic cellular attribution	10	30	30	0		0	300	0	0.0	0
S8	Module-level cellular synthesis across immune populations	73	27	27	0		3	1971	0	0.0	0
S9	Frozen Figure 1-8 asset manifest	83	13	13	0		18	1079	64	0.05931417979610751	0
S9	Figure and panel title registry	57	15	15	0		16	855	0	0.0	0
S9	Accession-corrected panel legend provenance registry	57	12	12	0		19	684	57	0.08333333333333333	0
S10	Accession-corrected caveat terminology registry	8	3	3	0		25	24	0	0.0	0
S10	Cellular-localization claim-boundary matrix	6	3	3	0		25	18	0	0.0	0
S10	Future accession validation rules	2	4	4	0		24	8	0	0.0	0
S10	Accession correction and preservation traceability	1	18	18	0		10	18	0	0.0	0
