supplementary_table	title	path	exists	sha256	rows	columns	provenance_columns_complete
S1	Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE186800 and GSE252321.	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S1.tsv	True	3e386dd6ad6bc08e5eed05b25c2fd14675fbbb98832a75631d76e2dbcacc58ac	157	60	True
S2	Expanded 78-submodule library organized across ten biological axes.	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S2.tsv	True	6ea51c06f758253407d0145cf6325b7c8cbabc12300defc81b1f1e8979b24e3a	78	16	True
S3	Dataset-specific module effects and factorial or adjusted contrasts.	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S3.tsv	True	b8302dc0b8c3ee121712073e9b1113d0ea4a07d7c3d067bfadbe9add790e01d7	1012	49	True
S4	Cross-dataset recurrence, directional concordance and evidence-class assignments.	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S4.tsv	True	d591ca63ad687be93bf524ca0962b3f818eaeaa2958a48d7dd46a9a01f38df56	142	38	True
S5	GSE280297 pregnancy, tissue and outcome-specific module effects.	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S5.tsv	True	efb212ba22f98aa326de002ad994455e0616d407d91739cd5aa7f52b6c26a597	405	38	True
S6	GSE252321 quality control, cluster markers, broad populations and refined subtypes.	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S6.tsv	True	35682ac3938b93dbcc3d2ed363158b8651858edf09f9f400b3354f764f75845c	558	49	True
S7	Broad-cell and refined-subtype pseudobulk module localization results.	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S7.tsv	True	f80dec19e3c34da9b5fc748f8a436fdf98133619cadfb55d7c3cf17ffc35a106	219	32	True
S8	Complement-stage and endocrine-metabolic cellular attribution tables.	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S8.tsv	True	80450b07bda7bc175a5692d78e0bfd4e2643913cfa3ce46e946de7c61e983063	83	38	True
S9	Figure 1-8 source-value manifest and panel-level provenance registry.	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S9.tsv	True	5d8dcbcc02c43120438c3ebc300d1536a65a37e57beb4adcecbee690cbecf379	197	39	True
S10	Interpretation-boundary, sensitivity and manuscript claim-traceability register.	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S10.tsv	True	bb0d3e49c63c2e354e98745d543f43a9b7cf869cff4f0c77afa69490ad9d6293	17	36	True
